Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Afghanistan,Food Inflation,2005-03-31T00:00:00,9.11,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2005-04-30T00:00:00,7.69,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2005-05-31T00:00:00,9.34,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2005-06-30T00:00:00,9.98,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2005-07-31T00:00:00,11.1,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2005-08-31T00:00:00,11.41,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2005-09-30T00:00:00,13.4,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2005-10-31T00:00:00,13.08,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2005-11-30T00:00:00,12.2,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2005-12-31T00:00:00,11.11,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2006-01-31T00:00:00,11.4,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2006-02-28T00:00:00,9.44,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2006-03-31T00:00:00,7.68,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2006-04-30T00:00:00,7.35,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2006-05-31T00:00:00,6.33,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2006-06-30T00:00:00,5.16,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2006-07-31T00:00:00,4.88,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2006-08-31T00:00:00,5.6,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2006-09-30T00:00:00,5.24,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2006-10-31T00:00:00,4.65,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2006-11-30T00:00:00,5.06,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2006-12-31T00:00:00,4.57,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2007-01-31T00:00:00,4.75,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2007-02-28T00:00:00,5.49,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2007-03-31T00:00:00,5.99,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2007-04-30T00:00:00,7.85,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2007-05-31T00:00:00,9.78,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2007-06-30T00:00:00,12.45,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2007-07-31T00:00:00,13.91,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2007-08-31T00:00:00,13.71,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2007-09-30T00:00:00,16.57,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2007-10-31T00:00:00,17.02,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2007-11-30T00:00:00,22.99,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2007-12-31T00:00:00,27.05,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2008-01-31T00:00:00,34.3,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2008-02-29T00:00:00,30.27,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2008-03-31T00:00:00,31.91,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2008-04-30T00:00:00,54.56,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2008-05-31T00:00:00,72.77,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2008-06-30T00:00:00,57.56,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2008-07-31T00:00:00,57.19,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2008-08-31T00:00:00,59.58,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2008-09-30T00:00:00,56.8,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2008-10-31T00:00:00,52.08,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2008-11-30T00:00:00,39.96,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2008-12-31T00:00:00,32.5,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2009-01-31T00:00:00,21.04,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2009-02-28T00:00:00,14.2,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2009-03-31T00:00:00,4.29,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2009-04-30T00:00:00,-16.53,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2009-05-31T00:00:00,-27.46,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2009-06-30T00:00:00,-22.39,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2009-07-31T00:00:00,-23.53,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2009-08-31T00:00:00,-24.19,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2009-09-30T00:00:00,-25.18,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2009-10-31T00:00:00,-22.7,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2009-11-30T00:00:00,-21.15,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2009-12-31T00:00:00,-21.54,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2010-01-31T00:00:00,-20.96,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2010-02-28T00:00:00,-15.12,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2010-03-31T00:00:00,-9.12,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2010-04-30T00:00:00,-3.92,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2010-05-31T00:00:00,-2.89,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2010-06-30T00:00:00,-0.46,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2010-07-31T00:00:00,0.58,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2010-08-31T00:00:00,3.49,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2010-09-30T00:00:00,3.9,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2010-10-31T00:00:00,4.05,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2010-11-30T00:00:00,7.75,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2010-12-31T00:00:00,10.96,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2011-01-31T00:00:00,14.27,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
Afghanistan,Food Inflation,2011-02-28T00:00:00,14.67,Monthly,AFGHANISTAFOOINF,2022-10-18T14:28:00
