Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Angola,Food Inflation,2003-01-31T00:00:00,120.27,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
Angola,Food Inflation,2003-02-28T00:00:00,125.5,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
Angola,Food Inflation,2003-03-31T00:00:00,132.55,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
Angola,Food Inflation,2003-04-30T00:00:00,137.47,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
Angola,Food Inflation,2003-05-31T00:00:00,129.82,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
Angola,Food Inflation,2003-06-30T00:00:00,130.92,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
Angola,Food Inflation,2003-07-31T00:00:00,118.15,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
Angola,Food Inflation,2003-08-31T00:00:00,109.89,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
Angola,Food Inflation,2003-09-30T00:00:00,103.78,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
Angola,Food Inflation,2003-10-31T00:00:00,99.31,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
Angola,Food Inflation,2003-11-30T00:00:00,90.84,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
Angola,Food Inflation,2003-12-31T00:00:00,86.48,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
Angola,Food Inflation,2004-01-31T00:00:00,80.48,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
Angola,Food Inflation,2004-02-29T00:00:00,73.67,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
Angola,Food Inflation,2004-03-31T00:00:00,67.34,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
Angola,Food Inflation,2004-04-30T00:00:00,57.34,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
Angola,Food Inflation,2004-05-31T00:00:00,55.22,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
Angola,Food Inflation,2004-06-30T00:00:00,50.02,Monthly,ANGOLAFOOINF,2014-05-22T15:21:00
