Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Bangladesh,Food Inflation,2013-04-30T00:00:00,8.68,Monthly,BANGLADESHFOOINF,2014-06-30T13:29:00
Bangladesh,Food Inflation,2013-05-31T00:00:00,8.13,Monthly,BANGLADESHFOOINF,2014-06-30T13:29:00
Bangladesh,Food Inflation,2013-06-30T00:00:00,8.26,Monthly,BANGLADESHFOOINF,2014-07-15T17:18:00
Bangladesh,Food Inflation,2013-07-31T00:00:00,8.09,Monthly,BANGLADESHFOOINF,2014-06-30T13:29:00
Bangladesh,Food Inflation,2013-08-31T00:00:00,7.93,Monthly,BANGLADESHFOOINF,2014-06-30T13:29:00
Bangladesh,Food Inflation,2013-09-30T00:00:00,8.38,Monthly,BANGLADESHFOOINF,2014-06-30T13:29:00
Bangladesh,Food Inflation,2013-10-31T00:00:00,8.55,Monthly,BANGLADESHFOOINF,2014-06-30T13:29:00
Bangladesh,Food Inflation,2013-11-30T00:00:00,9,Monthly,BANGLADESHFOOINF,2014-06-30T13:29:00
Bangladesh,Food Inflation,2013-12-31T00:00:00,8.81,Monthly,BANGLADESHFOOINF,2014-06-30T13:29:00
Bangladesh,Food Inflation,2014-02-28T00:00:00,8.84,Monthly,BANGLADESHFOOINF,2014-06-30T13:29:00
Bangladesh,Food Inflation,2014-03-31T00:00:00,8.96,Monthly,BANGLADESHFOOINF,2014-06-30T13:29:00
Bangladesh,Food Inflation,2014-04-30T00:00:00,8.96,Monthly,BANGLADESHFOOINF,2014-06-30T13:29:00
Bangladesh,Food Inflation,2014-05-31T00:00:00,9.09,Monthly,BANGLADESHFOOINF,2014-06-30T13:29:00
Bangladesh,Food Inflation,2014-06-30T00:00:00,8,Monthly,BANGLADESHFOOINF,2014-07-15T17:18:00
Bangladesh,Food Inflation,2014-07-31T00:00:00,7.94,Monthly,BANGLADESHFOOINF,2014-08-12T10:35:00
Bangladesh,Food Inflation,2014-08-31T00:00:00,7.67,Monthly,BANGLADESHFOOINF,2014-10-16T11:29:00
Bangladesh,Food Inflation,2014-09-30T00:00:00,7.63,Monthly,BANGLADESHFOOINF,2014-10-16T11:29:00
Bangladesh,Food Inflation,2014-10-31T00:00:00,7.16,Monthly,BANGLADESHFOOINF,2014-11-13T12:46:00
Bangladesh,Food Inflation,2014-11-30T00:00:00,6.44,Monthly,BANGLADESHFOOINF,2014-12-10T15:30:00
Bangladesh,Food Inflation,2014-12-31T00:00:00,5.86,Monthly,BANGLADESHFOOINF,2015-01-06T08:24:00
Bangladesh,Food Inflation,2015-01-31T00:00:00,6.07,Monthly,BANGLADESHFOOINF,2015-03-10T11:44:00
Bangladesh,Food Inflation,2015-02-28T00:00:00,6.11,Monthly,BANGLADESHFOOINF,2015-03-10T11:44:00
Bangladesh,Food Inflation,2015-03-31T00:00:00,6.37,Monthly,BANGLADESHFOOINF,2015-04-28T15:56:00
Bangladesh,Food Inflation,2015-04-30T00:00:00,6.48,Monthly,BANGLADESHFOOINF,2015-06-04T16:28:00
Bangladesh,Food Inflation,2015-05-31T00:00:00,6.23,Monthly,BANGLADESHFOOINF,2015-06-10T11:46:00
Bangladesh,Food Inflation,2015-06-30T00:00:00,6.32,Monthly,BANGLADESHFOOINF,2015-07-07T11:05:00
Bangladesh,Food Inflation,2015-07-31T00:00:00,6.07,Monthly,BANGLADESHFOOINF,2015-08-04T10:50:00
Bangladesh,Food Inflation,2015-08-31T00:00:00,6.06,Monthly,BANGLADESHFOOINF,2015-09-15T09:21:00
Bangladesh,Food Inflation,2015-09-30T00:00:00,5.92,Monthly,BANGLADESHFOOINF,2015-10-19T11:41:00
Bangladesh,Food Inflation,2015-10-31T00:00:00,5.89,Monthly,BANGLADESHFOOINF,2015-11-10T11:34:00
Bangladesh,Food Inflation,2015-11-30T00:00:00,5.72,Monthly,BANGLADESHFOOINF,2015-12-24T10:54:00
Bangladesh,Food Inflation,2015-12-31T00:00:00,5.48,Monthly,BANGLADESHFOOINF,2016-01-05T12:20:00
Bangladesh,Food Inflation,2016-01-31T00:00:00,4.33,Monthly,BANGLADESHFOOINF,2016-03-07T11:22:00
Bangladesh,Food Inflation,2016-02-29T00:00:00,3.77,Monthly,BANGLADESHFOOINF,2016-03-11T12:20:00
Bangladesh,Food Inflation,2016-03-31T00:00:00,3.89,Monthly,BANGLADESHFOOINF,2016-04-05T14:51:00
Bangladesh,Food Inflation,2016-04-30T00:00:00,3.84,Monthly,BANGLADESHFOOINF,2016-05-11T13:05:00
Bangladesh,Food Inflation,2016-05-31T00:00:00,3.81,Monthly,BANGLADESHFOOINF,2016-06-15T17:24:00
Bangladesh,Food Inflation,2016-06-30T00:00:00,4.23,Monthly,BANGLADESHFOOINF,2016-07-20T10:22:00
Bangladesh,Food Inflation,2016-07-31T00:00:00,4.35,Monthly,BANGLADESHFOOINF,2016-08-09T11:28:00
Bangladesh,Food Inflation,2016-08-31T00:00:00,4.3,Monthly,BANGLADESHFOOINF,2016-10-04T10:32:00
Bangladesh,Food Inflation,2016-09-30T00:00:00,5.1,Monthly,BANGLADESHFOOINF,2016-10-04T10:32:00
Bangladesh,Food Inflation,2016-10-31T00:00:00,5.56,Monthly,BANGLADESHFOOINF,2016-11-10T14:04:00
Bangladesh,Food Inflation,2016-11-30T00:00:00,5.41,Monthly,BANGLADESHFOOINF,2016-12-07T10:42:00
Bangladesh,Food Inflation,2016-12-31T00:00:00,5.38,Monthly,BANGLADESHFOOINF,2017-01-03T13:39:00
Bangladesh,Food Inflation,2017-01-31T00:00:00,6.53,Monthly,BANGLADESHFOOINF,2017-02-09T08:40:00
Bangladesh,Food Inflation,2017-02-28T00:00:00,6.84,Monthly,BANGLADESHFOOINF,2017-03-22T13:51:00
Bangladesh,Food Inflation,2017-03-31T00:00:00,6.89,Monthly,BANGLADESHFOOINF,2017-05-23T10:29:00
Bangladesh,Food Inflation,2017-04-30T00:00:00,6.94,Monthly,BANGLADESHFOOINF,2017-08-03T11:30:00
Bangladesh,Food Inflation,2017-05-31T00:00:00,7.37,Monthly,BANGLADESHFOOINF,2017-08-03T11:31:00
Bangladesh,Food Inflation,2017-06-30T00:00:00,7.51,Monthly,BANGLADESHFOOINF,2017-08-03T11:31:00
Bangladesh,Food Inflation,2017-07-31T00:00:00,6.95,Monthly,BANGLADESHFOOINF,2017-08-10T10:45:00
Bangladesh,Food Inflation,2017-08-31T00:00:00,7.32,Monthly,BANGLADESHFOOINF,2017-10-18T11:18:00
Bangladesh,Food Inflation,2017-09-30T00:00:00,7.87,Monthly,BANGLADESHFOOINF,2017-10-18T11:18:00
Bangladesh,Food Inflation,2017-10-31T00:00:00,7.62,Monthly,BANGLADESHFOOINF,2017-12-13T09:31:00
Bangladesh,Food Inflation,2017-11-30T00:00:00,7.09,Monthly,BANGLADESHFOOINF,2018-01-03T11:38:00
Bangladesh,Food Inflation,2017-12-31T00:00:00,7.13,Monthly,BANGLADESHFOOINF,2018-01-03T11:38:00
Bangladesh,Food Inflation,2018-01-31T00:00:00,7.62,Monthly,BANGLADESHFOOINF,2018-04-04T10:59:00
Bangladesh,Food Inflation,2018-02-28T00:00:00,7.27,Monthly,BANGLADESHFOOINF,2018-04-04T10:59:00
Bangladesh,Food Inflation,2018-03-31T00:00:00,7.09,Monthly,BANGLADESHFOOINF,2018-04-04T10:59:00
Bangladesh,Food Inflation,2018-04-30T00:00:00,7.03,Monthly,BANGLADESHFOOINF,2018-06-11T16:45:00
Bangladesh,Food Inflation,2018-05-31T00:00:00,6.56,Monthly,BANGLADESHFOOINF,2018-06-11T16:45:00
Bangladesh,Food Inflation,2018-06-30T00:00:00,5.98,Monthly,BANGLADESHFOOINF,2018-07-25T10:25:00
Bangladesh,Food Inflation,2018-07-31T00:00:00,6.18,Monthly,BANGLADESHFOOINF,2018-08-10T10:33:00
Bangladesh,Food Inflation,2018-08-31T00:00:00,5.97,Monthly,BANGLADESHFOOINF,2018-10-11T16:05:00
Bangladesh,Food Inflation,2018-09-30T00:00:00,5.42,Monthly,BANGLADESHFOOINF,2018-10-22T10:16:00
Bangladesh,Food Inflation,2018-10-31T00:00:00,5.08,Monthly,BANGLADESHFOOINF,2018-11-16T09:58:00
Bangladesh,Food Inflation,2018-11-30T00:00:00,5.29,Monthly,BANGLADESHFOOINF,2018-12-18T10:48:00
Bangladesh,Food Inflation,2018-12-31T00:00:00,5.28,Monthly,BANGLADESHFOOINF,2019-01-03T11:46:00
Bangladesh,Food Inflation,2019-01-31T00:00:00,5.33,Monthly,BANGLADESHFOOINF,2019-03-08T15:52:00
Bangladesh,Food Inflation,2019-02-28T00:00:00,5.44,Monthly,BANGLADESHFOOINF,2019-03-11T16:03:00
Bangladesh,Food Inflation,2019-03-31T00:00:00,5.72,Monthly,BANGLADESHFOOINF,2019-04-11T13:49:00
Bangladesh,Food Inflation,2019-04-30T00:00:00,5.54,Monthly,BANGLADESHFOOINF,2019-06-17T08:55:00
Bangladesh,Food Inflation,2019-05-31T00:00:00,5.49,Monthly,BANGLADESHFOOINF,2019-07-15T12:05:00
Bangladesh,Food Inflation,2019-06-30T00:00:00,5.4,Monthly,BANGLADESHFOOINF,2019-07-15T12:08:00
Bangladesh,Food Inflation,2019-07-31T00:00:00,5.42,Monthly,BANGLADESHFOOINF,2019-08-22T10:17:00
Bangladesh,Food Inflation,2019-08-31T00:00:00,5.27,Monthly,BANGLADESHFOOINF,2019-09-18T11:52:00
Bangladesh,Food Inflation,2019-09-30T00:00:00,5.3,Monthly,BANGLADESHFOOINF,2019-10-17T09:44:00
Bangladesh,Food Inflation,2019-10-31T00:00:00,5.5,Monthly,BANGLADESHFOOINF,2019-12-18T10:23:00
Bangladesh,Food Inflation,2019-11-30T00:00:00,6.4,Monthly,BANGLADESHFOOINF,2019-12-18T10:24:00
Bangladesh,Food Inflation,2019-12-31T00:00:00,5.9,Monthly,BANGLADESHFOOINF,2020-01-13T10:38:00
Bangladesh,Food Inflation,2020-01-31T00:00:00,5.1,Monthly,BANGLADESHFOOINF,2020-02-17T11:19:00
Bangladesh,Food Inflation,2020-02-28T00:00:00,5,Monthly,BANGLADESHFOOINF,2020-03-11T11:39:00
Bangladesh,Food Inflation,2020-03-31T00:00:00,4.9,Monthly,BANGLADESHFOOINF,2020-05-19T19:30:00
Bangladesh,Food Inflation,2020-04-30T00:00:00,5.9,Monthly,BANGLADESHFOOINF,2020-06-05T16:53:00
Bangladesh,Food Inflation,2020-05-31T00:00:00,5.1,Monthly,BANGLADESHFOOINF,2020-06-05T16:53:00
Bangladesh,Food Inflation,2020-06-30T00:00:00,6.5,Monthly,BANGLADESHFOOINF,2020-07-15T12:38:00
Bangladesh,Food Inflation,2020-07-31T00:00:00,5.7,Monthly,BANGLADESHFOOINF,2020-08-20T14:12:00
Bangladesh,Food Inflation,2020-08-31T00:00:00,6.1,Monthly,BANGLADESHFOOINF,2020-09-18T11:30:00
Bangladesh,Food Inflation,2020-09-30T00:00:00,6.5,Monthly,BANGLADESHFOOINF,2020-10-16T11:49:00
Bangladesh,Food Inflation,2020-10-31T00:00:00,7.3,Monthly,BANGLADESHFOOINF,2020-11-05T13:52:00
Bangladesh,Food Inflation,2020-11-30T00:00:00,5.7,Monthly,BANGLADESHFOOINF,2020-12-18T13:11:00
Bangladesh,Food Inflation,2020-12-31T00:00:00,5.3,Monthly,BANGLADESHFOOINF,2021-01-13T17:31:00
Bangladesh,Food Inflation,2021-01-31T00:00:00,5.2,Monthly,BANGLADESHFOOINF,2021-02-15T09:39:00
Bangladesh,Food Inflation,2021-02-28T00:00:00,5.4,Monthly,BANGLADESHFOOINF,2021-04-15T10:10:00
Bangladesh,Food Inflation,2021-03-31T00:00:00,5.5,Monthly,BANGLADESHFOOINF,2021-04-15T10:10:00
Bangladesh,Food Inflation,2021-04-30T00:00:00,5.6,Monthly,BANGLADESHFOOINF,2021-05-27T10:58:00
Bangladesh,Food Inflation,2021-05-31T00:00:00,4.9,Monthly,BANGLADESHFOOINF,2021-06-14T09:26:00
Bangladesh,Food Inflation,2021-06-30T00:00:00,5.45,Monthly,BANGLADESHFOOINF,2021-09-28T10:33:00
Bangladesh,Food Inflation,2021-07-31T00:00:00,5.08,Monthly,BANGLADESHFOOINF,2021-09-28T10:33:00
Bangladesh,Food Inflation,2021-08-31T00:00:00,5.16,Monthly,BANGLADESHFOOINF,2021-09-28T10:33:00
Bangladesh,Food Inflation,2021-09-30T00:00:00,5.21,Monthly,BANGLADESHFOOINF,2021-10-21T10:04:00
Bangladesh,Food Inflation,2021-10-31T00:00:00,5.22,Monthly,BANGLADESHFOOINF,2021-11-29T11:12:00
Bangladesh,Food Inflation,2021-11-30T00:00:00,5.43,Monthly,BANGLADESHFOOINF,2021-12-27T09:21:00
Bangladesh,Food Inflation,2021-12-31T00:00:00,5.46,Monthly,BANGLADESHFOOINF,2022-01-26T17:48:00
Bangladesh,Food Inflation,2022-01-31T00:00:00,5.6,Monthly,BANGLADESHFOOINF,2022-02-24T13:10:00
Bangladesh,Food Inflation,2022-02-28T00:00:00,6.2,Monthly,BANGLADESHFOOINF,2022-03-21T10:18:00
