Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Bangladesh,Inflation Rate,1994-07-31T00:00:00,5.5,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1994-08-31T00:00:00,7.11,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1994-09-30T00:00:00,6.84,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1994-10-31T00:00:00,8.3,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1994-11-30T00:00:00,7.62,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1994-12-31T00:00:00,8.79,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1995-01-31T00:00:00,9.79,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1995-02-28T00:00:00,9.36,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1995-03-31T00:00:00,10.45,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1995-04-30T00:00:00,10.44,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1995-05-31T00:00:00,10.53,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1995-06-30T00:00:00,11.2,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1995-07-31T00:00:00,11.43,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1995-08-31T00:00:00,11.06,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1995-09-30T00:00:00,11.89,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1995-10-31T00:00:00,9.37,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1995-11-30T00:00:00,9.5,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1995-12-31T00:00:00,8.87,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1996-01-31T00:00:00,5.37,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1996-02-29T00:00:00,4.94,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1996-03-31T00:00:00,2.67,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1996-04-30T00:00:00,3.31,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1996-05-31T00:00:00,3.49,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1996-06-30T00:00:00,1.64,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1996-07-31T00:00:00,3.52,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1996-08-31T00:00:00,2.27,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1996-09-30T00:00:00,0.54,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1996-10-31T00:00:00,0.62,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1996-11-30T00:00:00,0.66,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1996-12-31T00:00:00,-0.03,Monthly,BangladeshIR,2016-04-05T14:51:00
Bangladesh,Inflation Rate,1997-01-31T00:00:00,3.11,Monthly,BangladeshIR,2016-04-05T14:51:00
