Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Benin,Food Inflation,2010-05-31T00:00:00,-1.29,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2010-06-30T00:00:00,8.46,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2010-08-31T00:00:00,2.25,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2010-10-31T00:00:00,8.15,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2010-11-30T00:00:00,12.36,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2011-01-31T00:00:00,14.86,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2011-02-28T00:00:00,9.5,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2011-03-31T00:00:00,5.81,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2011-04-30T00:00:00,5.4,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2011-05-31T00:00:00,6.09,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2011-06-30T00:00:00,3.36,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2011-07-31T00:00:00,8.14,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2011-08-31T00:00:00,8.6,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2011-09-30T00:00:00,5.54,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2011-10-31T00:00:00,1.82,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2011-11-30T00:00:00,-0.44,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2011-12-31T00:00:00,1.41,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2012-01-31T00:00:00,-2.26,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2012-02-29T00:00:00,2.65,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2012-03-31T00:00:00,7.26,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2012-04-30T00:00:00,4.41,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2012-05-31T00:00:00,6.62,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2012-06-30T00:00:00,5.97,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2012-07-31T00:00:00,2.54,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2012-08-31T00:00:00,1.85,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2012-09-30T00:00:00,5.43,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2012-10-31T00:00:00,7.85,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2012-11-30T00:00:00,7.78,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2012-12-31T00:00:00,6.42,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2013-01-31T00:00:00,7.37,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2013-02-28T00:00:00,7.65,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2013-03-31T00:00:00,5.2,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2013-04-30T00:00:00,5.94,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2013-05-31T00:00:00,2.81,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2013-06-30T00:00:00,0.58,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2013-07-31T00:00:00,6.66,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2013-08-31T00:00:00,4.06,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2013-09-30T00:00:00,0.42,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2013-10-31T00:00:00,-2.73,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2013-11-30T00:00:00,-4.02,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2013-12-31T00:00:00,-1.96,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2014-01-31T00:00:00,2.81,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2014-02-28T00:00:00,-0.33,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2014-03-31T00:00:00,-0.99,Monthly,BENINFOOINF,2014-05-26T14:58:00
Benin,Food Inflation,2014-04-30T00:00:00,-0.9,Monthly,BENINFOOINF,2014-07-14T17:18:00
Benin,Food Inflation,2014-05-31T00:00:00,2.3,Monthly,BENINFOOINF,2014-07-14T17:16:00
Benin,Food Inflation,2014-06-30T00:00:00,1.5,Monthly,BENINFOOINF,2014-07-21T10:11:00
Benin,Food Inflation,2014-07-31T00:00:00,-2.2,Monthly,BENINFOOINF,2014-08-20T16:18:00
Benin,Food Inflation,2014-08-31T00:00:00,-2.5,Monthly,BENINFOOINF,2014-10-21T11:06:00
Benin,Food Inflation,2014-09-30T00:00:00,-2.8,Monthly,BENINFOOINF,2014-10-21T11:05:00
Benin,Food Inflation,2014-10-31T00:00:00,-0.9,Monthly,BENINFOOINF,2014-11-24T15:48:00
Benin,Food Inflation,2014-11-30T00:00:00,-2.1,Monthly,BENINFOOINF,2014-12-22T17:44:00
Benin,Food Inflation,2014-12-31T00:00:00,-3.4,Monthly,BENINFOOINF,2015-03-09T12:05:00
Benin,Food Inflation,2015-01-31T00:00:00,-2.3,Monthly,BENINFOOINF,2015-03-09T12:03:00
Benin,Food Inflation,2015-02-28T00:00:00,-1.9,Monthly,BENINFOOINF,2015-04-06T12:55:00
Benin,Food Inflation,2015-03-31T00:00:00,1.5,Monthly,BENINFOOINF,2022-09-20T09:04:00
Benin,Food Inflation,2015-04-30T00:00:00,-4.4,Monthly,BENINFOOINF,2015-06-03T12:58:00
Benin,Food Inflation,2015-05-31T00:00:00,-4.5,Monthly,BENINFOOINF,2015-07-01T12:44:00
Benin,Food Inflation,2015-06-30T00:00:00,3.5,Monthly,BENINFOOINF,2015-07-30T08:50:00
Benin,Food Inflation,2015-07-31T00:00:00,-1.7,Monthly,BENINFOOINF,2015-09-08T13:42:00
Benin,Food Inflation,2015-08-31T00:00:00,-0.8,Monthly,BENINFOOINF,2015-11-02T14:33:00
Benin,Food Inflation,2015-09-30T00:00:00,-0.3,Monthly,BENINFOOINF,2016-02-08T13:27:00
Benin,Food Inflation,2015-10-31T00:00:00,3.2,Monthly,BENINFOOINF,2016-02-08T13:28:00
Benin,Food Inflation,2015-11-30T00:00:00,7,Monthly,BENINFOOINF,2016-02-08T13:28:00
Benin,Food Inflation,2015-12-31T00:00:00,6.7,Monthly,BENINFOOINF,2016-02-08T13:29:00
Benin,Food Inflation,2016-01-31T00:00:00,-1,Monthly,BENINFOOINF,2016-03-07T10:26:00
Benin,Food Inflation,2016-02-29T00:00:00,-0.2,Monthly,BENINFOOINF,2016-04-08T15:31:00
Benin,Food Inflation,2016-03-31T00:00:00,-1.4,Monthly,BENINFOOINF,2016-06-14T18:24:00
Benin,Food Inflation,2016-04-30T00:00:00,7.6,Monthly,BENINFOOINF,2016-06-14T18:18:00
Benin,Food Inflation,2016-05-31T00:00:00,6.4,Monthly,BENINFOOINF,2016-06-14T18:17:00
Benin,Food Inflation,2016-06-30T00:00:00,-0.3,Monthly,BENINFOOINF,2016-07-28T16:08:00
Benin,Food Inflation,2016-07-31T00:00:00,1.9,Monthly,BENINFOOINF,2016-09-07T13:13:00
Benin,Food Inflation,2016-08-31T00:00:00,-1.3,Monthly,BENINFOOINF,2016-09-16T17:20:00
Benin,Food Inflation,2016-09-30T00:00:00,-2.9,Monthly,BENINFOOINF,2016-10-17T12:37:00
Benin,Food Inflation,2016-10-31T00:00:00,-6.2,Monthly,BENINFOOINF,2016-11-24T17:52:00
Benin,Food Inflation,2016-11-30T00:00:00,-3.8,Monthly,BENINFOOINF,2017-01-02T10:30:00
Benin,Food Inflation,2016-12-31T00:00:00,-4,Monthly,BENINFOOINF,2017-01-30T15:02:00
Benin,Food Inflation,2017-01-31T00:00:00,-2.7,Monthly,BENINFOOINF,2017-04-04T10:33:00
Benin,Food Inflation,2017-02-28T00:00:00,-2.5,Monthly,BENINFOOINF,2017-04-04T10:32:00
Benin,Food Inflation,2017-03-31T00:00:00,-4.9,Monthly,BENINFOOINF,2017-05-17T16:47:00
Benin,Food Inflation,2017-04-30T00:00:00,-6.7,Monthly,BENINFOOINF,2017-06-07T14:41:00
Benin,Food Inflation,2017-05-31T00:00:00,-6.2,Monthly,BENINFOOINF,2017-07-12T11:15:00
Benin,Food Inflation,2017-06-30T00:00:00,-2.3,Monthly,BENINFOOINF,2017-08-09T16:55:00
Benin,Food Inflation,2017-07-31T00:00:00,-0.5,Monthly,BENINFOOINF,2017-09-12T13:23:00
Benin,Food Inflation,2017-08-31T00:00:00,9.7,Monthly,BENINFOOINF,2017-09-26T14:20:00
Benin,Food Inflation,2017-09-30T00:00:00,4.4,Monthly,BENINFOOINF,2017-12-11T13:12:00
Benin,Food Inflation,2017-10-31T00:00:00,2.7,Monthly,BENINFOOINF,2017-12-11T13:13:00
Benin,Food Inflation,2017-11-30T00:00:00,5.4,Monthly,BENINFOOINF,2018-01-09T15:27:00
Benin,Food Inflation,2017-12-31T00:00:00,4.9,Monthly,BENINFOOINF,2018-02-05T13:17:00
Benin,Food Inflation,2018-01-31T00:00:00,-0.1,Monthly,BENINFOOINF,2018-03-05T14:59:00
Benin,Food Inflation,2018-02-28T00:00:00,1.4,Monthly,BENINFOOINF,2018-04-03T15:46:00
Benin,Food Inflation,2018-03-31T00:00:00,1.9,Monthly,BENINFOOINF,2018-06-11T15:33:00
Benin,Food Inflation,2018-04-30T00:00:00,5.3,Monthly,BENINFOOINF,2018-06-11T15:33:00
Benin,Food Inflation,2018-05-31T00:00:00,1.8,Monthly,BENINFOOINF,2018-07-04T14:44:00
Benin,Food Inflation,2018-06-30T00:00:00,-0.6,Monthly,BENINFOOINF,2018-08-01T12:21:00
Benin,Food Inflation,2018-07-31T00:00:00,0.3,Monthly,BENINFOOINF,2018-08-27T11:36:00
Benin,Food Inflation,2018-08-31T00:00:00,-5.1,Monthly,BENINFOOINF,2018-09-24T15:59:00
Benin,Food Inflation,2018-09-30T00:00:00,2.6,Monthly,BENINFOOINF,2018-11-20T14:44:00
Benin,Food Inflation,2018-10-31T00:00:00,5.8,Monthly,BENINFOOINF,2018-11-20T14:45:00
Benin,Food Inflation,2018-11-30T00:00:00,-0.7,Monthly,BENINFOOINF,2019-01-08T15:45:00
Benin,Food Inflation,2018-12-31T00:00:00,1.1,Monthly,BENINFOOINF,2019-01-24T11:32:00
Benin,Food Inflation,2019-01-31T00:00:00,3.1,Monthly,BENINFOOINF,2019-08-13T15:24:00
Benin,Food Inflation,2019-02-28T00:00:00,-3.5,Monthly,BENINFOOINF,2019-08-13T15:25:00
Benin,Food Inflation,2019-03-31T00:00:00,4.2,Monthly,BENINFOOINF,2019-08-13T15:26:00
Benin,Food Inflation,2019-04-30T00:00:00,-3.4,Monthly,BENINFOOINF,2019-08-13T15:27:00
Benin,Food Inflation,2019-05-31T00:00:00,0.1,Monthly,BENINFOOINF,2019-08-13T15:28:00
Benin,Food Inflation,2019-06-30T00:00:00,-5.9,Monthly,BENINFOOINF,2019-10-07T15:34:00
Benin,Food Inflation,2019-07-31T00:00:00,-3.4,Monthly,BENINFOOINF,2019-10-07T15:36:00
Benin,Food Inflation,2019-08-31T00:00:00,-3.5,Monthly,BENINFOOINF,2019-10-07T15:36:00
Benin,Food Inflation,2019-09-30T00:00:00,-6.3,Monthly,BENINFOOINF,2019-10-16T15:58:00
Benin,Food Inflation,2019-10-31T00:00:00,-5.4,Monthly,BENINFOOINF,2020-01-02T16:58:00
Benin,Food Inflation,2019-11-30T00:00:00,-2.7,Monthly,BENINFOOINF,2020-01-02T16:55:00
Benin,Food Inflation,2019-12-31T00:00:00,-4.9,Monthly,BENINFOOINF,2020-01-21T15:57:00
Benin,Food Inflation,2020-01-31T00:00:00,-3.4,Monthly,BENINFOOINF,2020-02-12T17:58:00
Benin,Food Inflation,2020-02-28T00:00:00,3.6,Monthly,BENINFOOINF,2020-03-18T16:03:00
Benin,Food Inflation,2020-03-31T00:00:00,-1.3,Monthly,BENINFOOINF,2020-05-19T16:55:00
Benin,Food Inflation,2020-04-30T00:00:00,3.1,Monthly,BENINFOOINF,2020-05-19T16:58:00
Benin,Food Inflation,2020-05-31T00:00:00,-1,Monthly,BENINFOOINF,2020-06-18T16:34:00
Benin,Food Inflation,2020-06-30T00:00:00,3,Monthly,BENINFOOINF,2020-07-12T17:02:00
Benin,Food Inflation,2020-07-31T00:00:00,2,Monthly,BENINFOOINF,2020-09-08T13:52:00
Benin,Food Inflation,2020-08-31T00:00:00,6.3,Monthly,BENINFOOINF,2020-10-20T13:38:00
Benin,Food Inflation,2020-09-30T00:00:00,9.4,Monthly,BENINFOOINF,2020-10-20T13:48:00
Benin,Food Inflation,2020-10-31T00:00:00,7.5,Monthly,BENINFOOINF,2020-12-13T15:42:00
Benin,Food Inflation,2020-11-30T00:00:00,3.4,Monthly,BENINFOOINF,2020-12-13T15:41:00
Benin,Food Inflation,2020-12-31T00:00:00,4.3,Monthly,BENINFOOINF,2021-04-26T13:53:00
Benin,Food Inflation,2021-01-31T00:00:00,0.4,Monthly,BENINFOOINF,2021-03-11T12:30:00
Benin,Food Inflation,2021-02-28T00:00:00,-2.5,Monthly,BENINFOOINF,2021-04-26T13:53:00
Benin,Food Inflation,2021-03-31T00:00:00,1.2,Monthly,BENINFOOINF,2021-05-04T11:52:00
Benin,Food Inflation,2021-04-30T00:00:00,2.9,Monthly,BENINFOOINF,2021-06-28T11:13:00
Benin,Food Inflation,2021-05-31T00:00:00,5,Monthly,BENINFOOINF,2021-06-28T11:13:00
Benin,Food Inflation,2021-06-30T00:00:00,12,Monthly,BENINFOOINF,2021-08-12T10:34:00
Benin,Food Inflation,2021-07-31T00:00:00,8.9,Monthly,BENINFOOINF,2021-08-12T10:34:00
Benin,Food Inflation,2021-08-31T00:00:00,5.9,Monthly,BENINFOOINF,2021-10-06T11:32:00
Benin,Food Inflation,2021-09-30T00:00:00,10.7,Monthly,BENINFOOINF,2022-03-30T10:03:00
Benin,Food Inflation,2021-10-31T00:00:00,7.8,Monthly,BENINFOOINF,2021-11-11T16:50:00
Benin,Food Inflation,2021-11-30T00:00:00,7.4,Monthly,BENINFOOINF,2022-01-05T16:33:00
Benin,Food Inflation,2021-12-31T00:00:00,11.3,Monthly,BENINFOOINF,2022-03-30T10:03:00
Benin,Food Inflation,2022-01-31T00:00:00,15.5,Monthly,BENINFOOINF,2022-03-30T10:03:00
Benin,Food Inflation,2022-02-28T00:00:00,4.6,Monthly,BENINFOOINF,2022-03-30T10:03:00
Benin,Food Inflation,2022-03-31T00:00:00,1.9,Monthly,BENINFOOINF,2022-06-03T15:19:00
Benin,Food Inflation,2022-04-30T00:00:00,-1.1,Monthly,BENINFOOINF,2022-08-02T18:34:00
Benin,Food Inflation,2022-05-31T00:00:00,-1.7,Monthly,BENINFOOINF,2022-08-02T18:36:00
Benin,Food Inflation,2022-06-30T00:00:00,-9,Monthly,BENINFOOINF,2022-08-02T18:38:00
Benin,Food Inflation,2022-07-31T00:00:00,-5.3,Monthly,BENINFOOINF,2022-08-23T16:25:00
Benin,Food Inflation,2022-08-31T00:00:00,-3.9,Monthly,BENINFOOINF,2022-09-20T09:02:00
Benin,Food Inflation,2022-09-30T00:00:00,-7.1,Monthly,BENINFOOINF,2022-10-17T13:35:00
Benin,Food Inflation,2022-10-31T00:00:00,-0.8,Monthly,BENINFOOINF,2022-11-21T08:18:00
Benin,Food Inflation,2022-11-30T00:00:00,1.2,Monthly,BENINFOOINF,2022-12-20T06:42:00
Benin,Food Inflation,2022-12-31T00:00:00,-0.4,Monthly,BENINFOOINF,2023-01-11T01:25:00
Benin,Food Inflation,2023-01-31T00:00:00,-1.8,Monthly,BENINFOOINF,2023-02-13T05:26:00
Benin,Food Inflation,2023-02-28T00:00:00,8.9,Monthly,BENINFOOINF,2023-04-03T02:17:00
Benin,Food Inflation,2023-03-31T00:00:00,10.8,Monthly,BENINFOOINF,2023-04-17T13:40:00
Benin,Food Inflation,2023-04-30T00:00:00,4.1,Monthly,BENINFOOINF,2023-05-17T02:07:00
Benin,Food Inflation,2023-05-31T00:00:00,3.1,Monthly,BENINFOOINF,2023-06-30T10:35:00
Benin,Food Inflation,2023-06-30T00:00:00,2.2,Monthly,BENINFOOINF,2023-07-11T05:38:00
