Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Bolivia,Food Inflation,1993-01-31T00:00:00,9.33,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1993-02-28T00:00:00,5.94,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1993-03-31T00:00:00,5.06,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1993-04-30T00:00:00,4.65,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1993-05-31T00:00:00,3.84,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1993-06-30T00:00:00,4.95,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1993-07-31T00:00:00,5.92,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1993-08-31T00:00:00,6.97,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1993-09-30T00:00:00,8.49,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1993-10-31T00:00:00,8.58,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1993-11-30T00:00:00,8.23,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1993-12-31T00:00:00,8.8,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1994-01-31T00:00:00,8.55,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1994-02-28T00:00:00,8.67,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1994-03-31T00:00:00,8.55,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1994-04-30T00:00:00,9.7,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1994-05-31T00:00:00,9.54,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1994-06-30T00:00:00,8.47,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1994-07-31T00:00:00,8.26,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1994-08-31T00:00:00,7.73,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1994-09-30T00:00:00,7.68,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1994-10-31T00:00:00,8.51,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1994-11-30T00:00:00,11.76,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1994-12-31T00:00:00,10.62,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1995-01-31T00:00:00,10.34,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
Bolivia,Food Inflation,1995-02-28T00:00:00,9.72,Monthly,BOLIVIAFOOINF,2014-07-24T15:29:00
