Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Bolivia,Inflation Rate,1968-01-31T00:00:00,4.54,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1968-02-29T00:00:00,2.31,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1968-03-31T00:00:00,8.24,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1968-04-30T00:00:00,6.3,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1968-05-31T00:00:00,8.69,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1968-06-30T00:00:00,4.07,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1968-07-31T00:00:00,8.13,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1968-08-31T00:00:00,6.81,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1968-09-30T00:00:00,5.81,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1968-10-31T00:00:00,4.14,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1968-11-30T00:00:00,3.84,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1968-12-31T00:00:00,3.49,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1969-01-31T00:00:00,3.21,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1969-02-28T00:00:00,2.69,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1969-03-31T00:00:00,2.09,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1969-04-30T00:00:00,2.44,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1969-05-31T00:00:00,1.46,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1969-06-30T00:00:00,0.51,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1969-07-31T00:00:00,-0.41,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1969-08-31T00:00:00,1.68,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1969-09-30T00:00:00,2.53,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1969-10-31T00:00:00,3.39,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1969-11-30T00:00:00,3.81,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1969-12-31T00:00:00,3.21,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1970-01-31T00:00:00,2.92,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1970-02-28T00:00:00,3.8,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1970-03-31T00:00:00,4.5,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1970-04-30T00:00:00,4.25,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1970-05-31T00:00:00,4.42,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1970-06-30T00:00:00,4.89,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1970-07-31T00:00:00,5.04,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1970-08-31T00:00:00,3.37,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1970-09-30T00:00:00,3.21,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1970-10-31T00:00:00,3.28,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1970-11-30T00:00:00,2.98,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1970-12-31T00:00:00,4.07,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1971-01-31T00:00:00,3.35,Monthly,BoliviaIR,2013-02-06T11:16:00
Bolivia,Inflation Rate,1971-02-28T00:00:00,2.7,Monthly,BoliviaIR,2013-02-06T11:16:00
