Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Burundi,Food Inflation,2011-03-31T00:00:00,4.6,Monthly,BURUNDIFOOINF,2014-05-27T16:25:00
Burundi,Food Inflation,2011-04-30T00:00:00,6.2,Monthly,BURUNDIFOOINF,2014-05-27T16:24:00
Burundi,Food Inflation,2011-05-31T00:00:00,6.3,Monthly,BURUNDIFOOINF,2014-05-27T16:24:00
Burundi,Food Inflation,2011-06-30T00:00:00,7.8,Monthly,BURUNDIFOOINF,2014-05-27T16:23:00
Burundi,Food Inflation,2011-07-31T00:00:00,8.8,Monthly,BURUNDIFOOINF,2014-05-27T16:23:00
Burundi,Food Inflation,2011-09-30T00:00:00,10.9,Monthly,BURUNDIFOOINF,2014-05-27T16:22:00
Burundi,Food Inflation,2011-10-31T00:00:00,13.6,Monthly,BURUNDIFOOINF,2014-05-27T16:21:00
Burundi,Food Inflation,2011-11-30T00:00:00,20,Monthly,BURUNDIFOOINF,2014-05-27T16:21:00
Burundi,Food Inflation,2011-12-31T00:00:00,16.9,Monthly,BURUNDIFOOINF,2014-05-27T16:21:00
Burundi,Food Inflation,2013-07-31T00:00:00,11.5,Monthly,BURUNDIFOOINF,2014-05-27T16:20:00
Burundi,Food Inflation,2013-09-30T00:00:00,16.3,Monthly,BURUNDIFOOINF,2014-05-27T16:19:00
Burundi,Food Inflation,2013-10-31T00:00:00,10.1,Monthly,BURUNDIFOOINF,2014-05-27T16:19:00
Burundi,Food Inflation,2013-12-31T00:00:00,10.7,Monthly,BURUNDIFOOINF,2014-05-27T16:18:00
Burundi,Food Inflation,2014-01-31T00:00:00,7.7,Monthly,BURUNDIFOOINF,2014-05-27T16:17:00
Burundi,Food Inflation,2014-02-28T00:00:00,6.4,Monthly,BURUNDIFOOINF,2014-05-27T16:17:00
Burundi,Food Inflation,2014-03-31T00:00:00,1.2,Monthly,BURUNDIFOOINF,2014-05-27T16:16:00
Burundi,Food Inflation,2014-05-31T00:00:00,1.7,Monthly,BURUNDIFOOINF,2014-06-25T12:42:00
Burundi,Food Inflation,2014-06-30T00:00:00,1.8,Monthly,BURUNDIFOOINF,2014-08-11T16:04:00
Burundi,Food Inflation,2014-07-31T00:00:00,1.2,Monthly,BURUNDIFOOINF,2014-09-04T17:35:00
Burundi,Food Inflation,2014-08-31T00:00:00,3.1,Monthly,BURUNDIFOOINF,2014-10-07T14:51:00
Burundi,Food Inflation,2014-09-30T00:00:00,2.4,Monthly,BURUNDIFOOINF,2014-10-28T11:00:00
Burundi,Food Inflation,2014-10-31T00:00:00,3.9,Monthly,BURUNDIFOOINF,2014-11-25T10:17:00
Burundi,Food Inflation,2014-11-30T00:00:00,0.6,Monthly,BURUNDIFOOINF,2015-01-28T18:28:00
Burundi,Food Inflation,2014-12-31T00:00:00,-0.5,Monthly,BURUNDIFOOINF,2015-01-28T18:27:00
Burundi,Food Inflation,2015-01-31T00:00:00,-1.2,Monthly,BURUNDIFOOINF,2015-04-06T15:55:00
Burundi,Food Inflation,2015-02-28T00:00:00,-2.9,Monthly,BURUNDIFOOINF,2015-04-06T15:56:00
Burundi,Food Inflation,2015-03-31T00:00:00,2.3,Monthly,BURUNDIFOOINF,2015-06-03T14:35:00
Burundi,Food Inflation,2015-04-30T00:00:00,8.6,Monthly,BURUNDIFOOINF,2015-06-03T14:34:00
Burundi,Food Inflation,2015-05-31T00:00:00,8.5,Monthly,BURUNDIFOOINF,2015-07-23T17:58:00
Burundi,Food Inflation,2015-06-30T00:00:00,10,Monthly,BURUNDIFOOINF,2015-07-23T17:58:00
Burundi,Food Inflation,2015-07-31T00:00:00,10.4,Monthly,BURUNDIFOOINF,2015-08-13T13:39:00
Burundi,Food Inflation,2015-08-31T00:00:00,4.6,Monthly,BURUNDIFOOINF,2015-09-23T18:14:00
Burundi,Food Inflation,2015-09-30T00:00:00,4.8,Monthly,BURUNDIFOOINF,2015-10-19T11:50:00
Burundi,Food Inflation,2015-10-31T00:00:00,5.4,Monthly,BURUNDIFOOINF,2015-11-27T16:43:00
Burundi,Food Inflation,2015-11-30T00:00:00,7.16,Monthly,BURUNDIFOOINF,2015-12-18T16:22:00
Burundi,Food Inflation,2015-12-31T00:00:00,11.76,Monthly,BURUNDIFOOINF,2016-02-16T12:54:00
Burundi,Food Inflation,2016-01-31T00:00:00,9.62,Monthly,BURUNDIFOOINF,2016-02-16T12:54:00
Burundi,Food Inflation,2016-02-29T00:00:00,10.9,Monthly,BURUNDIFOOINF,2016-04-05T15:16:00
Burundi,Food Inflation,2016-03-31T00:00:00,6.4,Monthly,BURUNDIFOOINF,2016-04-20T14:33:00
Burundi,Food Inflation,2016-04-30T00:00:00,2.5,Monthly,BURUNDIFOOINF,2016-06-14T15:04:00
Burundi,Food Inflation,2016-05-31T00:00:00,2.8,Monthly,BURUNDIFOOINF,2016-06-14T15:04:00
Burundi,Food Inflation,2016-06-30T00:00:00,4,Monthly,BURUNDIFOOINF,2016-07-20T15:24:00
Burundi,Food Inflation,2016-07-31T00:00:00,4.6,Monthly,BURUNDIFOOINF,2016-08-26T14:35:00
Burundi,Food Inflation,2016-08-31T00:00:00,7.7,Monthly,BURUNDIFOOINF,2016-09-21T12:15:00
Burundi,Food Inflation,2016-09-30T00:00:00,8.4,Monthly,BURUNDIFOOINF,2016-10-17T16:32:00
Burundi,Food Inflation,2016-10-31T00:00:00,7,Monthly,BURUNDIFOOINF,2016-11-15T14:28:00
Burundi,Food Inflation,2016-11-30T00:00:00,9.1,Monthly,BURUNDIFOOINF,2016-12-12T16:29:00
Burundi,Food Inflation,2016-12-31T00:00:00,13.9,Monthly,BURUNDIFOOINF,2017-03-02T11:53:00
Burundi,Food Inflation,2017-01-31T00:00:00,20.4,Monthly,BURUNDIFOOINF,2017-03-02T11:53:00
Burundi,Food Inflation,2017-02-28T00:00:00,34.1,Monthly,BURUNDIFOOINF,2017-04-04T10:15:00
Burundi,Food Inflation,2017-03-31T00:00:00,34.1,Monthly,BURUNDIFOOINF,2017-04-18T09:51:00
Burundi,Food Inflation,2017-04-30T00:00:00,30,Monthly,BURUNDIFOOINF,2017-06-07T15:50:00
Burundi,Food Inflation,2017-05-31T00:00:00,27.8,Monthly,BURUNDIFOOINF,2017-06-29T12:22:00
Burundi,Food Inflation,2017-06-30T00:00:00,20.8,Monthly,BURUNDIFOOINF,2017-07-19T11:54:00
Burundi,Food Inflation,2017-07-31T00:00:00,18.7,Monthly,BURUNDIFOOINF,2017-11-01T12:57:00
Burundi,Food Inflation,2017-08-31T00:00:00,22.6,Monthly,BURUNDIFOOINF,2017-11-01T12:57:00
Burundi,Food Inflation,2017-09-30T00:00:00,23.4,Monthly,BURUNDIFOOINF,2017-11-27T09:56:00
Burundi,Food Inflation,2017-10-31T00:00:00,27.8,Monthly,BURUNDIFOOINF,2017-11-27T09:56:00
Burundi,Food Inflation,2017-11-30T00:00:00,22,Monthly,BURUNDIFOOINF,2017-12-26T09:36:00
Burundi,Food Inflation,2017-12-31T00:00:00,9.7,Monthly,BURUNDIFOOINF,2018-02-05T13:20:00
Burundi,Food Inflation,2018-01-31T00:00:00,3.5,Monthly,BURUNDIFOOINF,2018-03-05T15:10:00
Burundi,Food Inflation,2018-02-28T00:00:00,-8.7,Monthly,BURUNDIFOOINF,2018-04-03T15:55:00
Burundi,Food Inflation,2018-03-31T00:00:00,-10.8,Monthly,BURUNDIFOOINF,2018-04-17T12:23:00
Burundi,Food Inflation,2018-04-30T00:00:00,-9.6,Monthly,BURUNDIFOOINF,2018-05-28T09:57:00
Burundi,Food Inflation,2018-05-31T00:00:00,-8.6,Monthly,BURUNDIFOOINF,2018-07-04T15:01:00
Burundi,Food Inflation,2018-06-30T00:00:00,-7.8,Monthly,BURUNDIFOOINF,2018-07-17T10:07:00
Burundi,Food Inflation,2018-07-31T00:00:00,-8.4,Monthly,BURUNDIFOOINF,2018-08-27T15:23:00
Burundi,Food Inflation,2018-08-31T00:00:00,-10.8,Monthly,BURUNDIFOOINF,2018-09-19T09:23:00
Burundi,Food Inflation,2018-09-30T00:00:00,-15.6,Monthly,BURUNDIFOOINF,2018-10-16T10:26:00
Burundi,Food Inflation,2018-10-31T00:00:00,-19.9,Monthly,BURUNDIFOOINF,2018-11-15T10:07:00
Burundi,Food Inflation,2018-11-30T00:00:00,-18.4,Monthly,BURUNDIFOOINF,2018-12-18T10:18:00
Burundi,Food Inflation,2018-12-31T00:00:00,-15.1,Monthly,BURUNDIFOOINF,2019-01-25T10:16:00
