Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Cameroon,Food Inflation,2014-01-31T00:00:00,1.04,Monthly,CAMEROONFOOINF,2014-08-11T15:25:00
Cameroon,Food Inflation,2014-02-28T00:00:00,1.71,Monthly,CAMEROONFOOINF,2014-08-11T15:25:00
Cameroon,Food Inflation,2014-03-31T00:00:00,1.52,Monthly,CAMEROONFOOINF,2014-08-11T15:24:00
Cameroon,Food Inflation,2014-04-30T00:00:00,1.14,Monthly,CAMEROONFOOINF,2014-09-10T15:59:00
Cameroon,Food Inflation,2014-05-31T00:00:00,1.32,Monthly,CAMEROONFOOINF,2014-09-10T16:00:00
Cameroon,Food Inflation,2014-06-30T00:00:00,0.38,Monthly,CAMEROONFOOINF,2014-09-10T16:01:00
Cameroon,Food Inflation,2014-07-31T00:00:00,1.7,Monthly,CAMEROONFOOINF,2015-02-04T14:16:00
Cameroon,Food Inflation,2014-08-31T00:00:00,0.65,Monthly,CAMEROONFOOINF,2015-02-04T14:16:00
Cameroon,Food Inflation,2014-09-30T00:00:00,0.37,Monthly,CAMEROONFOOINF,2015-02-04T14:17:00
Cameroon,Food Inflation,2014-10-31T00:00:00,-0.55,Monthly,CAMEROONFOOINF,2015-04-06T17:06:00
Cameroon,Food Inflation,2014-11-30T00:00:00,-0.18,Monthly,CAMEROONFOOINF,2015-04-06T17:07:00
Cameroon,Food Inflation,2014-12-31T00:00:00,0.28,Monthly,CAMEROONFOOINF,2015-04-06T17:07:00
Cameroon,Food Inflation,2015-01-31T00:00:00,0.84,Monthly,CAMEROONFOOINF,2015-06-05T18:51:00
Cameroon,Food Inflation,2015-02-28T00:00:00,1.12,Monthly,CAMEROONFOOINF,2015-06-05T18:51:00
Cameroon,Food Inflation,2015-03-31T00:00:00,0.94,Monthly,CAMEROONFOOINF,2015-06-05T18:51:00
Cameroon,Food Inflation,2015-04-30T00:00:00,2.54,Monthly,CAMEROONFOOINF,2015-10-26T18:05:00
Cameroon,Food Inflation,2015-05-31T00:00:00,1.96,Monthly,CAMEROONFOOINF,2015-10-26T18:05:00
Cameroon,Food Inflation,2015-06-30T00:00:00,2.92,Monthly,CAMEROONFOOINF,2015-10-26T18:06:00
Cameroon,Food Inflation,2015-07-31T00:00:00,2.87,Monthly,CAMEROONFOOINF,2016-02-15T16:19:00
Cameroon,Food Inflation,2015-08-31T00:00:00,2.13,Monthly,CAMEROONFOOINF,2016-02-15T16:20:00
Cameroon,Food Inflation,2015-09-30T00:00:00,2.69,Monthly,CAMEROONFOOINF,2016-02-15T16:20:00
Cameroon,Food Inflation,2015-10-31T00:00:00,3.15,Monthly,CAMEROONFOOINF,2016-02-15T16:20:00
Cameroon,Food Inflation,2015-11-30T00:00:00,1.56,Monthly,CAMEROONFOOINF,2016-02-15T16:20:00
Cameroon,Food Inflation,2015-12-31T00:00:00,1.56,Monthly,CAMEROONFOOINF,2016-02-15T16:20:00
Cameroon,Food Inflation,2016-01-31T00:00:00,1.85,Monthly,CAMEROONFOOINF,2016-09-07T16:48:00
Cameroon,Food Inflation,2016-02-29T00:00:00,1.94,Monthly,CAMEROONFOOINF,2016-09-07T16:47:00
Cameroon,Food Inflation,2016-03-31T00:00:00,2.13,Monthly,CAMEROONFOOINF,2016-09-07T16:47:00
Cameroon,Food Inflation,2016-04-30T00:00:00,1.56,Monthly,CAMEROONFOOINF,2016-09-07T16:47:00
Cameroon,Food Inflation,2016-05-31T00:00:00,2.47,Monthly,CAMEROONFOOINF,2016-09-07T16:47:00
