Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Cape Verde,Food Inflation,2006-02-28T00:00:00,6.29,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2006-03-31T00:00:00,6.99,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2006-04-30T00:00:00,8.46,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2006-05-31T00:00:00,9.4,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2006-06-30T00:00:00,8.92,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2006-07-31T00:00:00,8.06,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2006-08-31T00:00:00,4.78,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2006-09-30T00:00:00,4.52,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2006-10-31T00:00:00,5.38,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2006-11-30T00:00:00,6.84,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2006-12-31T00:00:00,5.26,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2007-01-31T00:00:00,8.08,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2007-02-28T00:00:00,5.06,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2007-03-31T00:00:00,4.93,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2007-04-30T00:00:00,4.21,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2007-05-31T00:00:00,3.77,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2007-06-30T00:00:00,3.52,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2007-07-31T00:00:00,4.46,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2007-08-31T00:00:00,5.39,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2007-09-30T00:00:00,3.91,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2007-10-31T00:00:00,4.9,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2007-11-30T00:00:00,5.17,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2007-12-31T00:00:00,6.97,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2008-01-31T00:00:00,5.64,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2008-02-29T00:00:00,6.9,Monthly,CAPEVERDEFOOINF,2019-02-25T17:18:00
Cape Verde,Food Inflation,2008-03-31T00:00:00,7.1,Monthly,CAPEVERDEFOOINF,2019-02-25T17:18:00
Cape Verde,Food Inflation,2008-04-30T00:00:00,8.3,Monthly,CAPEVERDEFOOINF,2019-02-25T17:18:00
Cape Verde,Food Inflation,2008-05-31T00:00:00,9.1,Monthly,CAPEVERDEFOOINF,2019-02-25T17:18:00
Cape Verde,Food Inflation,2008-06-30T00:00:00,9.8,Monthly,CAPEVERDEFOOINF,2019-02-25T17:18:00
Cape Verde,Food Inflation,2008-07-31T00:00:00,10.4,Monthly,CAPEVERDEFOOINF,2019-02-25T17:18:00
Cape Verde,Food Inflation,2008-08-31T00:00:00,10.3,Monthly,CAPEVERDEFOOINF,2019-02-25T17:18:00
Cape Verde,Food Inflation,2008-09-30T00:00:00,11.7,Monthly,CAPEVERDEFOOINF,2019-02-25T17:18:00
Cape Verde,Food Inflation,2008-10-31T00:00:00,13.8,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2008-11-30T00:00:00,8.6,Monthly,CAPEVERDEFOOINF,2019-02-25T17:18:00
Cape Verde,Food Inflation,2008-12-31T00:00:00,7,Monthly,CAPEVERDEFOOINF,2014-05-27T17:07:00
Cape Verde,Food Inflation,2009-01-31T00:00:00,6.8,Monthly,CAPEVERDEFOOINF,2019-02-25T17:18:00
Cape Verde,Food Inflation,2009-02-28T00:00:00,7.7,Monthly,CAPEVERDEFOOINF,2019-02-25T17:18:00
Cape Verde,Food Inflation,2009-03-31T00:00:00,6.4,Monthly,CAPEVERDEFOOINF,2019-02-25T17:18:00
Cape Verde,Food Inflation,2009-04-30T00:00:00,3.7,Monthly,CAPEVERDEFOOINF,2019-02-25T17:18:00
Cape Verde,Food Inflation,2009-05-31T00:00:00,3.3,Monthly,CAPEVERDEFOOINF,2019-02-25T17:18:00
Cape Verde,Food Inflation,2009-06-30T00:00:00,1.2,Monthly,CAPEVERDEFOOINF,2019-02-25T17:18:00
Cape Verde,Food Inflation,2009-07-31T00:00:00,0.2,Monthly,CAPEVERDEFOOINF,2019-02-25T17:18:00
