Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Chad,Food Inflation,2009-10-31T00:00:00,2.12,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2009-11-30T00:00:00,2.56,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2009-12-31T00:00:00,2.01,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2010-01-31T00:00:00,-4.48,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2010-02-28T00:00:00,-3.04,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2010-03-31T00:00:00,-2.95,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2010-04-30T00:00:00,-3.47,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2010-05-31T00:00:00,-4.97,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2010-06-30T00:00:00,-4.5,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2010-07-31T00:00:00,-4.93,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2010-08-31T00:00:00,-3.27,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2010-09-30T00:00:00,-5.48,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2010-10-31T00:00:00,-1.44,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2010-11-30T00:00:00,-2.34,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2010-12-31T00:00:00,-5.01,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2011-01-31T00:00:00,-6.86,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2011-02-28T00:00:00,-5.85,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2011-03-31T00:00:00,-4.72,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2011-04-30T00:00:00,-1.92,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2011-05-31T00:00:00,0.9,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2011-06-30T00:00:00,1.6,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2011-07-31T00:00:00,5.34,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2011-08-31T00:00:00,4.76,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2011-09-30T00:00:00,1.64,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2011-10-31T00:00:00,4.45,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2011-11-30T00:00:00,8.84,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2011-12-31T00:00:00,14.01,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2012-01-31T00:00:00,21.92,Monthly,CHADFOOINF,2014-05-27T17:55:00
Chad,Food Inflation,2012-02-29T00:00:00,20.99,Monthly,CHADFOOINF,2014-05-27T17:55:00
