Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Colombia,Food Inflation,1988-01-31T00:00:00,26.89,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1988-02-29T00:00:00,30.17,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1988-03-31T00:00:00,30.35,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1988-04-30T00:00:00,32.61,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1988-05-31T00:00:00,32.45,Monthly,COLOMBIAFOOINF,2015-01-10T23:08:00
Colombia,Food Inflation,1988-06-30T00:00:00,35.59,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1988-07-31T00:00:00,35.21,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1988-08-31T00:00:00,33.87,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1988-09-30T00:00:00,32.47,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1988-10-31T00:00:00,31.42,Monthly,COLOMBIAFOOINF,2015-01-10T23:08:00
Colombia,Food Inflation,1988-11-30T00:00:00,29.5,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1988-12-31T00:00:00,30.85,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1989-01-31T00:00:00,30.06,Monthly,COLOMBIAFOOINF,2015-01-10T23:08:00
Colombia,Food Inflation,1989-02-28T00:00:00,28.33,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1989-03-31T00:00:00,28.23,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1989-04-30T00:00:00,24.82,Monthly,COLOMBIAFOOINF,2015-01-10T23:08:00
Colombia,Food Inflation,1989-05-31T00:00:00,24.35,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1989-06-30T00:00:00,21.48,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1989-07-31T00:00:00,20.99,Monthly,COLOMBIAFOOINF,2015-01-10T23:08:00
Colombia,Food Inflation,1989-08-31T00:00:00,23.66,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1989-09-30T00:00:00,23.97,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1989-10-31T00:00:00,23.76,Monthly,COLOMBIAFOOINF,2015-01-10T23:08:00
Colombia,Food Inflation,1989-11-30T00:00:00,25.04,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1989-12-31T00:00:00,22.94,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1990-01-31T00:00:00,22.32,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1990-02-28T00:00:00,22.26,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1990-03-31T00:00:00,23.17,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1990-04-30T00:00:00,24.61,Monthly,COLOMBIAFOOINF,2015-01-10T23:08:00
Colombia,Food Inflation,1990-05-31T00:00:00,25.01,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1990-06-30T00:00:00,26.7,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1990-07-31T00:00:00,26.66,Monthly,COLOMBIAFOOINF,2015-01-10T23:08:00
Colombia,Food Inflation,1990-08-31T00:00:00,27.02,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1990-09-30T00:00:00,29.08,Monthly,COLOMBIAFOOINF,2015-01-10T23:08:00
Colombia,Food Inflation,1990-10-31T00:00:00,30.1,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1990-11-30T00:00:00,30.42,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1990-12-31T00:00:00,32.53,Monthly,COLOMBIAFOOINF,2015-01-10T23:08:00
Colombia,Food Inflation,1991-01-31T00:00:00,33.22,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
Colombia,Food Inflation,1991-02-28T00:00:00,32.47,Monthly,COLOMBIAFOOINF,2014-06-19T18:22:00
