Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Djibouti,Food Inflation,2012-12-31T00:00:00,-3.09,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2013-01-31T00:00:00,-4.14,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2013-02-28T00:00:00,-2.96,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2013-03-31T00:00:00,-3.05,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2013-04-30T00:00:00,-3.08,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2013-05-31T00:00:00,-2.89,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2013-06-30T00:00:00,0.73,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2013-07-31T00:00:00,2.52,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2013-08-31T00:00:00,-0.25,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2013-09-30T00:00:00,-0.15,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2013-10-31T00:00:00,0.68,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2013-11-30T00:00:00,2.97,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2013-12-31T00:00:00,2.29,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2014-01-31T00:00:00,2.86,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2014-02-28T00:00:00,2.12,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2014-03-31T00:00:00,3.64,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2014-04-30T00:00:00,2.95,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2014-05-31T00:00:00,1.19,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2014-06-30T00:00:00,-1.87,Monthly,DJIBOUTIFOOINF,2014-08-04T15:48:00
Djibouti,Food Inflation,2014-07-31T00:00:00,-4,Monthly,DJIBOUTIFOOINF,2014-10-22T12:21:00
Djibouti,Food Inflation,2014-08-31T00:00:00,-2.43,Monthly,DJIBOUTIFOOINF,2014-10-22T12:19:00
Djibouti,Food Inflation,2014-09-30T00:00:00,-1.31,Monthly,DJIBOUTIFOOINF,2014-12-23T08:28:00
Djibouti,Food Inflation,2014-10-31T00:00:00,0.15,Monthly,DJIBOUTIFOOINF,2014-12-23T08:28:00
Djibouti,Food Inflation,2014-11-30T00:00:00,0.2,Monthly,DJIBOUTIFOOINF,2015-02-05T09:41:00
