Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Ecuador,Food Inflation,2005-01-31T00:00:00,2.15,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2005-02-28T00:00:00,1.34,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2005-03-31T00:00:00,0.3,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2005-04-30T00:00:00,1.11,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2005-05-31T00:00:00,2.38,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2005-06-30T00:00:00,2.85,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2005-07-31T00:00:00,3.31,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2005-08-31T00:00:00,2.29,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2005-09-30T00:00:00,3.34,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2005-10-31T00:00:00,4.16,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2005-11-30T00:00:00,4.3,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2005-12-31T00:00:00,5.28,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2006-01-31T00:00:00,6.43,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2006-02-28T00:00:00,7.64,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2006-03-31T00:00:00,8.64,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2006-04-30T00:00:00,5.9,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2006-05-31T00:00:00,4.31,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2006-06-30T00:00:00,3.52,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2006-07-31T00:00:00,4.42,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2006-08-31T00:00:00,5.79,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2006-09-30T00:00:00,6.17,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2006-10-31T00:00:00,5.49,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2006-11-30T00:00:00,5.55,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2006-12-31T00:00:00,4.47,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2007-01-31T00:00:00,3.6,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2007-02-28T00:00:00,1.83,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2007-03-31T00:00:00,0.45,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2007-04-30T00:00:00,1.19,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2007-05-31T00:00:00,1.65,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2007-06-30T00:00:00,3.83,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2007-07-31T00:00:00,5.38,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2007-08-31T00:00:00,4.17,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2007-09-30T00:00:00,3.94,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2007-10-31T00:00:00,3.47,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2007-11-30T00:00:00,3.89,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2007-12-31T00:00:00,5.72,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2008-01-31T00:00:00,7.69,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2008-02-29T00:00:00,9.73,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2008-03-31T00:00:00,13.31,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2008-04-30T00:00:00,16.97,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2008-05-31T00:00:00,20.09,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2008-06-30T00:00:00,20.32,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2008-07-31T00:00:00,19.69,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2008-08-31T00:00:00,20.55,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2008-09-30T00:00:00,20.5,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2008-10-31T00:00:00,19.72,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2008-11-30T00:00:00,17.22,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2008-12-31T00:00:00,16,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2009-01-31T00:00:00,14.93,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2009-02-28T00:00:00,13.07,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2009-03-31T00:00:00,11.01,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2009-04-30T00:00:00,8.9,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2009-05-31T00:00:00,6.15,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2009-06-30T00:00:00,4.03,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2009-07-31T00:00:00,2.89,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2009-08-31T00:00:00,1.46,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2009-09-30T00:00:00,0.76,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2009-10-31T00:00:00,1.92,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2009-11-30T00:00:00,3.37,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2009-12-31T00:00:00,4.49,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2010-01-31T00:00:00,4.93,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2010-02-28T00:00:00,5.14,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2010-03-31T00:00:00,3.8,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2010-04-30T00:00:00,3.69,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2010-05-31T00:00:00,3.89,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2010-06-30T00:00:00,4.15,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2010-07-31T00:00:00,4.35,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2010-08-31T00:00:00,5.78,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2010-09-30T00:00:00,5.61,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2010-10-31T00:00:00,5.4,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2010-11-30T00:00:00,5.86,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2010-12-31T00:00:00,5.4,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2011-01-31T00:00:00,4.88,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2011-02-28T00:00:00,5.27,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2011-03-31T00:00:00,5.37,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2011-04-30T00:00:00,6.03,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2011-05-31T00:00:00,6.96,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2011-06-30T00:00:00,6.51,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2011-07-31T00:00:00,6.69,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2011-08-31T00:00:00,7.28,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2011-09-30T00:00:00,8.57,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2011-10-31T00:00:00,8.18,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2011-11-30T00:00:00,8.09,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2011-12-31T00:00:00,6.83,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2012-01-31T00:00:00,6.05,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2012-02-29T00:00:00,6.13,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2012-03-31T00:00:00,8.15,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2012-04-30T00:00:00,6.11,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2012-05-31T00:00:00,4.44,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2012-06-30T00:00:00,5.28,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2012-07-31T00:00:00,5.6,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2012-08-31T00:00:00,5.36,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2012-09-30T00:00:00,6.3,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2012-10-31T00:00:00,6,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2012-11-30T00:00:00,5.44,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2012-12-31T00:00:00,4.97,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2013-01-31T00:00:00,5.05,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2013-02-28T00:00:00,3.85,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2013-03-31T00:00:00,2.14,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2013-04-30T00:00:00,2.38,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2013-05-31T00:00:00,2.36,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2013-06-30T00:00:00,1.67,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2013-07-31T00:00:00,0.79,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2013-08-31T00:00:00,0.73,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2013-09-30T00:00:00,-0.7,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2013-10-31T00:00:00,0.41,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2013-11-30T00:00:00,1,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2013-12-31T00:00:00,1.92,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2014-01-31T00:00:00,3.06,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2014-02-28T00:00:00,2.83,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2014-03-31T00:00:00,3.57,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2014-04-30T00:00:00,4.35,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2014-05-31T00:00:00,4.31,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2014-06-30T00:00:00,4.53,Monthly,ECUADORFOOINF,2014-07-24T16:09:00
Ecuador,Food Inflation,2014-07-31T00:00:00,5.82,Monthly,ECUADORFOOINF,2014-08-11T16:59:00
Ecuador,Food Inflation,2014-08-31T00:00:00,6.19,Monthly,ECUADORFOOINF,2014-09-08T17:51:00
Ecuador,Food Inflation,2014-09-30T00:00:00,5.68,Monthly,ECUADORFOOINF,2014-10-09T15:05:00
Ecuador,Food Inflation,2014-10-31T00:00:00,4.85,Monthly,ECUADORFOOINF,2014-11-24T19:15:00
Ecuador,Food Inflation,2014-11-30T00:00:00,4.65,Monthly,ECUADORFOOINF,2014-12-22T17:58:00
Ecuador,Food Inflation,2014-12-31T00:00:00,4.46,Monthly,ECUADORFOOINF,2015-01-08T15:48:00
