Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Ecuador,Inflation Rate,1970-01-31T00:00:00,3.04,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1970-02-28T00:00:00,1.05,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1970-03-31T00:00:00,0.89,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1970-04-30T00:00:00,-2.67,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1970-05-31T00:00:00,1.79,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1970-06-30T00:00:00,2.7,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1970-07-31T00:00:00,3.61,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1970-08-31T00:00:00,7.42,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1970-09-30T00:00:00,10.87,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1970-10-31T00:00:00,10.4,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1970-11-30T00:00:00,12.57,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1970-12-31T00:00:00,10.56,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1971-01-31T00:00:00,12.18,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1971-02-28T00:00:00,11.93,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1971-03-31T00:00:00,12.29,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1971-04-30T00:00:00,14.01,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1971-05-31T00:00:00,12.53,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1971-06-30T00:00:00,11.05,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1971-07-31T00:00:00,12.43,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1971-08-31T00:00:00,8.49,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1971-09-30T00:00:00,4.6,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1971-10-31T00:00:00,5.38,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1971-11-30T00:00:00,4.81,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1971-12-31T00:00:00,6.3,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1972-01-31T00:00:00,6.82,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1972-02-29T00:00:00,8.88,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1972-03-31T00:00:00,8.21,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1972-04-30T00:00:00,5.65,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1972-05-31T00:00:00,5.94,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1972-06-30T00:00:00,9.2,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1972-07-31T00:00:00,8.85,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1972-08-31T00:00:00,7.82,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1972-09-30T00:00:00,8.56,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1972-10-31T00:00:00,7.3,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
Ecuador,Inflation Rate,1972-11-30T00:00:00,7.49,Monthly,EcuadorInfnRate,2012-09-17T16:32:00
