Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Egypt,Food Inflation,2010-08-31T00:00:00,22.03,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2010-09-30T00:00:00,21.54,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2010-10-31T00:00:00,19.31,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2010-11-30T00:00:00,17.11,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2010-12-31T00:00:00,17.15,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2011-01-31T00:00:00,18.9,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2011-02-28T00:00:00,18.25,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2011-03-31T00:00:00,20.55,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2011-04-30T00:00:00,21.66,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2011-05-31T00:00:00,19.81,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2011-06-30T00:00:00,18.98,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2011-07-31T00:00:00,16.65,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2011-08-31T00:00:00,12.23,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2011-09-30T00:00:00,8.99,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2011-10-31T00:00:00,8.67,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2011-11-30T00:00:00,11.57,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2011-12-31T00:00:00,13.18,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2012-01-31T00:00:00,11.19,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2012-02-29T00:00:00,12.58,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
Egypt,Food Inflation,2012-03-31T00:00:00,10.96,Monthly,EGYPTFOOINF,2014-05-21T15:37:00
