Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
El Salvador,Food Inflation,2010-01-31T00:00:00,-5.57,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2010-02-28T00:00:00,-4.08,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2010-03-31T00:00:00,-2.05,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2010-04-30T00:00:00,-1.65,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2010-05-31T00:00:00,-1.96,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2010-06-30T00:00:00,1.25,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2010-07-31T00:00:00,1.79,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2010-08-31T00:00:00,1.64,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2010-09-30T00:00:00,2.46,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2010-10-31T00:00:00,6,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2010-11-30T00:00:00,7.62,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2010-12-31T00:00:00,7.88,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2011-01-31T00:00:00,6.74,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2011-02-28T00:00:00,6.37,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2011-03-31T00:00:00,5.85,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2011-04-30T00:00:00,9.07,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2011-05-31T00:00:00,10.13,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2011-06-30T00:00:00,8.84,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2011-07-31T00:00:00,9.41,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2011-08-31T00:00:00,9.77,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2011-09-30T00:00:00,7.19,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2011-10-31T00:00:00,3.89,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2011-11-30T00:00:00,3.26,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2011-12-31T00:00:00,3.16,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2012-01-31T00:00:00,2.99,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2012-02-29T00:00:00,2.67,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2012-03-31T00:00:00,1.6,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2012-04-30T00:00:00,0.21,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2012-05-31T00:00:00,-0.46,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2012-06-30T00:00:00,-1.36,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2012-07-31T00:00:00,-1.92,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2012-08-31T00:00:00,-1.68,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2012-09-30T00:00:00,-0.09,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2012-10-31T00:00:00,0.39,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2012-11-30T00:00:00,0.42,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2012-12-31T00:00:00,1.11,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2013-01-31T00:00:00,1.86,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2013-02-28T00:00:00,2.7,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2013-03-31T00:00:00,3.72,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2013-04-30T00:00:00,2.09,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2013-05-31T00:00:00,1.92,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2013-06-30T00:00:00,2.59,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2013-07-31T00:00:00,2.49,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2013-08-31T00:00:00,2.74,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2013-09-30T00:00:00,2.38,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2013-10-31T00:00:00,2.36,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2013-11-30T00:00:00,1.88,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2013-12-31T00:00:00,1.94,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2014-01-31T00:00:00,1.93,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2014-02-28T00:00:00,1.16,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2014-03-31T00:00:00,0.22,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2014-04-30T00:00:00,0.64,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2014-05-31T00:00:00,1.73,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2014-06-30T00:00:00,2.42,Monthly,ELSALVADOFOOINF,2014-07-24T16:15:00
El Salvador,Food Inflation,2014-07-31T00:00:00,4.26,Monthly,ELSALVADOFOOINF,2014-09-08T17:56:00
El Salvador,Food Inflation,2014-08-31T00:00:00,5.98,Monthly,ELSALVADOFOOINF,2014-09-08T17:57:00
El Salvador,Food Inflation,2014-09-30T00:00:00,5.5,Monthly,ELSALVADOFOOINF,2014-11-25T09:24:00
El Salvador,Food Inflation,2014-10-31T00:00:00,5.68,Monthly,ELSALVADOFOOINF,2014-11-25T09:25:00
El Salvador,Food Inflation,2014-11-30T00:00:00,5.06,Monthly,ELSALVADOFOOINF,2014-12-22T18:07:00
El Salvador,Food Inflation,2014-12-31T00:00:00,3.71,Monthly,ELSALVADOFOOINF,2015-01-27T16:31:00
El Salvador,Food Inflation,2015-01-31T00:00:00,3.2,Monthly,ELSALVADOFOOINF,2015-02-11T16:27:00
El Salvador,Food Inflation,2015-02-28T00:00:00,3,Monthly,ELSALVADOFOOINF,2015-04-07T16:56:00
El Salvador,Food Inflation,2015-03-31T00:00:00,3.51,Monthly,ELSALVADOFOOINF,2015-04-27T11:22:00
El Salvador,Food Inflation,2015-04-30T00:00:00,4.17,Monthly,ELSALVADOFOOINF,2015-06-03T18:18:00
El Salvador,Food Inflation,2015-05-31T00:00:00,3.77,Monthly,ELSALVADOFOOINF,2015-06-08T14:49:00
El Salvador,Food Inflation,2015-06-30T00:00:00,2.06,Monthly,ELSALVADOFOOINF,2015-07-08T14:29:00
El Salvador,Food Inflation,2015-07-31T00:00:00,0.45,Monthly,ELSALVADOFOOINF,2015-08-18T16:24:00
El Salvador,Food Inflation,2015-08-31T00:00:00,-1.38,Monthly,ELSALVADOFOOINF,2015-10-09T18:43:00
El Salvador,Food Inflation,2015-09-30T00:00:00,-1.06,Monthly,ELSALVADOFOOINF,2015-10-09T18:43:00
El Salvador,Food Inflation,2015-10-31T00:00:00,-1.08,Monthly,ELSALVADOFOOINF,2015-12-01T16:21:00
El Salvador,Food Inflation,2015-11-30T00:00:00,-0.41,Monthly,ELSALVADOFOOINF,2015-12-24T12:45:00
El Salvador,Food Inflation,2015-12-31T00:00:00,0.84,Monthly,ELSALVADOFOOINF,2016-02-09T15:40:00
El Salvador,Food Inflation,2016-01-31T00:00:00,2.1,Monthly,ELSALVADOFOOINF,2016-02-09T15:40:00
El Salvador,Food Inflation,2016-02-29T00:00:00,1.63,Monthly,ELSALVADOFOOINF,2016-04-05T16:34:00
El Salvador,Food Inflation,2016-03-31T00:00:00,0.66,Monthly,ELSALVADOFOOINF,2016-04-14T17:41:00
El Salvador,Food Inflation,2016-04-30T00:00:00,-0.22,Monthly,ELSALVADOFOOINF,2016-05-10T09:24:00
El Salvador,Food Inflation,2016-05-31T00:00:00,-0.53,Monthly,ELSALVADOFOOINF,2016-06-08T16:33:00
El Salvador,Food Inflation,2016-06-30T00:00:00,-0.57,Monthly,ELSALVADOFOOINF,2016-07-12T12:42:00
El Salvador,Food Inflation,2016-07-31T00:00:00,-0.91,Monthly,ELSALVADOFOOINF,2016-08-17T12:47:00
El Salvador,Food Inflation,2016-08-31T00:00:00,-1.03,Monthly,ELSALVADOFOOINF,2016-09-19T17:06:00
El Salvador,Food Inflation,2016-09-30T00:00:00,-1.72,Monthly,ELSALVADOFOOINF,2017-04-11T14:39:00
El Salvador,Food Inflation,2016-10-31T00:00:00,-1.71,Monthly,ELSALVADOFOOINF,2016-11-11T16:57:00
El Salvador,Food Inflation,2016-11-30T00:00:00,-2.05,Monthly,ELSALVADOFOOINF,2016-12-08T17:55:00
El Salvador,Food Inflation,2016-12-31T00:00:00,-2.39,Monthly,ELSALVADOFOOINF,2017-02-02T16:36:00
El Salvador,Food Inflation,2017-01-31T00:00:00,-3.38,Monthly,ELSALVADOFOOINF,2017-02-09T13:56:00
