Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Ethiopia,Food Inflation,2013-07-31T00:00:00,13.76,Monthly,ETHIOPIAFOOINF,2014-05-22T16:18:00
Ethiopia,Food Inflation,2013-08-31T00:00:00,10.5,Monthly,ETHIOPIAFOOINF,2014-05-22T16:18:00
Ethiopia,Food Inflation,2013-09-30T00:00:00,8.4,Monthly,ETHIOPIAFOOINF,2014-05-22T16:18:00
Ethiopia,Food Inflation,2013-10-31T00:00:00,11.98,Monthly,ETHIOPIAFOOINF,2014-05-22T16:18:00
Ethiopia,Food Inflation,2013-11-30T00:00:00,10.03,Monthly,ETHIOPIAFOOINF,2014-05-22T16:18:00
Ethiopia,Food Inflation,2013-12-31T00:00:00,8.3,Monthly,ETHIOPIAFOOINF,2014-05-22T16:18:00
Ethiopia,Food Inflation,2014-01-31T00:00:00,6.64,Monthly,ETHIOPIAFOOINF,2014-05-22T16:18:00
Ethiopia,Food Inflation,2014-02-28T00:00:00,6.62,Monthly,ETHIOPIAFOOINF,2014-05-22T16:18:00
Ethiopia,Food Inflation,2014-03-31T00:00:00,2.81,Monthly,ETHIOPIAFOOINF,2014-05-22T16:18:00
Ethiopia,Food Inflation,2014-04-30T00:00:00,3.97,Monthly,ETHIOPIAFOOINF,2014-05-22T16:18:00
Ethiopia,Food Inflation,2014-05-31T00:00:00,6.35,Monthly,ETHIOPIAFOOINF,2014-06-26T10:39:00
Ethiopia,Food Inflation,2014-06-30T00:00:00,6.24,Monthly,ETHIOPIAFOOINF,2014-07-25T09:47:00
Ethiopia,Food Inflation,2014-07-31T00:00:00,5.7,Monthly,ETHIOPIAFOOINF,2014-08-08T16:04:00
Ethiopia,Food Inflation,2014-08-31T00:00:00,5.2,Monthly,ETHIOPIAFOOINF,2014-10-09T15:43:00
Ethiopia,Food Inflation,2014-09-30T00:00:00,3.8,Monthly,ETHIOPIAFOOINF,2014-10-09T15:43:00
Ethiopia,Food Inflation,2014-10-31T00:00:00,2.9,Monthly,ETHIOPIAFOOINF,2014-11-07T14:03:00
Ethiopia,Food Inflation,2014-11-30T00:00:00,4.8,Monthly,ETHIOPIAFOOINF,2015-01-28T18:10:00
