Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Gambia,Food Inflation,2012-01-31T00:00:00,5.46,Monthly,GAMBIAFOOINF,2023-07-12T03:34:00
Gambia,Food Inflation,2012-02-29T00:00:00,4.7,Monthly,GAMBIAFOOINF,2014-07-16T16:40:00
Gambia,Food Inflation,2012-03-31T00:00:00,4.75,Monthly,GAMBIAFOOINF,2014-07-16T16:40:00
Gambia,Food Inflation,2012-04-30T00:00:00,4.57,Monthly,GAMBIAFOOINF,2014-07-16T16:40:00
Gambia,Food Inflation,2012-05-31T00:00:00,4.92,Monthly,GAMBIAFOOINF,2014-07-16T16:40:00
Gambia,Food Inflation,2012-06-30T00:00:00,5.25,Monthly,GAMBIAFOOINF,2014-07-16T16:40:00
Gambia,Food Inflation,2012-07-31T00:00:00,5.22,Monthly,GAMBIAFOOINF,2014-07-16T16:40:00
Gambia,Food Inflation,2012-08-31T00:00:00,4.91,Monthly,GAMBIAFOOINF,2014-07-16T16:40:00
Gambia,Food Inflation,2012-09-30T00:00:00,4.89,Monthly,GAMBIAFOOINF,2023-07-12T03:34:00
Gambia,Food Inflation,2012-10-31T00:00:00,4.87,Monthly,GAMBIAFOOINF,2014-07-16T16:40:00
Gambia,Food Inflation,2012-11-30T00:00:00,5.37,Monthly,GAMBIAFOOINF,2014-07-16T16:40:00
Gambia,Food Inflation,2012-12-31T00:00:00,5.59,Monthly,GAMBIAFOOINF,2017-10-23T12:37:00
Gambia,Food Inflation,2013-01-31T00:00:00,5.97,Monthly,GAMBIAFOOINF,2014-07-16T16:40:00
Gambia,Food Inflation,2013-02-28T00:00:00,6.18,Monthly,GAMBIAFOOINF,2014-07-16T16:40:00
Gambia,Food Inflation,2013-03-31T00:00:00,6.26,Monthly,GAMBIAFOOINF,2014-07-16T16:40:00
Gambia,Food Inflation,2013-04-30T00:00:00,6.53,Monthly,GAMBIAFOOINF,2014-07-16T16:40:00
Gambia,Food Inflation,2013-05-31T00:00:00,6.58,Monthly,GAMBIAFOOINF,2014-07-16T16:40:00
Gambia,Food Inflation,2013-06-30T00:00:00,6.68,Monthly,GAMBIAFOOINF,2023-07-12T03:34:00
Gambia,Food Inflation,2013-07-31T00:00:00,7.08,Monthly,GAMBIAFOOINF,2014-07-16T16:40:00
Gambia,Food Inflation,2013-08-31T00:00:00,7.12,Monthly,GAMBIAFOOINF,2023-07-12T03:34:00
Gambia,Food Inflation,2013-09-30T00:00:00,7.23,Monthly,GAMBIAFOOINF,2017-10-23T12:37:00
Gambia,Food Inflation,2013-10-31T00:00:00,7.29,Monthly,GAMBIAFOOINF,2014-07-16T16:40:00
Gambia,Food Inflation,2013-11-30T00:00:00,7.02,Monthly,GAMBIAFOOINF,2023-07-12T03:34:00
Gambia,Food Inflation,2013-12-31T00:00:00,6.6,Monthly,GAMBIAFOOINF,2023-07-12T03:34:00
Gambia,Food Inflation,2014-01-31T00:00:00,6.32,Monthly,GAMBIAFOOINF,2023-07-12T03:34:00
Gambia,Food Inflation,2014-02-28T00:00:00,6.35,Monthly,GAMBIAFOOINF,2014-08-21T13:13:00
Gambia,Food Inflation,2014-03-31T00:00:00,6.33,Monthly,GAMBIAFOOINF,2014-08-21T13:12:00
Gambia,Food Inflation,2014-04-30T00:00:00,6.36,Monthly,GAMBIAFOOINF,2023-07-12T03:34:00
Gambia,Food Inflation,2014-05-31T00:00:00,6.25,Monthly,GAMBIAFOOINF,2014-08-21T13:11:00
Gambia,Food Inflation,2014-06-30T00:00:00,6.09,Monthly,GAMBIAFOOINF,2015-06-02T11:49:00
Gambia,Food Inflation,2014-07-31T00:00:00,6.11,Monthly,GAMBIAFOOINF,2015-06-02T11:49:00
Gambia,Food Inflation,2014-08-31T00:00:00,6.22,Monthly,GAMBIAFOOINF,2015-06-02T11:50:00
Gambia,Food Inflation,2014-09-30T00:00:00,7.22,Monthly,GAMBIAFOOINF,2015-06-02T11:51:00
Gambia,Food Inflation,2014-10-31T00:00:00,7.69,Monthly,GAMBIAFOOINF,2015-06-02T11:52:00
Gambia,Food Inflation,2014-11-30T00:00:00,8.18,Monthly,GAMBIAFOOINF,2015-06-02T11:52:00
