Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Ghana,Food Inflation,2013-01-31T00:00:00,8,Monthly,GHANAFOOINF,2014-05-21T16:00:00
Ghana,Food Inflation,2013-02-28T00:00:00,6.7,Monthly,GHANAFOOINF,2014-05-21T16:00:00
Ghana,Food Inflation,2013-03-31T00:00:00,6.7,Monthly,GHANAFOOINF,2014-05-21T16:00:00
Ghana,Food Inflation,2013-04-30T00:00:00,6.6,Monthly,GHANAFOOINF,2014-05-21T16:00:00
Ghana,Food Inflation,2013-05-31T00:00:00,6.6,Monthly,GHANAFOOINF,2014-05-21T16:00:00
Ghana,Food Inflation,2013-06-30T00:00:00,7.3,Monthly,GHANAFOOINF,2014-05-21T16:00:00
Ghana,Food Inflation,2013-07-31T00:00:00,7.3,Monthly,GHANAFOOINF,2014-05-21T16:00:00
Ghana,Food Inflation,2013-08-31T00:00:00,7.9,Monthly,GHANAFOOINF,2014-05-21T16:00:00
Ghana,Food Inflation,2013-09-30T00:00:00,8.9,Monthly,GHANAFOOINF,2014-05-21T16:00:00
Ghana,Food Inflation,2013-10-31T00:00:00,6.9,Monthly,GHANAFOOINF,2014-05-21T16:00:00
Ghana,Food Inflation,2013-11-30T00:00:00,7.3,Monthly,GHANAFOOINF,2014-05-21T16:00:00
Ghana,Food Inflation,2013-12-31T00:00:00,7.2,Monthly,GHANAFOOINF,2014-05-21T16:00:00
Ghana,Food Inflation,2014-01-31T00:00:00,7.1,Monthly,GHANAFOOINF,2014-05-21T16:00:00
Ghana,Food Inflation,2014-02-28T00:00:00,7.5,Monthly,GHANAFOOINF,2014-05-21T16:00:00
Ghana,Food Inflation,2014-03-31T00:00:00,8.2,Monthly,GHANAFOOINF,2014-05-21T16:00:00
Ghana,Food Inflation,2014-04-30T00:00:00,7,Monthly,GHANAFOOINF,2014-05-21T16:02:00
Ghana,Food Inflation,2014-05-31T00:00:00,8,Monthly,GHANAFOOINF,2014-07-07T18:40:00
Ghana,Food Inflation,2014-06-30T00:00:00,7.9,Monthly,GHANAFOOINF,2014-08-14T18:53:00
Ghana,Food Inflation,2014-07-31T00:00:00,5,Monthly,GHANAFOOINF,2014-09-10T14:53:00
