Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Guatemala,Food Inflation,2001-12-31T00:00:00,13.88,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2002-01-31T00:00:00,13.54,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2002-02-28T00:00:00,12.71,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2002-03-31T00:00:00,13.45,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2002-04-30T00:00:00,13.38,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2002-05-31T00:00:00,12.99,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2002-06-30T00:00:00,12.62,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2002-07-31T00:00:00,12.6,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2002-08-31T00:00:00,9.23,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2002-09-30T00:00:00,7.81,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2002-10-31T00:00:00,6.75,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2002-11-30T00:00:00,6.31,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2002-12-31T00:00:00,6.23,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2003-01-31T00:00:00,5.63,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2003-02-28T00:00:00,5.66,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2003-03-31T00:00:00,5.16,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2003-04-30T00:00:00,5.4,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2003-05-31T00:00:00,5.56,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2003-06-30T00:00:00,5.2,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2003-07-31T00:00:00,3.96,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2003-08-31T00:00:00,4.94,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2003-09-30T00:00:00,6.47,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2003-10-31T00:00:00,7.02,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2003-11-30T00:00:00,6.84,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2003-12-31T00:00:00,7.12,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2004-01-31T00:00:00,7.74,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2004-02-29T00:00:00,7.79,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2004-03-31T00:00:00,8.66,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2004-04-30T00:00:00,8.88,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2004-05-31T00:00:00,9.63,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
Guatemala,Food Inflation,2004-06-30T00:00:00,9.81,Monthly,GUATEMALAFOOINF,2014-07-24T16:23:00
