Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Haiti,Food Inflation,1999-01-31T00:00:00,1.52,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,1999-02-28T00:00:00,2.38,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,1999-03-31T00:00:00,1.01,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,1999-04-30T00:00:00,0.53,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,1999-05-31T00:00:00,0.1,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,1999-06-30T00:00:00,-0.57,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,1999-07-31T00:00:00,0.03,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,1999-08-31T00:00:00,2.44,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,1999-09-30T00:00:00,3.86,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,1999-10-31T00:00:00,4.24,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,1999-11-30T00:00:00,4.3,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,1999-12-31T00:00:00,3.43,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2000-01-31T00:00:00,3.06,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2000-02-29T00:00:00,3.37,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2000-03-31T00:00:00,5.93,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2000-04-30T00:00:00,5.8,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2000-05-31T00:00:00,6.08,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2000-06-30T00:00:00,8.1,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2000-07-31T00:00:00,8.2,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2000-08-31T00:00:00,8.56,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2000-09-30T00:00:00,17.31,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2000-10-31T00:00:00,17.31,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2000-11-30T00:00:00,18.98,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2000-12-31T00:00:00,20.55,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2001-01-31T00:00:00,19.79,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2001-02-28T00:00:00,18.72,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2001-03-31T00:00:00,16.89,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2001-04-30T00:00:00,17.43,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2001-05-31T00:00:00,19.23,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2001-06-30T00:00:00,18.28,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2001-07-31T00:00:00,17.59,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2001-08-31T00:00:00,17.43,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2001-09-30T00:00:00,15.6,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2001-10-31T00:00:00,10.48,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2001-11-30T00:00:00,8.92,Monthly,HAITIFOOINF,2014-07-24T17:27:00
Haiti,Food Inflation,2001-12-31T00:00:00,8.29,Monthly,HAITIFOOINF,2014-07-24T17:27:00
