Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Honduras,Food Inflation,2001-01-31T00:00:00,10,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2001-02-28T00:00:00,10.16,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2001-03-31T00:00:00,9.76,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2001-04-30T00:00:00,7.8,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2001-05-31T00:00:00,8.62,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2001-06-30T00:00:00,7.95,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2001-07-31T00:00:00,8.17,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2001-08-31T00:00:00,8.01,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2001-09-30T00:00:00,8.71,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2001-10-31T00:00:00,8.41,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2001-11-30T00:00:00,8.92,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2001-12-31T00:00:00,8,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2002-01-31T00:00:00,6.09,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2002-02-28T00:00:00,5.52,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2002-03-31T00:00:00,5.12,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2002-04-30T00:00:00,4.83,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2002-05-31T00:00:00,3.44,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2002-06-30T00:00:00,4.38,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2002-07-31T00:00:00,4.34,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2002-08-31T00:00:00,3.88,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2002-09-30T00:00:00,2.67,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2002-10-31T00:00:00,2.67,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2002-11-30T00:00:00,1.96,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2002-12-31T00:00:00,2.3,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2003-01-31T00:00:00,3.08,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2003-02-28T00:00:00,3.51,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2003-03-31T00:00:00,3.42,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
Honduras,Food Inflation,2003-04-30T00:00:00,3.58,Monthly,HONDURASFOOINF,2014-07-24T17:43:00
