Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Indonesia,Food Inflation,1997-01-31T00:00:00,2.07,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1997-02-28T00:00:00,0.07,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1997-03-31T00:00:00,2.31,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1997-04-30T00:00:00,5.62,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1997-05-31T00:00:00,6.66,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1997-06-30T00:00:00,6.27,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1997-07-31T00:00:00,6.54,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1997-08-31T00:00:00,8.93,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1997-09-30T00:00:00,12.18,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1997-10-31T00:00:00,16.44,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1997-11-30T00:00:00,18.04,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1997-12-31T00:00:00,19.92,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1998-01-31T00:00:00,29,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1998-02-28T00:00:00,48.94,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1998-03-31T00:00:00,58.38,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1998-04-30T00:00:00,67.75,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1998-05-31T00:00:00,74.15,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1998-06-30T00:00:00,88.07,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1998-07-31T00:00:00,107.86,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1998-08-31T00:00:00,123.42,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1998-09-30T00:00:00,138.12,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1998-10-31T00:00:00,125.65,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1998-11-30T00:00:00,118.15,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1998-12-31T00:00:00,118.41,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1999-01-31T00:00:00,110.92,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1999-02-28T00:00:00,82.22,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1999-03-31T00:00:00,68.93,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1999-04-30T00:00:00,55.81,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1999-05-31T00:00:00,47.96,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1999-06-30T00:00:00,36.6,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1999-07-31T00:00:00,17.57,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1999-08-31T00:00:00,4.19,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1999-09-30T00:00:00,-8.39,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1999-10-31T00:00:00,-7.38,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1999-11-30T00:00:00,-6.16,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,1999-12-31T00:00:00,-5.18,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2000-01-31T00:00:00,-8.62,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2000-02-29T00:00:00,-10.98,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2000-03-31T00:00:00,-11.16,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2000-04-30T00:00:00,-10.53,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2000-05-31T00:00:00,-9.33,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2000-06-30T00:00:00,-8.11,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2000-07-31T00:00:00,-2.92,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2000-08-31T00:00:00,-1.48,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2000-09-30T00:00:00,0.7,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2000-10-31T00:00:00,1.74,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2000-11-30T00:00:00,2.92,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2000-12-31T00:00:00,3.98,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2001-01-31T00:00:00,0.71,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2001-02-28T00:00:00,2.76,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2001-03-31T00:00:00,6.13,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2001-04-30T00:00:00,6.8,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2001-05-31T00:00:00,8.45,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2001-06-30T00:00:00,9.71,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2001-07-31T00:00:00,9.35,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2001-08-31T00:00:00,8.79,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2001-09-30T00:00:00,10.67,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2001-10-31T00:00:00,11.66,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2001-11-30T00:00:00,14.4,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2001-12-31T00:00:00,12.03,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2002-01-31T00:00:00,15.48,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2002-02-28T00:00:00,17.08,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2002-03-31T00:00:00,12.73,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2002-04-30T00:00:00,11.69,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2002-05-31T00:00:00,10.65,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2002-06-30T00:00:00,8.9,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2002-07-31T00:00:00,6.95,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2002-08-31T00:00:00,8.97,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2002-09-30T00:00:00,10.17,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2002-10-31T00:00:00,9.45,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2002-11-30T00:00:00,9.66,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2002-12-31T00:00:00,9.15,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
Indonesia,Food Inflation,2003-01-31T00:00:00,4.59,Monthly,INDONESIAFOOINF,2014-06-18T18:44:00
