Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Iraq,Food Inflation,2011-01-31T00:00:00,6.5,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2011-02-28T00:00:00,6.44,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2011-03-31T00:00:00,2.71,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2011-04-30T00:00:00,3.92,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2011-05-31T00:00:00,6.24,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2011-06-30T00:00:00,4.75,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2011-07-31T00:00:00,3.74,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2011-08-31T00:00:00,-0.29,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2011-09-30T00:00:00,0.35,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2011-10-31T00:00:00,0.36,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2012-01-31T00:00:00,3.95,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2012-02-29T00:00:00,4.34,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2012-03-31T00:00:00,13.18,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2012-04-30T00:00:00,13.27,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2012-05-31T00:00:00,9.13,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2012-06-30T00:00:00,4.61,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2012-07-31T00:00:00,4.88,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2012-08-31T00:00:00,9.83,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2012-09-30T00:00:00,7.84,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2012-10-31T00:00:00,3.87,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2012-11-30T00:00:00,3.3,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2012-12-31T00:00:00,0.49,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2013-01-31T00:00:00,-0.41,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2013-02-28T00:00:00,-1.16,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2013-03-31T00:00:00,-3.43,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2013-04-30T00:00:00,-1.92,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2013-05-31T00:00:00,-2.99,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2013-06-30T00:00:00,0.71,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2013-07-31T00:00:00,2.43,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2013-08-31T00:00:00,-3.78,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2013-09-30T00:00:00,-3.14,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2013-10-31T00:00:00,6.28,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2013-11-30T00:00:00,6.11,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2013-12-31T00:00:00,7.12,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2014-01-31T00:00:00,10.82,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2014-02-28T00:00:00,6.9,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2014-03-31T00:00:00,2.88,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2014-04-30T00:00:00,1.04,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2014-05-31T00:00:00,1.37,Monthly,IRAQFOOINF,2014-06-25T15:58:00
Iraq,Food Inflation,2014-06-30T00:00:00,4.5,Monthly,IRAQFOOINF,2014-07-14T18:21:00
Iraq,Food Inflation,2014-07-31T00:00:00,2.02,Monthly,IRAQFOOINF,2014-09-03T17:22:00
Iraq,Food Inflation,2014-08-31T00:00:00,3.2,Monthly,IRAQFOOINF,2014-09-16T15:34:00
Iraq,Food Inflation,2014-09-30T00:00:00,1,Monthly,IRAQFOOINF,2014-11-06T09:57:00
Iraq,Food Inflation,2014-10-31T00:00:00,-2.5,Monthly,IRAQFOOINF,2014-11-19T10:24:00
Iraq,Food Inflation,2014-11-30T00:00:00,2.7,Monthly,IRAQFOOINF,2014-12-18T14:52:00
Iraq,Food Inflation,2014-12-31T00:00:00,-0.9,Monthly,IRAQFOOINF,2015-01-26T16:09:00
Iraq,Food Inflation,2015-01-31T00:00:00,-7.19,Monthly,IRAQFOOINF,2015-03-17T17:55:00
Iraq,Food Inflation,2015-02-28T00:00:00,-4.59,Monthly,IRAQFOOINF,2015-03-17T17:55:00
Iraq,Food Inflation,2015-03-31T00:00:00,-4.49,Monthly,IRAQFOOINF,2015-06-02T17:43:00
