Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Ivory Coast,Food Inflation,2012-07-31T00:00:00,0.02,Monthly,IVORYCOASFOOINF,2014-06-02T16:01:00
Ivory Coast,Food Inflation,2013-01-31T00:00:00,0.05,Monthly,IVORYCOASFOOINF,2014-06-02T16:01:00
Ivory Coast,Food Inflation,2013-02-28T00:00:00,0.04,Monthly,IVORYCOASFOOINF,2014-06-02T16:01:00
Ivory Coast,Food Inflation,2013-03-31T00:00:00,0.04,Monthly,IVORYCOASFOOINF,2014-06-02T16:01:00
Ivory Coast,Food Inflation,2013-04-30T00:00:00,0.05,Monthly,IVORYCOASFOOINF,2014-06-02T16:01:00
Ivory Coast,Food Inflation,2013-05-31T00:00:00,0.03,Monthly,IVORYCOASFOOINF,2014-06-02T16:01:00
Ivory Coast,Food Inflation,2013-06-30T00:00:00,0.02,Monthly,IVORYCOASFOOINF,2014-06-02T16:01:00
Ivory Coast,Food Inflation,2013-07-31T00:00:00,0.01,Monthly,IVORYCOASFOOINF,2014-06-02T16:01:00
Ivory Coast,Food Inflation,2013-08-31T00:00:00,0.01,Monthly,IVORYCOASFOOINF,2014-06-02T16:01:00
Ivory Coast,Food Inflation,2013-09-30T00:00:00,0.02,Monthly,IVORYCOASFOOINF,2014-06-02T16:01:00
Ivory Coast,Food Inflation,2013-10-31T00:00:00,0,Monthly,IVORYCOASFOOINF,2014-06-02T16:01:00
Ivory Coast,Food Inflation,2013-11-30T00:00:00,0,Monthly,IVORYCOASFOOINF,2014-06-02T16:01:00
Ivory Coast,Food Inflation,2013-12-31T00:00:00,-0.02,Monthly,IVORYCOASFOOINF,2014-06-02T16:01:00
Ivory Coast,Food Inflation,2014-01-31T00:00:00,-0.03,Monthly,IVORYCOASFOOINF,2014-06-02T16:01:00
Ivory Coast,Food Inflation,2014-02-28T00:00:00,-0.04,Monthly,IVORYCOASFOOINF,2014-06-02T16:01:00
Ivory Coast,Food Inflation,2014-03-31T00:00:00,-4.3,Monthly,IVORYCOASFOOINF,2014-06-02T16:01:00
Ivory Coast,Food Inflation,2014-04-30T00:00:00,-4.2,Monthly,IVORYCOASFOOINF,2014-07-22T16:18:00
Ivory Coast,Food Inflation,2014-05-31T00:00:00,-0.2,Monthly,IVORYCOASFOOINF,2014-07-15T12:02:00
Ivory Coast,Food Inflation,2014-06-30T00:00:00,-1.3,Monthly,IVORYCOASFOOINF,2014-07-15T12:00:00
Ivory Coast,Food Inflation,2014-07-31T00:00:00,0.4,Monthly,IVORYCOASFOOINF,2014-08-13T15:29:00
Ivory Coast,Food Inflation,2014-08-31T00:00:00,-0.6,Monthly,IVORYCOASFOOINF,2014-10-14T15:29:00
Ivory Coast,Food Inflation,2014-09-30T00:00:00,-3.1,Monthly,IVORYCOASFOOINF,2014-10-22T12:24:00
Ivory Coast,Food Inflation,2014-10-31T00:00:00,-1.4,Monthly,IVORYCOASFOOINF,2014-11-24T19:11:00
Ivory Coast,Food Inflation,2014-11-30T00:00:00,-2.2,Monthly,IVORYCOASFOOINF,2014-12-23T16:12:00
Ivory Coast,Food Inflation,2014-12-31T00:00:00,-1.4,Monthly,IVORYCOASFOOINF,2015-01-06T11:37:00
Ivory Coast,Food Inflation,2015-01-31T00:00:00,0.4,Monthly,IVORYCOASFOOINF,2015-03-16T15:15:00
Ivory Coast,Food Inflation,2015-02-28T00:00:00,1.2,Monthly,IVORYCOASFOOINF,2015-03-16T14:00:00
Ivory Coast,Food Inflation,2015-03-31T00:00:00,3.3,Monthly,IVORYCOASFOOINF,2015-04-14T11:30:00
Ivory Coast,Food Inflation,2015-04-30T00:00:00,2.6,Monthly,IVORYCOASFOOINF,2015-06-02T12:33:00
Ivory Coast,Food Inflation,2015-05-31T00:00:00,1.79,Monthly,IVORYCOASFOOINF,2015-07-20T12:53:00
Ivory Coast,Food Inflation,2015-06-30T00:00:00,3.3,Monthly,IVORYCOASFOOINF,2015-08-03T18:56:00
Ivory Coast,Food Inflation,2015-07-31T00:00:00,0.8,Monthly,IVORYCOASFOOINF,2015-09-10T15:22:00
Ivory Coast,Food Inflation,2015-08-31T00:00:00,1,Monthly,IVORYCOASFOOINF,2015-09-15T14:13:00
Ivory Coast,Food Inflation,2015-09-30T00:00:00,0.7,Monthly,IVORYCOASFOOINF,2015-11-16T16:27:00
Ivory Coast,Food Inflation,2015-10-31T00:00:00,0.1,Monthly,IVORYCOASFOOINF,2015-12-24T10:25:00
Ivory Coast,Food Inflation,2015-11-30T00:00:00,3.2,Monthly,IVORYCOASFOOINF,2015-12-28T16:45:00
