Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Kenya,Food Inflation,2010-02-28T00:00:00,7.2,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2010-03-31T00:00:00,4.5,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2010-04-30T00:00:00,3.8,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2010-05-31T00:00:00,4.4,Monthly,KENYAFOOINF,2015-01-11T05:09:00
Kenya,Food Inflation,2010-06-30T00:00:00,4.4,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2010-08-31T00:00:00,5.5,Monthly,KENYAFOOINF,2015-01-11T05:09:00
Kenya,Food Inflation,2010-09-30T00:00:00,5.68,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2010-10-31T00:00:00,5.63,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2010-11-30T00:00:00,6.71,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2010-12-31T00:00:00,7.84,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2011-01-31T00:00:00,8.56,Monthly,KENYAFOOINF,2015-01-11T05:09:00
Kenya,Food Inflation,2011-02-28T00:00:00,9.82,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2011-03-31T00:00:00,15.09,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2011-04-30T00:00:00,19.14,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2011-05-31T00:00:00,20.12,Monthly,KENYAFOOINF,2015-01-11T05:09:00
Kenya,Food Inflation,2011-06-30T00:00:00,22.52,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2011-07-31T00:00:00,24.02,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2011-08-31T00:00:00,23.86,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2011-09-30T00:00:00,24.37,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2011-10-31T00:00:00,26.2,Monthly,KENYAFOOINF,2015-01-11T05:09:00
Kenya,Food Inflation,2011-11-30T00:00:00,26.2,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2011-12-31T00:00:00,24.98,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2012-01-31T00:00:00,24.58,Monthly,KENYAFOOINF,2015-01-11T05:09:00
Kenya,Food Inflation,2012-02-29T00:00:00,22.05,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2012-03-31T00:00:00,20.31,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2012-04-30T00:00:00,16.24,Monthly,KENYAFOOINF,2015-01-11T05:09:00
Kenya,Food Inflation,2012-05-31T00:00:00,14.58,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2012-06-30T00:00:00,10.53,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2012-07-31T00:00:00,6.63,Monthly,KENYAFOOINF,2015-01-11T05:09:00
Kenya,Food Inflation,2012-08-31T00:00:00,3.62,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2012-09-30T00:00:00,2.91,Monthly,KENYAFOOINF,2015-01-11T05:09:00
Kenya,Food Inflation,2012-10-31T00:00:00,1.44,Monthly,KENYAFOOINF,2014-05-21T15:50:00
Kenya,Food Inflation,2012-11-30T00:00:00,1.74,Monthly,KENYAFOOINF,2014-05-21T15:50:00
