Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Kenya,Inflation Rate,2005-01-31T00:00:00,14.87,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2005-02-28T00:00:00,13.94,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2005-03-31T00:00:00,14.15,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2005-06-30T00:00:00,11.91,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2005-07-31T00:00:00,11.77,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2005-08-31T00:00:00,6.96,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2005-09-30T00:00:00,4.27,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2005-10-31T00:00:00,3.72,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2005-11-30T00:00:00,6.04,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2005-12-31T00:00:00,7.56,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2006-01-31T00:00:00,15.39,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2006-02-28T00:00:00,18.87,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2006-03-31T00:00:00,19.14,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2006-04-30T00:00:00,14.85,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2006-05-31T00:00:00,13.09,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2006-06-30T00:00:00,10.93,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2006-07-31T00:00:00,10.15,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2006-08-31T00:00:00,11.5,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2006-09-30T00:00:00,13.85,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2006-10-31T00:00:00,15.7,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2006-11-30T00:00:00,14.6,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2006-12-31T00:00:00,15.6,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2007-01-31T00:00:00,9.67,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2007-02-28T00:00:00,6.81,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2007-03-31T00:00:00,5.87,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2007-04-30T00:00:00,5.7,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2007-05-31T00:00:00,6.3,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2007-06-30T00:00:00,11.1,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2007-07-31T00:00:00,13.6,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2007-08-31T00:00:00,12.4,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2007-09-30T00:00:00,11.7,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2007-10-31T00:00:00,10.6,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2007-11-30T00:00:00,11.8,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2007-12-31T00:00:00,12,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2008-01-31T00:00:00,18.2,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2008-02-29T00:00:00,19.1,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2008-03-31T00:00:00,21.8,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2008-04-30T00:00:00,26.6,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2008-05-31T00:00:00,31.5,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2008-06-30T00:00:00,29.3,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2008-07-31T00:00:00,26.5,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2008-08-31T00:00:00,27.58,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2008-09-30T00:00:00,28.23,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2008-10-31T00:00:00,28.43,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2008-11-30T00:00:00,29.37,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2008-12-31T00:00:00,27.72,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2009-01-31T00:00:00,21.9,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2009-02-28T00:00:00,14.6,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2009-03-31T00:00:00,14.6,Monthly,KenyaIR,2011-06-27T00:00:00
Kenya,Inflation Rate,2009-04-30T00:00:00,12.4,Monthly,KenyaIR,2011-06-27T00:00:00
