Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Kyrgyzstan,Food Inflation,2003-01-31T00:00:00,2.83,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2003-02-28T00:00:00,2.7,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2003-03-31T00:00:00,4.08,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2003-04-30T00:00:00,6.05,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2003-05-31T00:00:00,6.9,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2003-06-30T00:00:00,2.57,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2003-07-31T00:00:00,-0.17,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2003-08-31T00:00:00,-2.3,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2003-09-30T00:00:00,-2.7,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2003-10-31T00:00:00,3.9,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2003-11-30T00:00:00,6.95,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2003-12-31T00:00:00,6.05,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2004-01-31T00:00:00,7.11,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2004-02-29T00:00:00,6.68,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2004-03-31T00:00:00,5.23,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2004-04-30T00:00:00,1.17,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2004-05-31T00:00:00,-2.32,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2004-06-30T00:00:00,1.59,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2004-07-31T00:00:00,5.32,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2004-08-31T00:00:00,7.65,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2004-09-30T00:00:00,9.2,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2004-10-31T00:00:00,3.25,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2004-11-30T00:00:00,1.85,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2004-12-31T00:00:00,2.78,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2005-01-31T00:00:00,2.54,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2005-02-28T00:00:00,1.75,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2005-03-31T00:00:00,2.54,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2005-04-30T00:00:00,5.32,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2005-05-31T00:00:00,10.22,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2005-06-30T00:00:00,10.5,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2005-07-31T00:00:00,8.19,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
Kyrgyzstan,Food Inflation,2005-08-31T00:00:00,7.68,Monthly,KYRGYZSTANFOOINF,2014-08-11T17:30:00
