Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Kyrgyzstan,Inflation Rate,2003-01-31T00:00:00,2.64,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2003-02-28T00:00:00,2.79,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2003-03-31T00:00:00,3.52,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2003-04-30T00:00:00,3.82,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2003-05-31T00:00:00,4.1,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2003-06-30T00:00:00,1.7,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2003-07-31T00:00:00,1.1,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2003-08-31T00:00:00,1.18,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2003-09-30T00:00:00,0.96,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2003-10-31T00:00:00,3.88,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2003-11-30T00:00:00,5.74,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2003-12-31T00:00:00,5.58,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2004-01-31T00:00:00,5.7,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2004-02-29T00:00:00,5.46,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2004-03-31T00:00:00,4.87,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2004-04-30T00:00:00,3.15,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2004-05-31T00:00:00,1.75,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2004-06-30T00:00:00,4.01,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2004-07-31T00:00:00,5.61,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2004-08-31T00:00:00,5.38,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2004-09-30T00:00:00,5.88,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2004-10-31T00:00:00,3.08,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2004-11-30T00:00:00,2.03,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2004-12-31T00:00:00,2.76,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2005-01-31T00:00:00,2.74,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2005-02-28T00:00:00,2.5,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2005-03-31T00:00:00,2.75,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2005-04-30T00:00:00,4.09,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2005-05-31T00:00:00,5.42,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2005-06-30T00:00:00,5.38,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2005-07-31T00:00:00,4.29,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2005-08-31T00:00:00,4.56,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2005-09-30T00:00:00,4.71,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2005-10-31T00:00:00,5.4,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2005-11-30T00:00:00,5.31,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2005-12-31T00:00:00,4.92,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2006-01-31T00:00:00,5.3,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2006-02-28T00:00:00,6.69,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2006-03-31T00:00:00,6.7,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2006-04-30T00:00:00,6.56,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2006-05-31T00:00:00,5.29,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2006-06-30T00:00:00,5.43,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2006-07-31T00:00:00,5.38,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2006-08-31T00:00:00,5.03,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2006-09-30T00:00:00,5.29,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2006-10-31T00:00:00,5.08,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2006-11-30T00:00:00,4.83,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2006-12-31T00:00:00,5.1,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2007-01-31T00:00:00,5.85,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2007-02-28T00:00:00,4.29,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2007-03-31T00:00:00,4.04,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
Kyrgyzstan,Inflation Rate,2007-04-30T00:00:00,3.69,Monthly,KYRSTANINFNRATE,2012-10-08T15:36:00
