Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Laos,Food Inflation,2013-12-31T00:00:00,12.4,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2014-01-31T00:00:00,11.49,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2014-02-28T00:00:00,10.98,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2014-03-31T00:00:00,10.02,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2014-04-30T00:00:00,8.57,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2014-05-31T00:00:00,6.48,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2014-06-30T00:00:00,5.96,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2014-07-31T00:00:00,5.28,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2014-08-31T00:00:00,5.33,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2014-09-30T00:00:00,5.2,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2014-10-31T00:00:00,4.84,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2014-11-30T00:00:00,4.89,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2014-12-31T00:00:00,4.65,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2015-01-31T00:00:00,4.53,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2015-02-28T00:00:00,4.05,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2015-03-31T00:00:00,3.92,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2015-04-30T00:00:00,3.96,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2015-05-31T00:00:00,4.22,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2015-06-30T00:00:00,4.44,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2015-07-31T00:00:00,4.31,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2015-08-31T00:00:00,4.71,Monthly,LAOSFOOINF,2016-03-18T10:26:00
Laos,Food Inflation,2015-09-30T00:00:00,4.73,Monthly,LAOSFOOINF,2016-03-18T10:26:00
