Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Laos,Inflation Rate,1989-01-31T00:00:00,16.99,Monthly,LAOLAOSINFNRATE,2012-11-07T14:10:00
Laos,Inflation Rate,1989-02-28T00:00:00,25.18,Monthly,LAOLAOSINFNRATE,2012-11-07T14:10:00
Laos,Inflation Rate,1989-03-31T00:00:00,23.98,Monthly,LAOLAOSINFNRATE,2012-11-07T14:10:00
Laos,Inflation Rate,1989-04-30T00:00:00,39.87,Monthly,LAOLAOSINFNRATE,2012-11-07T14:10:00
Laos,Inflation Rate,1989-05-31T00:00:00,48.35,Monthly,LAOLAOSINFNRATE,2012-11-07T14:10:00
Laos,Inflation Rate,1989-06-30T00:00:00,63.95,Monthly,LAOLAOSINFNRATE,2012-11-07T14:10:00
Laos,Inflation Rate,1989-07-31T00:00:00,69.58,Monthly,LAOLAOSINFNRATE,2012-11-07T14:10:00
Laos,Inflation Rate,1989-08-31T00:00:00,87.08,Monthly,LAOLAOSINFNRATE,2012-11-07T14:10:00
Laos,Inflation Rate,1989-09-30T00:00:00,87.78,Monthly,LAOLAOSINFNRATE,2012-11-07T14:10:00
Laos,Inflation Rate,1989-10-31T00:00:00,79.27,Monthly,LAOLAOSINFNRATE,2012-11-07T14:10:00
Laos,Inflation Rate,1989-11-30T00:00:00,77.3,Monthly,LAOLAOSINFNRATE,2012-11-07T14:10:00
Laos,Inflation Rate,1989-12-31T00:00:00,82.12,Monthly,LAOLAOSINFNRATE,2012-11-07T14:10:00
Laos,Inflation Rate,1990-01-31T00:00:00,78.57,Monthly,LAOLAOSINFNRATE,2012-11-07T14:10:00
Laos,Inflation Rate,1990-02-28T00:00:00,72.77,Monthly,LAOLAOSINFNRATE,2012-11-07T14:10:00
Laos,Inflation Rate,1990-03-31T00:00:00,71.55,Monthly,LAOLAOSINFNRATE,2012-11-07T14:10:00
Laos,Inflation Rate,1990-04-30T00:00:00,58.75,Monthly,LAOLAOSINFNRATE,2012-11-07T14:10:00
