Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Lebanon,Food Inflation,2009-01-31T00:00:00,15.08,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2009-02-28T00:00:00,9.16,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2009-03-31T00:00:00,6.5,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2009-04-30T00:00:00,5.43,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2009-05-31T00:00:00,4.99,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2009-06-30T00:00:00,6.96,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2009-07-31T00:00:00,4.77,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2009-08-31T00:00:00,2.87,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2009-09-30T00:00:00,-1.95,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2009-10-31T00:00:00,-3.3,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2009-11-30T00:00:00,-1.98,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2009-12-31T00:00:00,-0.84,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2010-01-31T00:00:00,-0.88,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2010-02-28T00:00:00,0.07,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2010-03-31T00:00:00,0.31,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2010-04-30T00:00:00,1.64,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2010-05-31T00:00:00,1.71,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2010-06-30T00:00:00,1.94,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2010-07-31T00:00:00,1.95,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2010-08-31T00:00:00,4.09,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2010-09-30T00:00:00,5.37,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2010-10-31T00:00:00,7.74,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2010-11-30T00:00:00,6.71,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2010-12-31T00:00:00,6.8,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2011-01-31T00:00:00,7.2,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2011-02-28T00:00:00,6.27,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2011-03-31T00:00:00,7.05,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2011-04-30T00:00:00,6.96,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2011-05-31T00:00:00,7.24,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2011-06-30T00:00:00,7.65,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2011-07-31T00:00:00,7.4,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2011-08-31T00:00:00,6.23,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2011-09-30T00:00:00,5.48,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2011-10-31T00:00:00,4.28,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2011-11-30T00:00:00,5.84,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2011-12-31T00:00:00,5.84,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2012-01-31T00:00:00,5.8,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2012-02-29T00:00:00,6.27,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2012-03-31T00:00:00,6.26,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2012-04-30T00:00:00,6.3,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2012-05-31T00:00:00,7.35,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
Lebanon,Food Inflation,2012-06-30T00:00:00,5.68,Monthly,LEBANONFOOINF,2014-07-23T14:18:00
