Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Lesotho,Food Inflation,2003-01-31T00:00:00,18.72,Monthly,LESOTHOFOOINF,2014-05-28T11:46:00
Lesotho,Food Inflation,2003-02-28T00:00:00,10.27,Monthly,LESOTHOFOOINF,2014-05-28T11:46:00
Lesotho,Food Inflation,2003-03-31T00:00:00,7.79,Monthly,LESOTHOFOOINF,2014-05-28T11:46:00
Lesotho,Food Inflation,2003-04-30T00:00:00,6.78,Monthly,LESOTHOFOOINF,2014-05-28T11:46:00
Lesotho,Food Inflation,2003-05-31T00:00:00,5.83,Monthly,LESOTHOFOOINF,2014-05-28T11:46:00
Lesotho,Food Inflation,2003-06-30T00:00:00,2.78,Monthly,LESOTHOFOOINF,2014-05-28T11:46:00
Lesotho,Food Inflation,2003-07-31T00:00:00,2.22,Monthly,LESOTHOFOOINF,2014-05-28T11:46:00
Lesotho,Food Inflation,2003-08-31T00:00:00,2.12,Monthly,LESOTHOFOOINF,2014-05-28T11:46:00
Lesotho,Food Inflation,2003-09-30T00:00:00,1.69,Monthly,LESOTHOFOOINF,2014-05-28T11:46:00
Lesotho,Food Inflation,2003-10-31T00:00:00,0.88,Monthly,LESOTHOFOOINF,2014-05-28T11:46:00
Lesotho,Food Inflation,2003-11-30T00:00:00,0.76,Monthly,LESOTHOFOOINF,2014-05-28T11:46:00
Lesotho,Food Inflation,2003-12-31T00:00:00,0.67,Monthly,LESOTHOFOOINF,2014-05-28T11:46:00
Lesotho,Food Inflation,2004-01-31T00:00:00,1.57,Monthly,LESOTHOFOOINF,2014-05-28T11:46:00
Lesotho,Food Inflation,2004-02-29T00:00:00,2.15,Monthly,LESOTHOFOOINF,2014-05-28T11:46:00
Lesotho,Food Inflation,2004-03-31T00:00:00,1.93,Monthly,LESOTHOFOOINF,2014-05-28T11:46:00
Lesotho,Food Inflation,2004-04-30T00:00:00,2.32,Monthly,LESOTHOFOOINF,2014-05-28T11:46:00
