Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Liberia,Food Inflation,2007-01-31T00:00:00,17.43,Monthly,LIBERIAFOOINF,2014-05-28T12:24:00
Liberia,Food Inflation,2007-02-28T00:00:00,19.46,Monthly,LIBERIAFOOINF,2014-05-28T12:24:00
Liberia,Food Inflation,2007-03-31T00:00:00,18.16,Monthly,LIBERIAFOOINF,2014-05-28T12:24:00
Liberia,Food Inflation,2007-04-30T00:00:00,24.74,Monthly,LIBERIAFOOINF,2014-05-28T12:24:00
Liberia,Food Inflation,2007-05-31T00:00:00,16.41,Monthly,LIBERIAFOOINF,2014-05-28T12:24:00
Liberia,Food Inflation,2007-06-30T00:00:00,23.02,Monthly,LIBERIAFOOINF,2014-05-28T12:24:00
Liberia,Food Inflation,2007-07-31T00:00:00,23.33,Monthly,LIBERIAFOOINF,2014-05-28T12:24:00
Liberia,Food Inflation,2007-08-31T00:00:00,16.88,Monthly,LIBERIAFOOINF,2014-05-28T12:24:00
Liberia,Food Inflation,2007-09-30T00:00:00,21.22,Monthly,LIBERIAFOOINF,2014-05-28T12:24:00
Liberia,Food Inflation,2007-10-31T00:00:00,11.17,Monthly,LIBERIAFOOINF,2014-05-28T12:24:00
Liberia,Food Inflation,2007-11-30T00:00:00,15.28,Monthly,LIBERIAFOOINF,2014-05-28T12:24:00
Liberia,Food Inflation,2007-12-31T00:00:00,18.39,Monthly,LIBERIAFOOINF,2014-05-28T12:24:00
Liberia,Food Inflation,2008-01-31T00:00:00,28.27,Monthly,LIBERIAFOOINF,2014-05-28T12:24:00
Liberia,Food Inflation,2008-02-29T00:00:00,24.65,Monthly,LIBERIAFOOINF,2014-05-28T12:24:00
Liberia,Food Inflation,2008-03-31T00:00:00,22.47,Monthly,LIBERIAFOOINF,2014-05-28T12:24:00
Liberia,Food Inflation,2008-04-30T00:00:00,15.7,Monthly,LIBERIAFOOINF,2014-05-28T12:24:00
Liberia,Food Inflation,2008-05-31T00:00:00,26.28,Monthly,LIBERIAFOOINF,2014-05-28T12:24:00
