Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Libya,Food Inflation,2005-01-31T00:00:00,-5.46,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2005-02-28T00:00:00,-8.33,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2005-03-31T00:00:00,-5.06,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2005-04-30T00:00:00,-2.74,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2005-05-31T00:00:00,2.74,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2005-06-30T00:00:00,6.67,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2005-07-31T00:00:00,10.21,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2005-08-31T00:00:00,9.69,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2005-09-30T00:00:00,4.46,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2005-10-31T00:00:00,23.8,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2005-11-30T00:00:00,16.89,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2005-12-31T00:00:00,20.52,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2006-01-31T00:00:00,-0.1,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2006-02-28T00:00:00,4.2,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2006-03-31T00:00:00,5.42,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2006-04-30T00:00:00,2.72,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2006-05-31T00:00:00,0.99,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2006-06-30T00:00:00,0.99,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2006-07-31T00:00:00,-2.03,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2006-08-31T00:00:00,-3.8,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2006-09-30T00:00:00,1.84,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2006-10-31T00:00:00,-0.63,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2006-11-30T00:00:00,0.75,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2006-12-31T00:00:00,4.42,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2007-01-31T00:00:00,3.86,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2007-02-28T00:00:00,2.97,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2007-03-31T00:00:00,7.3,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2007-04-30T00:00:00,11.34,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2007-05-31T00:00:00,13.42,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2007-06-30T00:00:00,11.59,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2007-07-31T00:00:00,12.61,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2007-08-31T00:00:00,27.54,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2007-09-30T00:00:00,25.74,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2007-10-31T00:00:00,22.89,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2007-11-30T00:00:00,23.09,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2007-12-31T00:00:00,19.37,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2008-01-31T00:00:00,26.37,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2008-02-29T00:00:00,32.12,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2008-03-31T00:00:00,24.76,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2008-04-30T00:00:00,21.22,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2008-05-31T00:00:00,21.5,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2008-06-30T00:00:00,24.38,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2008-07-31T00:00:00,25.37,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2008-08-31T00:00:00,12.46,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2008-09-30T00:00:00,12.28,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2008-10-31T00:00:00,11.9,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2008-11-30T00:00:00,14.22,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2008-12-31T00:00:00,15.4,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2009-01-31T00:00:00,10.07,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2009-02-28T00:00:00,7.96,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2009-03-31T00:00:00,9.22,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2009-04-30T00:00:00,4.48,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2009-05-31T00:00:00,4.76,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2009-06-30T00:00:00,0.64,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
Libya,Food Inflation,2009-07-31T00:00:00,1.67,Monthly,LIBYAFOOINF,2019-11-19T17:55:00
