Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Madagascar,Food Inflation,2002-01-31T00:00:00,-3.6,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2002-02-28T00:00:00,-2.61,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2002-04-30T00:00:00,15.46,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2002-05-31T00:00:00,21.29,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2002-06-30T00:00:00,23.58,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2002-07-31T00:00:00,24.68,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2002-08-31T00:00:00,23.95,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2002-09-30T00:00:00,23.65,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2002-10-31T00:00:00,20.19,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2002-11-30T00:00:00,18.91,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2002-12-31T00:00:00,15.72,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2003-01-31T00:00:00,12.73,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2003-02-28T00:00:00,8.75,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2003-04-30T00:00:00,-5.59,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2003-05-31T00:00:00,-9.18,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2003-06-30T00:00:00,-10.27,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2003-07-31T00:00:00,-9.11,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2003-08-31T00:00:00,-8.23,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2003-09-30T00:00:00,-7.3,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2003-10-31T00:00:00,-6.11,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2003-11-30T00:00:00,-4.1,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2003-12-31T00:00:00,-3.11,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2004-01-31T00:00:00,-3,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2004-02-29T00:00:00,-2.42,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
Madagascar,Food Inflation,2004-03-31T00:00:00,2.67,Monthly,MADAGASCARFOOINF,2014-05-28T12:52:00
