Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Mali,Food Inflation,2012-01-31T00:00:00,7.57,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2012-02-29T00:00:00,10.76,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2012-03-31T00:00:00,12.06,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2012-04-30T00:00:00,13.99,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2012-05-31T00:00:00,14.55,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2012-06-30T00:00:00,10.7,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2012-07-31T00:00:00,8.17,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2012-08-31T00:00:00,7.14,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2012-09-30T00:00:00,5.52,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2012-10-31T00:00:00,4.2,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2012-11-30T00:00:00,2.64,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2012-12-31T00:00:00,0.67,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2013-01-31T00:00:00,-1.69,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2013-02-28T00:00:00,-2.7,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2013-03-31T00:00:00,-3.53,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2013-04-30T00:00:00,-4.86,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2013-05-31T00:00:00,-5.63,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2013-06-30T00:00:00,-5.35,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2013-07-31T00:00:00,-3.61,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2013-08-31T00:00:00,-2.65,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2013-09-30T00:00:00,-3.7,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2013-10-31T00:00:00,-2.71,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2013-11-30T00:00:00,-0.91,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2013-12-31T00:00:00,-1.67,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2014-01-31T00:00:00,0.78,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2014-02-28T00:00:00,-1.22,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2014-03-31T00:00:00,-0.61,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2014-04-30T00:00:00,-1.04,Monthly,MALIFOOINF,2014-05-29T09:44:00
Mali,Food Inflation,2014-05-31T00:00:00,-1.4,Monthly,MALIFOOINF,2014-06-26T10:54:00
