Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Mauritania,Food Inflation,2004-04-30T00:00:00,8.9,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2004-08-31T00:00:00,17.57,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2005-01-31T00:00:00,21.76,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2005-02-28T00:00:00,21.47,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2005-03-31T00:00:00,19.53,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2005-04-30T00:00:00,18.12,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2005-05-31T00:00:00,18.45,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2005-06-30T00:00:00,17.24,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2005-07-31T00:00:00,16.57,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2005-08-31T00:00:00,13.96,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2005-09-30T00:00:00,7.76,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2005-12-31T00:00:00,4.51,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2006-01-31T00:00:00,1.22,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2006-02-28T00:00:00,1.51,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2006-03-31T00:00:00,2.1,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2006-04-30T00:00:00,4.29,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2006-05-31T00:00:00,3.78,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2006-06-30T00:00:00,3.6,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2006-07-31T00:00:00,4.3,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2006-08-31T00:00:00,4.25,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
Mauritania,Food Inflation,2006-09-30T00:00:00,11.67,Monthly,MAURITANIAFOOINF,2014-06-02T16:58:00
