Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Mongolia,Food Inflation,2007-01-31T00:00:00,4.4,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2007-02-28T00:00:00,7.7,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2007-03-31T00:00:00,8.9,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2007-04-30T00:00:00,6.1,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2007-05-31T00:00:00,6,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2007-06-30T00:00:00,6.6,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2007-07-31T00:00:00,7.8,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2007-08-31T00:00:00,14.5,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2007-09-30T00:00:00,19.8,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2007-10-31T00:00:00,21.2,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2007-11-30T00:00:00,24.6,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2007-12-31T00:00:00,28.2,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2008-01-31T00:00:00,31.3,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2008-02-29T00:00:00,32.1,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2008-03-31T00:00:00,37.4,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2008-04-30T00:00:00,48.2,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2008-05-31T00:00:00,55.9,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2008-06-30T00:00:00,54.4,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2008-07-31T00:00:00,50.6,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2008-08-31T00:00:00,44.3,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2008-09-30T00:00:00,40.2,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2008-10-31T00:00:00,35.5,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2008-11-30T00:00:00,29.2,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2008-12-31T00:00:00,23.9,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2009-01-31T00:00:00,21.2,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2009-02-28T00:00:00,17.2,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2009-03-31T00:00:00,13.6,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2009-04-30T00:00:00,6.7,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2009-05-31T00:00:00,-0.2,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2009-06-30T00:00:00,-3.3,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2009-07-31T00:00:00,-5.9,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2009-08-31T00:00:00,-7.6,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2009-09-30T00:00:00,-7.4,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2009-10-31T00:00:00,-5.5,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2009-11-30T00:00:00,-0.2,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2009-12-31T00:00:00,0.4,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2010-01-31T00:00:00,3.3,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2010-02-28T00:00:00,7.9,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2010-03-31T00:00:00,9,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2010-04-30T00:00:00,9,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2010-05-31T00:00:00,15.4,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2010-06-30T00:00:00,14.9,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2010-07-31T00:00:00,12.2,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2010-08-31T00:00:00,14.6,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2010-09-30T00:00:00,14.3,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2010-10-31T00:00:00,15,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2010-11-30T00:00:00,14.2,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2010-12-31T00:00:00,18.6,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2011-01-31T00:00:00,18.9,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2011-02-28T00:00:00,12.8,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2011-03-31T00:00:00,6.7,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2011-04-30T00:00:00,1.4,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2011-05-31T00:00:00,-2,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2011-06-30T00:00:00,2.4,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2011-07-31T00:00:00,11.2,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2011-08-31T00:00:00,10.9,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2011-09-30T00:00:00,12.8,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2011-10-31T00:00:00,12.7,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2011-11-30T00:00:00,11.3,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2011-12-31T00:00:00,8.7,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2012-01-31T00:00:00,8.2,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2012-02-29T00:00:00,14.9,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2012-03-31T00:00:00,24.5,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2012-04-30T00:00:00,26.5,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2012-05-31T00:00:00,24.6,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2012-06-30T00:00:00,25,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2012-07-31T00:00:00,24.7,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2012-08-31T00:00:00,24.7,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2012-09-30T00:00:00,21.8,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2012-10-31T00:00:00,19.9,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2012-11-30T00:00:00,18.7,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2012-12-31T00:00:00,17.5,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2013-01-31T00:00:00,17.6,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2013-02-28T00:00:00,13.1,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2013-03-31T00:00:00,7.8,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2013-04-30T00:00:00,10,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2013-05-31T00:00:00,9.8,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2013-06-30T00:00:00,8.1,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2013-07-31T00:00:00,6.1,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2013-08-31T00:00:00,5.5,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2013-09-30T00:00:00,9.1,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2013-10-31T00:00:00,11.1,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2013-11-30T00:00:00,12.9,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2013-12-31T00:00:00,13.3,Monthly,MONGOLIAFOOINF,2015-05-20T15:37:00
Mongolia,Food Inflation,2014-01-31T00:00:00,10.4,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2014-02-28T00:00:00,9.1,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2014-03-31T00:00:00,8.9,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2014-04-30T00:00:00,8.2,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2014-05-31T00:00:00,10,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2014-06-30T00:00:00,11.9,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2014-07-31T00:00:00,11.4,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2014-08-31T00:00:00,10.3,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2014-09-30T00:00:00,9.2,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2014-10-31T00:00:00,8.9,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2014-11-30T00:00:00,7.6,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2014-12-31T00:00:00,6.6,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2015-01-31T00:00:00,5.6,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2015-02-28T00:00:00,4.3,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2015-03-31T00:00:00,4.5,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2015-04-30T00:00:00,4.3,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2015-05-31T00:00:00,1.9,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2015-06-30T00:00:00,0.3,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2015-07-31T00:00:00,0.2,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2015-08-31T00:00:00,2.4,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2015-09-30T00:00:00,-0.4,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2015-10-31T00:00:00,-2.4,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2015-11-30T00:00:00,-4.1,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2015-12-31T00:00:00,-5.9,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2016-01-31T00:00:00,-4.5,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2016-02-29T00:00:00,-2.6,Monthly,MONGOLIAFOOINF,2016-03-22T14:52:00
Mongolia,Food Inflation,2016-03-31T00:00:00,-2.6,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2016-04-30T00:00:00,-0.5,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
Mongolia,Food Inflation,2016-05-31T00:00:00,-0.4,Monthly,MONGOLIAFOOINF,2019-01-16T14:26:00
