Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Mongolia,Inflation Rate,2007-01-31T00:00:00,5.2,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2007-02-28T00:00:00,6.4,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2007-03-31T00:00:00,7.2,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2007-04-30T00:00:00,6,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2007-05-31T00:00:00,5.7,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2007-06-30T00:00:00,5.9,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2007-07-31T00:00:00,6.4,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2007-08-31T00:00:00,10.8,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2007-09-30T00:00:00,12.6,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2007-10-31T00:00:00,14.7,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2007-11-30T00:00:00,16.7,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2007-12-31T00:00:00,17.8,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2008-01-31T00:00:00,19.9,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2008-02-29T00:00:00,21,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2008-03-31T00:00:00,24,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2008-04-30T00:00:00,29.4,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2008-05-31T00:00:00,33.9,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2008-06-30T00:00:00,33.6,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2008-07-31T00:00:00,33,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2008-08-31T00:00:00,34.2,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2008-09-30T00:00:00,32.2,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2008-10-31T00:00:00,27.9,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2008-11-30T00:00:00,24.2,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2008-12-31T00:00:00,22.1,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2009-01-31T00:00:00,20.7,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2009-02-28T00:00:00,18.2,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2009-03-31T00:00:00,16.3,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2009-04-30T00:00:00,12.5,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2009-05-31T00:00:00,8,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2009-06-30T00:00:00,6.3,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2009-07-31T00:00:00,4.9,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2009-08-31T00:00:00,0.6,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2009-09-30T00:00:00,0,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2009-10-31T00:00:00,0.9,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2009-11-30T00:00:00,3.5,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2009-12-31T00:00:00,4.2,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2010-01-31T00:00:00,5.7,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2010-02-28T00:00:00,8.3,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2010-03-31T00:00:00,8.5,Monthly,MongoliaIR,2016-09-12T14:00:00
Mongolia,Inflation Rate,2010-04-30T00:00:00,8.3,Monthly,MongoliaIR,2016-09-12T14:00:00
