Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Mozambique,Food Inflation,2008-01-31T00:00:00,16.8,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2008-02-29T00:00:00,18,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2008-03-31T00:00:00,18.2,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2008-04-30T00:00:00,18,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2008-05-31T00:00:00,17.4,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2008-06-30T00:00:00,18.6,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2008-07-31T00:00:00,20.5,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2008-08-31T00:00:00,20.3,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2008-09-30T00:00:00,21.4,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2008-10-31T00:00:00,20.7,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2008-11-30T00:00:00,19.9,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2008-12-31T00:00:00,16.5,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2009-01-31T00:00:00,15.9,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2009-02-28T00:00:00,12.4,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2009-03-31T00:00:00,11.7,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2009-04-30T00:00:00,10.3,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2009-05-31T00:00:00,7.9,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2009-06-30T00:00:00,6.7,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2009-07-31T00:00:00,5.5,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2009-08-31T00:00:00,3.8,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2009-09-30T00:00:00,3,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2009-10-31T00:00:00,2.4,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2009-11-30T00:00:00,2.4,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2009-12-31T00:00:00,3.5,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2010-01-31T00:00:00,5.4,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2010-02-28T00:00:00,8.5,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2010-03-31T00:00:00,9.4,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2010-04-30T00:00:00,11.3,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2010-05-31T00:00:00,16,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2010-06-30T00:00:00,18.6,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2010-07-31T00:00:00,18.9,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2010-08-31T00:00:00,18.8,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2010-09-30T00:00:00,18.7,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2010-10-31T00:00:00,18.5,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2010-11-30T00:00:00,18.9,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
Mozambique,Food Inflation,2010-12-31T00:00:00,21.7,Monthly,MOZAMBIQUEFOOINF,2017-01-10T16:51:00
