Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Myanmar,Food Inflation,2005-02-28T00:00:00,3.8,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2005-03-31T00:00:00,7.1,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2005-04-30T00:00:00,8.8,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2005-05-31T00:00:00,9.3,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2005-06-30T00:00:00,9.2,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2005-07-31T00:00:00,9.4,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2005-08-31T00:00:00,9.4,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2005-09-30T00:00:00,10.5,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2005-10-31T00:00:00,12.7,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2005-11-30T00:00:00,13.9,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2005-12-31T00:00:00,15.3,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2006-01-31T00:00:00,11,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2006-02-28T00:00:00,13.2,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2006-03-31T00:00:00,13.3,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2006-04-30T00:00:00,13.3,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2006-05-31T00:00:00,17.3,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2006-06-30T00:00:00,21,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2006-07-31T00:00:00,23.4,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2006-08-31T00:00:00,25.6,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2006-09-30T00:00:00,24.8,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2006-10-31T00:00:00,24.8,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2006-11-30T00:00:00,27.6,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2006-12-31T00:00:00,28.7,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2007-01-31T00:00:00,35.9,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2007-02-28T00:00:00,38.9,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2007-03-31T00:00:00,39.8,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2007-04-30T00:00:00,42.1,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2007-05-31T00:00:00,39.9,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2007-06-30T00:00:00,37.3,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2007-07-31T00:00:00,36.1,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2007-08-31T00:00:00,34.2,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2007-09-30T00:00:00,34.2,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2007-10-31T00:00:00,32.4,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2007-11-30T00:00:00,29.4,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2007-12-31T00:00:00,28.3,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2008-01-31T00:00:00,29.4,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2008-02-29T00:00:00,29.7,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2009-03-31T00:00:00,0.9,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2009-04-30T00:00:00,1.9,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2009-05-31T00:00:00,-1.3,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2009-06-30T00:00:00,-0.4,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2009-07-31T00:00:00,-1.6,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2009-08-31T00:00:00,-3.3,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2009-09-30T00:00:00,-2.5,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
Myanmar,Food Inflation,2009-10-31T00:00:00,-2.2,Monthly,MYANMARFOOINF,2016-09-05T16:16:00
