Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Nepal,Food Inflation,2007-08-31T00:00:00,9.23,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2007-09-30T00:00:00,10.18,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2007-10-31T00:00:00,8.79,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2007-11-30T00:00:00,7.93,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2007-12-31T00:00:00,6.64,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2008-01-31T00:00:00,6.6,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2008-02-29T00:00:00,6.97,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2008-03-31T00:00:00,8.44,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2008-04-30T00:00:00,11.79,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2008-05-31T00:00:00,12.15,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2008-06-30T00:00:00,11.84,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2008-07-31T00:00:00,11.46,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2008-08-31T00:00:00,12.63,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2008-09-30T00:00:00,13.98,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2008-10-31T00:00:00,15.49,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2008-11-30T00:00:00,17.08,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2008-12-31T00:00:00,17,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2009-01-31T00:00:00,18.39,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2009-02-28T00:00:00,18.55,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2009-03-31T00:00:00,18.11,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2009-04-30T00:00:00,16.03,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2009-05-31T00:00:00,17.95,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2009-06-30T00:00:00,21.42,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2009-07-31T00:00:00,21.13,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2009-08-31T00:00:00,19.03,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2009-09-30T00:00:00,16.95,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2009-10-31T00:00:00,15.67,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2009-11-30T00:00:00,16.56,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2009-12-31T00:00:00,18.13,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2010-01-31T00:00:00,18.26,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2010-02-28T00:00:00,17.46,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2010-03-31T00:00:00,14.81,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2010-04-30T00:00:00,14.04,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2010-05-31T00:00:00,11.29,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2010-06-30T00:00:00,9.81,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2010-07-31T00:00:00,11.03,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2010-08-31T00:00:00,10.98,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2010-09-30T00:00:00,12.21,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2010-10-31T00:00:00,13.11,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2010-11-30T00:00:00,13.27,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2010-12-31T00:00:00,15.16,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2011-01-31T00:00:00,17.55,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2011-02-28T00:00:00,16.59,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2011-03-31T00:00:00,17.29,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2011-04-30T00:00:00,17.22,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2011-05-31T00:00:00,15.94,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2011-06-30T00:00:00,14.27,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2011-07-31T00:00:00,12.16,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2011-08-31T00:00:00,11.48,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2011-09-30T00:00:00,10.08,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2011-10-31T00:00:00,9.64,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2011-11-30T00:00:00,8.4,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2011-12-31T00:00:00,7.05,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2012-01-31T00:00:00,4.03,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2012-02-29T00:00:00,4.07,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2012-03-31T00:00:00,4.24,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2012-04-30T00:00:00,4.62,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2012-05-31T00:00:00,7.12,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2012-06-30T00:00:00,9.93,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2012-07-31T00:00:00,11.86,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2012-08-31T00:00:00,12.18,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2012-09-30T00:00:00,10.4,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2012-10-31T00:00:00,9.15,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2012-11-30T00:00:00,8.92,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2012-12-31T00:00:00,8.74,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2013-01-31T00:00:00,9.59,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2013-02-28T00:00:00,10.67,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2013-03-31T00:00:00,11.29,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2013-04-30T00:00:00,10.3,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2013-05-31T00:00:00,8.73,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2013-06-30T00:00:00,7.75,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2013-07-31T00:00:00,8.4,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2013-08-31T00:00:00,8.85,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2013-09-30T00:00:00,9.32,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2013-10-31T00:00:00,9.96,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2013-11-30T00:00:00,13.48,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2013-12-31T00:00:00,14.43,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2014-01-31T00:00:00,12.91,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2014-02-28T00:00:00,10.78,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2014-03-31T00:00:00,10.76,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2014-04-30T00:00:00,12.26,Monthly,NEPALFOOINF,2014-07-23T15:22:00
Nepal,Food Inflation,2014-05-31T00:00:00,12.24,Monthly,NEPALFOOINF,2014-12-22T14:46:00
