Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Nicaragua,Food Inflation,2005-01-31T00:00:00,10.65,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2005-02-28T00:00:00,10.52,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2005-03-31T00:00:00,11.29,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2005-04-30T00:00:00,11.85,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2005-05-31T00:00:00,13.35,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2005-06-30T00:00:00,13.58,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2005-07-31T00:00:00,13.67,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2005-08-31T00:00:00,13.56,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2005-09-30T00:00:00,11.7,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2005-10-31T00:00:00,9.51,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2005-11-30T00:00:00,9.38,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2005-12-31T00:00:00,9.74,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2006-01-31T00:00:00,10,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2006-02-28T00:00:00,10.31,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2006-03-31T00:00:00,9.84,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2006-04-30T00:00:00,9.23,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2006-05-31T00:00:00,7.51,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2006-06-30T00:00:00,7.05,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2006-07-31T00:00:00,5.94,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2006-08-31T00:00:00,5.89,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2006-09-30T00:00:00,6.57,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2006-10-31T00:00:00,7.11,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2006-11-30T00:00:00,7.73,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2006-12-31T00:00:00,11.26,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2007-01-31T00:00:00,12.05,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2007-02-28T00:00:00,11.98,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2007-03-31T00:00:00,12.47,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2007-04-30T00:00:00,12.6,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2007-05-31T00:00:00,12.17,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2007-06-30T00:00:00,14.25,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2007-07-31T00:00:00,15.97,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2007-08-31T00:00:00,16.88,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2007-09-30T00:00:00,19.13,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2007-10-31T00:00:00,22.29,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2007-11-30T00:00:00,29.11,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2007-12-31T00:00:00,25.79,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2008-01-31T00:00:00,25.11,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2008-02-29T00:00:00,26.12,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
Nicaragua,Food Inflation,2008-03-31T00:00:00,27.2,Monthly,NICARAGUAFOOINF,2014-07-24T17:54:00
