Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Niger,Food Inflation,2011-03-31T00:00:00,6.52,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2011-04-30T00:00:00,6.27,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2011-05-31T00:00:00,1.55,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2011-06-30T00:00:00,1.47,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2011-07-31T00:00:00,1.13,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2011-08-31T00:00:00,2.62,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2011-09-30T00:00:00,2.67,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2011-10-31T00:00:00,3.71,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2011-11-30T00:00:00,5.24,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2011-12-31T00:00:00,0.09,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2012-01-31T00:00:00,-1.81,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2012-02-29T00:00:00,-0.98,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2012-03-31T00:00:00,0.09,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2012-04-30T00:00:00,2.18,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2012-05-31T00:00:00,5.56,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2012-06-30T00:00:00,2.98,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2012-07-31T00:00:00,5.52,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2012-08-31T00:00:00,4.16,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2012-09-30T00:00:00,6.42,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2012-10-31T00:00:00,5.94,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2012-11-30T00:00:00,3.87,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2012-12-31T00:00:00,4.9,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2013-01-31T00:00:00,3.68,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2013-02-28T00:00:00,5.97,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2013-03-31T00:00:00,6.03,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2013-04-30T00:00:00,4.71,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2013-05-31T00:00:00,3.4,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2013-06-30T00:00:00,3.96,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2013-07-31T00:00:00,6.46,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2013-08-31T00:00:00,5.71,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2013-09-30T00:00:00,4.4,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2013-10-31T00:00:00,4.62,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2013-11-30T00:00:00,3.56,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2013-12-31T00:00:00,0.9,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2014-01-31T00:00:00,2.45,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2014-02-28T00:00:00,0.34,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2014-03-31T00:00:00,-0.6,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2014-04-30T00:00:00,-1.61,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2014-05-31T00:00:00,-0.9,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2014-06-30T00:00:00,-2.07,Monthly,NIGERFOOINF,2014-07-16T14:49:00
Niger,Food Inflation,2014-07-31T00:00:00,-3.91,Monthly,NIGERFOOINF,2014-08-25T19:41:00
Niger,Food Inflation,2014-08-31T00:00:00,-3.86,Monthly,NIGERFOOINF,2014-11-24T18:48:00
