Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Pakistan,Food Inflation,2011-09-30T00:00:00,9.69,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2011-10-31T00:00:00,11.74,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2011-11-30T00:00:00,10.02,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2011-12-31T00:00:00,9.53,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2012-01-31T00:00:00,9.3,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2012-02-29T00:00:00,10.58,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2012-03-31T00:00:00,9.81,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2012-04-30T00:00:00,10.7,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2012-05-31T00:00:00,11.24,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2012-06-30T00:00:00,9.94,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2012-09-30T00:00:00,7.13,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2012-10-31T00:00:00,5.18,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2012-11-30T00:00:00,4.71,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2012-12-31T00:00:00,7.19,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2013-01-31T00:00:00,7.62,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2013-02-28T00:00:00,6.9,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2013-03-31T00:00:00,5.86,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2013-04-30T00:00:00,5.12,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2013-05-31T00:00:00,6.22,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2013-06-30T00:00:00,8.05,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2013-07-31T00:00:00,8.94,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2013-08-31T00:00:00,10.12,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2013-09-30T00:00:00,7.48,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2013-10-31T00:00:00,9.52,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2013-11-30T00:00:00,12.99,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2013-12-31T00:00:00,8.9,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2014-01-31T00:00:00,6.68,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2014-02-28T00:00:00,7.04,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2014-03-31T00:00:00,8.84,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2014-04-30T00:00:00,9.53,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2014-05-31T00:00:00,6.78,Monthly,PAKISTANFOOINF,2014-06-25T15:36:00
Pakistan,Food Inflation,2014-06-30T00:00:00,6.13,Monthly,PAKISTANFOOINF,2014-07-01T10:33:00
Pakistan,Food Inflation,2014-07-31T00:00:00,6.19,Monthly,PAKISTANFOOINF,2014-09-01T12:25:00
Pakistan,Food Inflation,2014-08-31T00:00:00,4.65,Monthly,PAKISTANFOOINF,2014-09-01T12:25:00
Pakistan,Food Inflation,2014-09-30T00:00:00,6.47,Monthly,PAKISTANFOOINF,2014-10-21T18:44:00
Pakistan,Food Inflation,2014-10-31T00:00:00,4.41,Monthly,PAKISTANFOOINF,2014-11-05T12:34:00
Pakistan,Food Inflation,2014-11-30T00:00:00,1.09,Monthly,PAKISTANFOOINF,2014-12-23T12:54:00
Pakistan,Food Inflation,2014-12-31T00:00:00,2.53,Monthly,PAKISTANFOOINF,2015-01-27T16:19:00
Pakistan,Food Inflation,2015-01-31T00:00:00,2.13,Monthly,PAKISTANFOOINF,2015-03-02T16:45:00
Pakistan,Food Inflation,2015-02-28T00:00:00,1.19,Monthly,PAKISTANFOOINF,2015-03-02T16:45:00
Pakistan,Food Inflation,2015-03-31T00:00:00,-0.48,Monthly,PAKISTANFOOINF,2015-04-01T11:34:00
Pakistan,Food Inflation,2015-04-30T00:00:00,-1.05,Monthly,PAKISTANFOOINF,2015-05-04T11:58:00
Pakistan,Food Inflation,2015-05-31T00:00:00,2.22,Monthly,PAKISTANFOOINF,2015-07-01T10:42:00
Pakistan,Food Inflation,2015-06-30T00:00:00,2.41,Monthly,PAKISTANFOOINF,2015-07-01T10:42:00
Pakistan,Food Inflation,2015-07-31T00:00:00,-0.33,Monthly,PAKISTANFOOINF,2015-08-18T13:25:00
Pakistan,Food Inflation,2015-08-31T00:00:00,-0.57,Monthly,PAKISTANFOOINF,2015-09-01T12:52:00
Pakistan,Food Inflation,2015-09-30T00:00:00,-1.06,Monthly,PAKISTANFOOINF,2015-10-01T10:31:00
Pakistan,Food Inflation,2015-10-31T00:00:00,-0.42,Monthly,PAKISTANFOOINF,2015-11-02T09:47:00
