Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Peru,Inflation Rate,1970-01-31T00:00:00,5.95,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1970-02-28T00:00:00,5.1,Monthly,PRCPYOY,2015-01-11T18:12:00
Peru,Inflation Rate,1970-03-31T00:00:00,4.26,Monthly,PRCPYOY,2015-01-11T18:12:00
Peru,Inflation Rate,1970-04-30T00:00:00,3.05,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1970-05-31T00:00:00,2.7,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1970-06-30T00:00:00,4.09,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1970-07-31T00:00:00,4.5,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1970-08-31T00:00:00,5.25,Monthly,PRCPYOY,2015-01-11T18:12:00
Peru,Inflation Rate,1970-09-30T00:00:00,6.5,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1970-10-31T00:00:00,6.82,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1970-11-30T00:00:00,6.42,Monthly,PRCPYOY,2015-01-11T18:12:00
Peru,Inflation Rate,1970-12-31T00:00:00,5.61,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1971-01-31T00:00:00,5.4,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1971-02-28T00:00:00,6.34,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1971-03-31T00:00:00,6.52,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1971-04-30T00:00:00,6.29,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1971-05-31T00:00:00,6.96,Monthly,PRCPYOY,2015-01-11T18:12:00
Peru,Inflation Rate,1971-06-30T00:00:00,6.32,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1971-07-31T00:00:00,7.76,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1971-08-31T00:00:00,8.1,Monthly,PRCPYOY,2015-01-11T18:12:00
Peru,Inflation Rate,1971-09-30T00:00:00,6.54,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1971-10-31T00:00:00,6.55,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1971-11-30T00:00:00,7.16,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1971-12-31T00:00:00,7.67,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1972-01-31T00:00:00,7.81,Monthly,PRCPYOY,2015-01-11T18:12:00
Peru,Inflation Rate,1972-02-29T00:00:00,8.26,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1972-03-31T00:00:00,12.01,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1972-04-30T00:00:00,8.59,Monthly,PRCPYOY,2015-01-11T18:12:00
Peru,Inflation Rate,1972-05-31T00:00:00,7.17,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1972-06-30T00:00:00,8.13,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1972-07-31T00:00:00,5.71,Monthly,PRCPYOY,2015-01-11T18:12:00
Peru,Inflation Rate,1972-08-31T00:00:00,5.36,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1972-09-30T00:00:00,7.16,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1972-10-31T00:00:00,6.96,Monthly,PRCPYOY,2015-01-11T18:12:00
Peru,Inflation Rate,1972-11-30T00:00:00,5.2,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1972-12-31T00:00:00,4.31,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1973-01-31T00:00:00,4.67,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1973-02-28T00:00:00,4.8,Monthly,PRCPYOY,2013-01-25T13:05:00
Peru,Inflation Rate,1973-03-31T00:00:00,2.47,Monthly,PRCPYOY,2013-01-25T13:05:00
