Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Philippines,Food Inflation,1995-01-31T00:00:00,5.7,Monthly,PHILIPPINEFOOINF,2014-06-25T14:45:00
Philippines,Food Inflation,1995-02-28T00:00:00,5.9,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1995-03-31T00:00:00,5.7,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1995-04-30T00:00:00,5.9,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1995-05-31T00:00:00,6.4,Monthly,PHILIPPINEFOOINF,2014-06-25T14:45:00
Philippines,Food Inflation,1995-06-30T00:00:00,6.7,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1995-07-31T00:00:00,6.7,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1995-08-31T00:00:00,7.9,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1995-09-30T00:00:00,10.9,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1995-10-31T00:00:00,10.9,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1995-11-30T00:00:00,10.9,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1995-12-31T00:00:00,11.2,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1996-01-31T00:00:00,13.2,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1996-02-29T00:00:00,13.5,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1996-03-31T00:00:00,13.9,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1996-04-30T00:00:00,13.5,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1996-05-31T00:00:00,12.9,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1996-06-30T00:00:00,12.3,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1996-07-31T00:00:00,11.5,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1996-08-31T00:00:00,10.4,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1996-09-30T00:00:00,6.8,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1996-10-31T00:00:00,6.8,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1996-11-30T00:00:00,6.1,Monthly,PHILIPPINEFOOINF,2014-06-25T14:45:00
Philippines,Food Inflation,1996-12-31T00:00:00,6.2,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1997-01-31T00:00:00,2.6,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1997-02-28T00:00:00,2,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1997-03-31T00:00:00,2.6,Monthly,PHILIPPINEFOOINF,2014-06-25T14:45:00
Philippines,Food Inflation,1997-04-30T00:00:00,2.3,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1997-05-31T00:00:00,2.1,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1997-06-30T00:00:00,2.9,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1997-07-31T00:00:00,2.7,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1997-08-31T00:00:00,2.3,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1997-09-30T00:00:00,3.3,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1997-10-31T00:00:00,3.6,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1997-11-30T00:00:00,4.5,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1997-12-31T00:00:00,4.2,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1998-01-31T00:00:00,4.2,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1998-02-28T00:00:00,5.6,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1998-03-31T00:00:00,5.5,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1998-04-30T00:00:00,6.6,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1998-05-31T00:00:00,8.4,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1998-06-30T00:00:00,9.4,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1998-07-31T00:00:00,9.6,Monthly,PHILIPPINEFOOINF,2014-06-25T14:45:00
Philippines,Food Inflation,1998-08-31T00:00:00,9.1,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1998-09-30T00:00:00,9,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1998-10-31T00:00:00,8.7,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1998-11-30T00:00:00,11.1,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1998-12-31T00:00:00,10.4,Monthly,PHILIPPINEFOOINF,2014-06-25T14:45:00
Philippines,Food Inflation,1999-01-31T00:00:00,12.5,Monthly,PHILIPPINEFOOINF,2014-06-25T14:45:00
Philippines,Food Inflation,1999-02-28T00:00:00,10.5,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1999-03-31T00:00:00,8.8,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1999-04-30T00:00:00,7.1,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1999-05-31T00:00:00,5,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1999-06-30T00:00:00,2.6,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
Philippines,Food Inflation,1999-07-31T00:00:00,2.4,Monthly,PHILIPPINEFOOINF,2018-03-19T17:02:00
