Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Senegal,Food Inflation,2010-06-30T00:00:00,4.34,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2010-07-31T00:00:00,7.36,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2010-08-31T00:00:00,6.9,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2010-09-30T00:00:00,8.97,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2010-10-31T00:00:00,0,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2010-11-30T00:00:00,8.63,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2010-12-31T00:00:00,10.31,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2011-01-31T00:00:00,10.66,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2011-02-28T00:00:00,8.74,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2011-03-31T00:00:00,7.66,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2011-04-30T00:00:00,9.4,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2011-05-31T00:00:00,11.95,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2011-06-30T00:00:00,8.85,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2011-07-31T00:00:00,5.77,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2011-08-31T00:00:00,4.62,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2011-09-30T00:00:00,2.99,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2011-10-31T00:00:00,3.15,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2011-11-30T00:00:00,3.74,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2011-12-31T00:00:00,5.1,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2012-01-31T00:00:00,1.5,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2012-02-29T00:00:00,2.65,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2012-03-31T00:00:00,4.52,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2012-04-30T00:00:00,3.76,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2012-05-31T00:00:00,0,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2012-06-30T00:00:00,-0.48,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2012-07-31T00:00:00,-0.19,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2012-08-31T00:00:00,2.12,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2012-09-30T00:00:00,4.09,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2012-10-31T00:00:00,5.03,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2012-11-30T00:00:00,4.41,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2012-12-31T00:00:00,2.07,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2013-01-31T00:00:00,1.11,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2013-02-28T00:00:00,0.74,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2013-03-31T00:00:00,-0.74,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2013-04-30T00:00:00,-0.09,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2013-05-31T00:00:00,2.79,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2013-06-30T00:00:00,1.44,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2013-07-31T00:00:00,2.26,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2013-08-31T00:00:00,2.53,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2013-09-30T00:00:00,1.31,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2013-10-31T00:00:00,2.74,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2013-11-30T00:00:00,1.98,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2013-12-31T00:00:00,-0.44,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2014-01-31T00:00:00,1.82,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2014-02-28T00:00:00,0.27,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2014-03-31T00:00:00,-0.09,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2014-04-30T00:00:00,-1.4,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2014-05-31T00:00:00,-3.27,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2014-06-30T00:00:00,-1.89,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2014-07-31T00:00:00,-3.13,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2014-08-31T00:00:00,-2.64,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2014-09-30T00:00:00,-2.76,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2014-10-31T00:00:00,-4,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2014-11-30T00:00:00,-4.65,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2014-12-31T00:00:00,-0.18,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2015-01-31T00:00:00,1.07,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2015-02-28T00:00:00,-2.1,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2015-03-31T00:00:00,-2.13,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2015-04-30T00:00:00,-0.09,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2015-05-31T00:00:00,2.9,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2015-06-30T00:00:00,2.99,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2015-07-31T00:00:00,5.13,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2015-08-31T00:00:00,1.54,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2015-09-30T00:00:00,3.45,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2015-10-31T00:00:00,6.42,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2015-11-30T00:00:00,5.41,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2015-12-31T00:00:00,1.59,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2016-01-31T00:00:00,-0.62,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2016-02-29T00:00:00,4.1,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2016-03-31T00:00:00,4.55,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2016-04-30T00:00:00,3.4,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2016-05-31T00:00:00,1.79,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2016-06-30T00:00:00,3,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2016-07-31T00:00:00,1.36,Monthly,SENEGALFOOINF,2016-09-06T14:39:00
Senegal,Food Inflation,2016-08-31T00:00:00,4.6,Monthly,SENEGALFOOINF,2016-09-12T16:10:00
Senegal,Food Inflation,2016-09-30T00:00:00,4.3,Monthly,SENEGALFOOINF,2016-10-18T12:15:00
Senegal,Food Inflation,2016-10-31T00:00:00,0.4,Monthly,SENEGALFOOINF,2016-11-24T18:10:00
Senegal,Food Inflation,2016-11-30T00:00:00,1.6,Monthly,SENEGALFOOINF,2017-01-12T10:53:00
Senegal,Food Inflation,2016-12-31T00:00:00,6.8,Monthly,SENEGALFOOINF,2017-01-12T10:53:00
Senegal,Food Inflation,2017-01-31T00:00:00,5.7,Monthly,SENEGALFOOINF,2017-02-10T10:26:00
Senegal,Food Inflation,2017-02-28T00:00:00,6.3,Monthly,SENEGALFOOINF,2017-03-13T10:49:00
Senegal,Food Inflation,2017-03-31T00:00:00,7.5,Monthly,SENEGALFOOINF,2017-04-10T10:39:00
Senegal,Food Inflation,2017-04-30T00:00:00,5.9,Monthly,SENEGALFOOINF,2017-05-10T11:51:00
Senegal,Food Inflation,2017-05-31T00:00:00,5,Monthly,SENEGALFOOINF,2017-06-13T10:28:00
Senegal,Food Inflation,2017-06-30T00:00:00,4.2,Monthly,SENEGALFOOINF,2017-07-12T10:04:00
Senegal,Food Inflation,2017-07-31T00:00:00,5.5,Monthly,SENEGALFOOINF,2017-09-06T11:11:00
Senegal,Food Inflation,2017-08-31T00:00:00,5.4,Monthly,SENEGALFOOINF,2017-09-06T11:12:00
Senegal,Food Inflation,2017-09-30T00:00:00,1.5,Monthly,SENEGALFOOINF,2017-10-06T11:54:00
Senegal,Food Inflation,2017-10-31T00:00:00,0.8,Monthly,SENEGALFOOINF,2017-11-14T09:40:00
Senegal,Food Inflation,2017-11-30T00:00:00,0.2,Monthly,SENEGALFOOINF,2017-12-11T17:06:00
Senegal,Food Inflation,2017-12-31T00:00:00,-1.6,Monthly,SENEGALFOOINF,2018-01-12T11:37:00
Senegal,Food Inflation,2018-01-31T00:00:00,1.3,Monthly,SENEGALFOOINF,2018-02-09T10:00:00
Senegal,Food Inflation,2018-02-28T00:00:00,4.1,Monthly,SENEGALFOOINF,2018-03-12T08:40:00
Senegal,Food Inflation,2018-03-31T00:00:00,-0.1,Monthly,SENEGALFOOINF,2018-04-13T08:04:00
Senegal,Food Inflation,2018-04-30T00:00:00,2.8,Monthly,SENEGALFOOINF,2018-05-11T09:23:00
Senegal,Food Inflation,2018-05-31T00:00:00,1.1,Monthly,SENEGALFOOINF,2018-06-12T15:15:00
Senegal,Food Inflation,2018-06-30T00:00:00,-2.4,Monthly,SENEGALFOOINF,2018-07-12T10:15:00
