Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Sierra Leone,Food Inflation,2008-01-31T00:00:00,5.771,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2008-02-29T00:00:00,6.172,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2008-03-31T00:00:00,6.291,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2008-04-30T00:00:00,6.809,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2008-05-31T00:00:00,7.158,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2008-06-30T00:00:00,9.175,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2008-07-31T00:00:00,9.925,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2008-08-31T00:00:00,10.104,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2008-09-30T00:00:00,10.231,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2008-10-31T00:00:00,10.447,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2008-11-30T00:00:00,10.442,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2008-12-31T00:00:00,9.555,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2009-01-31T00:00:00,8.887,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2009-02-28T00:00:00,8.725,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2009-03-31T00:00:00,8.366,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2009-04-30T00:00:00,8.033,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2009-05-31T00:00:00,8.153,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2009-06-30T00:00:00,7.964,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2009-07-31T00:00:00,7.64,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2009-08-31T00:00:00,7.774,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2009-09-30T00:00:00,8.445,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2009-10-31T00:00:00,8.363,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2009-11-30T00:00:00,8.381,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2009-12-31T00:00:00,8.898,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2010-01-31T00:00:00,8.693,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2010-02-28T00:00:00,9.094,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2010-03-31T00:00:00,9.411,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2010-04-30T00:00:00,9.205,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2010-05-31T00:00:00,8.704,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2010-06-30T00:00:00,8.34,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2010-07-31T00:00:00,8.618,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2010-08-31T00:00:00,8.341,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2010-09-30T00:00:00,8.15,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2010-10-31T00:00:00,8.196,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2010-11-30T00:00:00,8.21,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2010-12-31T00:00:00,8.233,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2011-01-31T00:00:00,7.919,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2011-02-28T00:00:00,7.556,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2011-03-31T00:00:00,7.557,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2011-04-30T00:00:00,7.903,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2011-05-31T00:00:00,8.033,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2011-06-30T00:00:00,7.979,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2011-07-31T00:00:00,7.782,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2011-08-31T00:00:00,7.8,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2011-09-30T00:00:00,7.754,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2011-10-31T00:00:00,7.576,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2011-11-30T00:00:00,7.637,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2011-12-31T00:00:00,7.483,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2012-01-31T00:00:00,7.273,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2012-02-29T00:00:00,7.13,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2012-03-31T00:00:00,6.833,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2012-04-30T00:00:00,6.51,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2012-05-31T00:00:00,6.864,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2012-06-30T00:00:00,6.796,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
Sierra Leone,Food Inflation,2012-07-31T00:00:00,6.795,Monthly,SIERRALEOFOOINF,2017-02-02T15:53:00
