Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Somalia,Food Inflation,2018-01-31T00:00:00,6.71,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2018-02-28T00:00:00,11.03,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2018-03-31T00:00:00,10.7,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2018-04-30T00:00:00,10.48,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2018-05-31T00:00:00,10.02,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2018-06-30T00:00:00,7.44,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2018-07-31T00:00:00,5.98,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2018-08-31T00:00:00,6.47,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2018-09-30T00:00:00,5.47,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2018-10-31T00:00:00,5.73,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2018-11-30T00:00:00,5.82,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2018-12-31T00:00:00,5.96,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2019-01-31T00:00:00,4.55,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2019-02-28T00:00:00,1.66,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2019-03-31T00:00:00,0.99,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2019-04-30T00:00:00,5.61,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2019-05-31T00:00:00,7.16,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2019-06-30T00:00:00,10.56,Monthly,SOMALIAFOOINF,2019-07-24T13:12:00
Somalia,Food Inflation,2019-07-31T00:00:00,9.77,Monthly,SOMALIAFOOINF,2019-08-16T10:49:00
Somalia,Food Inflation,2019-08-31T00:00:00,7.23,Monthly,SOMALIAFOOINF,2019-09-16T09:26:00
Somalia,Food Inflation,2019-09-30T00:00:00,8.12,Monthly,SOMALIAFOOINF,2019-10-15T08:05:00
Somalia,Food Inflation,2019-10-31T00:00:00,7.6,Monthly,SOMALIAFOOINF,2019-11-19T14:59:00
Somalia,Food Inflation,2019-11-30T00:00:00,6.6,Monthly,SOMALIAFOOINF,2019-12-16T16:53:00
Somalia,Food Inflation,2019-12-31T00:00:00,3.8,Monthly,SOMALIAFOOINF,2020-01-15T14:15:00
Somalia,Food Inflation,2020-01-31T00:00:00,3.9,Monthly,SOMALIAFOOINF,2020-02-18T12:00:00
Somalia,Food Inflation,2020-02-28T00:00:00,6.4,Monthly,SOMALIAFOOINF,2020-03-16T15:19:00
Somalia,Food Inflation,2020-03-31T00:00:00,10.8,Monthly,SOMALIAFOOINF,2020-04-15T12:47:00
Somalia,Food Inflation,2020-04-30T00:00:00,8.1,Monthly,SOMALIAFOOINF,2020-05-18T16:02:00
Somalia,Food Inflation,2020-05-31T00:00:00,5.5,Monthly,SOMALIAFOOINF,2020-06-15T13:54:00
Somalia,Food Inflation,2020-06-30T00:00:00,1.8,Monthly,SOMALIAFOOINF,2020-08-18T13:17:00
Somalia,Food Inflation,2020-07-31T00:00:00,-1.7,Monthly,SOMALIAFOOINF,2020-08-18T13:17:00
Somalia,Food Inflation,2020-08-31T00:00:00,-2.2,Monthly,SOMALIAFOOINF,2020-09-15T13:38:00
Somalia,Food Inflation,2020-09-30T00:00:00,-3.1,Monthly,SOMALIAFOOINF,2020-10-16T15:29:00
Somalia,Food Inflation,2020-10-31T00:00:00,-3.6,Monthly,SOMALIAFOOINF,2020-11-16T17:15:00
Somalia,Food Inflation,2020-11-30T00:00:00,-2.44,Monthly,SOMALIAFOOINF,2020-12-27T19:10:00
Somalia,Food Inflation,2020-12-31T00:00:00,1.24,Monthly,SOMALIAFOOINF,2021-01-24T15:26:00
Somalia,Food Inflation,2021-01-31T00:00:00,1.18,Monthly,SOMALIAFOOINF,2021-02-16T17:57:00
Somalia,Food Inflation,2021-02-28T00:00:00,0.01,Monthly,SOMALIAFOOINF,2021-03-16T14:32:00
Somalia,Food Inflation,2021-03-31T00:00:00,-0.3,Monthly,SOMALIAFOOINF,2021-04-15T17:01:00
Somalia,Food Inflation,2021-04-30T00:00:00,-1.91,Monthly,SOMALIAFOOINF,2021-05-18T11:45:00
Somalia,Food Inflation,2021-05-31T00:00:00,-1.98,Monthly,SOMALIAFOOINF,2021-06-29T16:17:00
Somalia,Food Inflation,2021-06-30T00:00:00,-1.93,Monthly,SOMALIAFOOINF,2021-07-19T09:08:00
Somalia,Food Inflation,2021-07-31T00:00:00,4.72,Monthly,SOMALIAFOOINF,2021-11-16T09:38:00
Somalia,Food Inflation,2021-08-31T00:00:00,5.91,Monthly,SOMALIAFOOINF,2021-09-15T12:05:00
Somalia,Food Inflation,2021-09-30T00:00:00,5.91,Monthly,SOMALIAFOOINF,2021-11-16T09:36:00
Somalia,Food Inflation,2021-10-31T00:00:00,7.1,Monthly,SOMALIAFOOINF,2021-11-16T09:36:00
Somalia,Food Inflation,2021-11-30T00:00:00,7.42,Monthly,SOMALIAFOOINF,2021-12-22T16:28:00
Somalia,Food Inflation,2021-12-31T00:00:00,7.39,Monthly,SOMALIAFOOINF,2022-01-17T11:38:00
Somalia,Food Inflation,2022-01-31T00:00:00,11.63,Monthly,SOMALIAFOOINF,2022-02-15T15:57:00
