Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
South Sudan,Food Inflation,2008-04-30T00:00:00,29.87,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2008-05-31T00:00:00,26.79,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2008-06-30T00:00:00,25.32,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2008-07-31T00:00:00,33.53,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2008-08-31T00:00:00,25.37,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2008-09-30T00:00:00,23.41,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2008-10-31T00:00:00,9.82,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2008-11-30T00:00:00,11.91,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2008-12-31T00:00:00,11.94,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2009-01-31T00:00:00,6.52,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2009-02-28T00:00:00,6.52,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2009-03-31T00:00:00,11.52,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2009-04-30T00:00:00,8.85,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2009-05-31T00:00:00,2.63,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2009-06-30T00:00:00,6.38,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2009-07-31T00:00:00,-1.77,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2009-08-31T00:00:00,1.71,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2009-09-30T00:00:00,-0.28,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2009-10-31T00:00:00,7.77,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2009-11-30T00:00:00,10.52,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2009-12-31T00:00:00,1.56,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2010-01-31T00:00:00,-6.25,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2010-02-28T00:00:00,1.61,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2010-03-31T00:00:00,0.98,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2010-04-30T00:00:00,3.69,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2010-05-31T00:00:00,2.25,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2010-06-30T00:00:00,-0.84,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2010-07-31T00:00:00,-0.76,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2010-08-31T00:00:00,-0.91,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2010-09-30T00:00:00,-1.87,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2010-10-31T00:00:00,-2.5,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2010-11-30T00:00:00,-6.42,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
South Sudan,Food Inflation,2010-12-31T00:00:00,19.93,Monthly,SOUTHSUDAFOOINF,2014-06-02T17:54:00
