Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Sri Lanka,Inflation Rate,1986-01-31T00:00:00,4,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1986-02-28T00:00:00,5.7,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1986-03-31T00:00:00,6.7,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1986-04-30T00:00:00,6.8,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1986-05-31T00:00:00,6.3,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1986-06-30T00:00:00,7.1,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1986-07-31T00:00:00,7.2,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1986-08-31T00:00:00,9.8,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1986-09-30T00:00:00,11.6,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1986-10-31T00:00:00,11.6,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1986-11-30T00:00:00,10,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1986-12-31T00:00:00,9.1,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1987-01-31T00:00:00,7.7,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1987-02-28T00:00:00,6.9,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1987-03-31T00:00:00,6.3,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1987-04-30T00:00:00,6.8,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1987-05-31T00:00:00,7.6,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1987-06-30T00:00:00,7,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1987-07-31T00:00:00,7.8,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1987-08-31T00:00:00,7.9,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1987-09-30T00:00:00,7.3,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1987-10-31T00:00:00,8.5,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1987-11-30T00:00:00,8.7,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1987-12-31T00:00:00,10.2,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1988-01-31T00:00:00,13.1,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1988-02-29T00:00:00,13.5,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1988-03-31T00:00:00,13,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1988-04-30T00:00:00,13.1,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1988-05-31T00:00:00,13.2,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1988-06-30T00:00:00,14.1,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1988-07-31T00:00:00,14.1,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1988-08-31T00:00:00,14,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1988-09-30T00:00:00,15.3,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1988-10-31T00:00:00,14.2,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1988-11-30T00:00:00,15,Monthly,Sri LankaIR,2017-02-02T15:18:00
Sri Lanka,Inflation Rate,1988-12-31T00:00:00,15,Monthly,Sri LankaIR,2017-02-02T15:18:00
