Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Sri Lanka,Food Inflation,2009-01-31T00:00:00,10.1,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2009-02-28T00:00:00,6.5,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2009-03-31T00:00:00,3,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2009-04-30T00:00:00,-1.7,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2009-05-31T00:00:00,-0.2,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2009-06-30T00:00:00,0.8,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2009-07-31T00:00:00,2.2,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2009-08-31T00:00:00,1.3,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2009-09-30T00:00:00,1.8,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2009-10-31T00:00:00,3.4,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2009-11-30T00:00:00,4.7,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2009-12-31T00:00:00,6.7,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2010-01-31T00:00:00,8.6,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2010-02-28T00:00:00,8.1,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2010-03-31T00:00:00,7.3,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2010-04-30T00:00:00,6.5,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2010-05-31T00:00:00,4.3,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2010-06-30T00:00:00,3.2,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2010-07-31T00:00:00,3.4,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2010-08-31T00:00:00,5.3,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2010-09-30T00:00:00,7.1,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2010-10-31T00:00:00,9.3,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2010-11-30T00:00:00,10,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
Sri Lanka,Food Inflation,2010-12-31T00:00:00,9.9,Monthly,SRILANKAFOOINF,2017-02-02T15:23:00
