Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Tajikistan,Food Inflation,1999-01-31T00:00:00,11.4,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,1999-02-28T00:00:00,2.9,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,1999-03-31T00:00:00,5.6,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,1999-04-30T00:00:00,13.3,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,1999-05-31T00:00:00,10,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,1999-06-30T00:00:00,9.4,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,1999-07-31T00:00:00,35.1,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,1999-08-31T00:00:00,59.6,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,1999-09-30T00:00:00,49.3,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,1999-10-31T00:00:00,50.9,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,1999-11-30T00:00:00,32.9,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,1999-12-31T00:00:00,29.6,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2000-01-31T00:00:00,17.3,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2000-02-29T00:00:00,19.3,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2000-03-31T00:00:00,16.2,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2000-04-30T00:00:00,12.1,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2000-05-31T00:00:00,21.3,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2000-06-30T00:00:00,25.3,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2000-07-31T00:00:00,15.3,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2000-08-31T00:00:00,13.3,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2000-09-30T00:00:00,24.3,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2000-10-31T00:00:00,45.9,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2000-11-30T00:00:00,58,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2000-12-31T00:00:00,66.3,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2001-01-31T00:00:00,55.3,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2001-02-28T00:00:00,57.9,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2001-03-31T00:00:00,55,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2001-04-30T00:00:00,57.3,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2001-05-31T00:00:00,50.9,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2001-06-30T00:00:00,52.3,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2001-07-31T00:00:00,49.4,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2001-08-31T00:00:00,38.2,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2001-09-30T00:00:00,28.1,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2001-10-31T00:00:00,21.6,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2001-11-30T00:00:00,12.7,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2001-12-31T00:00:00,13.7,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2002-01-31T00:00:00,8.6,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2002-02-28T00:00:00,4.1,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2002-03-31T00:00:00,2.8,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2002-04-30T00:00:00,4,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2002-05-31T00:00:00,8.8,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2002-06-30T00:00:00,8.3,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2002-07-31T00:00:00,9.8,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2002-08-31T00:00:00,12.5,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2002-09-30T00:00:00,17.1,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2002-10-31T00:00:00,16.6,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2002-11-30T00:00:00,15.4,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2002-12-31T00:00:00,17,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2003-01-31T00:00:00,14.3,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2003-02-28T00:00:00,14.9,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2003-03-31T00:00:00,19.1,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2003-04-30T00:00:00,17.4,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2003-05-31T00:00:00,16.3,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2003-06-30T00:00:00,15,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2003-07-31T00:00:00,15,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2003-08-31T00:00:00,15.8,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2003-09-30T00:00:00,13.6,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2003-10-31T00:00:00,16.9,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2003-11-30T00:00:00,16.9,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2003-12-31T00:00:00,10.2,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2004-01-31T00:00:00,8.9,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2004-02-29T00:00:00,7.4,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2004-03-31T00:00:00,0.9,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2004-04-30T00:00:00,-2.5,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2004-05-31T00:00:00,-1.9,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2004-06-30T00:00:00,1.7,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2004-07-31T00:00:00,5.1,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2004-08-31T00:00:00,8,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2004-09-30T00:00:00,11.5,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2004-10-31T00:00:00,9.3,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2004-11-30T00:00:00,7.8,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2004-12-31T00:00:00,4.6,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2005-01-31T00:00:00,4.7,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2005-02-28T00:00:00,6.2,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2005-03-31T00:00:00,7.4,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
Tajikistan,Food Inflation,2005-04-30T00:00:00,10.7,Monthly,TAJIKISTANFOOINF,2014-07-23T16:20:00
