Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Tajikistan,Inflation Rate,1999-01-31T00:00:00,12.3,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,1999-02-28T00:00:00,6.2,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,1999-03-31T00:00:00,8.4,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,1999-04-30T00:00:00,13.9,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,1999-05-31T00:00:00,12.9,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,1999-06-30T00:00:00,13.7,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,1999-07-31T00:00:00,35.5,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,1999-08-31T00:00:00,57.5,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,1999-09-30T00:00:00,48,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,1999-10-31T00:00:00,50,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,1999-11-30T00:00:00,34.9,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,1999-12-31T00:00:00,30.1,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,2000-01-31T00:00:00,18.6,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,2000-02-29T00:00:00,20.7,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,2000-03-31T00:00:00,18,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,2000-04-30T00:00:00,14.5,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,2000-05-31T00:00:00,22.4,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,2000-06-30T00:00:00,25.9,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,2000-07-31T00:00:00,17.6,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,2000-08-31T00:00:00,15.2,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,2000-09-30T00:00:00,24.4,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
Tajikistan,Inflation Rate,2000-10-31T00:00:00,43.8,Monthly,TAJSTANINFNRATE,2012-10-08T17:01:00
