Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Togo,Food Inflation,2001-01-31T00:00:00,-11.75,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2001-02-28T00:00:00,-8.26,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2001-03-31T00:00:00,-3.64,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2001-04-30T00:00:00,0.1,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2001-05-31T00:00:00,2.86,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2001-06-30T00:00:00,4.1,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2001-07-31T00:00:00,12.25,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2001-08-31T00:00:00,15.38,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2001-09-30T00:00:00,15.89,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2001-10-31T00:00:00,14.76,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2001-11-30T00:00:00,16.86,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2001-12-31T00:00:00,13.63,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2002-01-31T00:00:00,13.31,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2002-02-28T00:00:00,6.5,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2002-03-31T00:00:00,8.74,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2002-04-30T00:00:00,10.28,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2002-05-31T00:00:00,10.1,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2002-06-30T00:00:00,8.15,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2002-07-31T00:00:00,-1.41,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2002-08-31T00:00:00,-4.56,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2002-09-30T00:00:00,-1.86,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2002-10-31T00:00:00,0.2,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2002-11-30T00:00:00,-1.67,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2002-12-31T00:00:00,-1.25,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2003-01-31T00:00:00,-4.19,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2003-02-28T00:00:00,-1.22,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2003-03-31T00:00:00,-5.11,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2003-04-30T00:00:00,-7.23,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2003-05-31T00:00:00,-5.64,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2003-06-30T00:00:00,-4.57,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2003-07-31T00:00:00,-4.46,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2003-08-31T00:00:00,-7.97,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2003-09-30T00:00:00,-3.89,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2003-10-31T00:00:00,-4.98,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2003-11-30T00:00:00,-3.39,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2003-12-31T00:00:00,-4.47,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2004-01-31T00:00:00,-4.28,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2004-02-29T00:00:00,-5.04,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2004-03-31T00:00:00,-5.87,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2004-04-30T00:00:00,-6.48,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2004-05-31T00:00:00,-6.87,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2004-06-30T00:00:00,-6.21,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2004-07-31T00:00:00,-1.78,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2004-08-31T00:00:00,6.31,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2004-09-30T00:00:00,1.66,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2004-10-31T00:00:00,3.98,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2004-11-30T00:00:00,5.68,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2004-12-31T00:00:00,7.43,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2005-01-31T00:00:00,6.36,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2005-02-28T00:00:00,7.71,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2005-03-31T00:00:00,10.33,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2005-04-30T00:00:00,15.46,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2005-05-31T00:00:00,16,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2005-06-30T00:00:00,14.19,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2005-07-31T00:00:00,17.98,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2005-08-31T00:00:00,11.69,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2005-09-30T00:00:00,12.36,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2005-10-31T00:00:00,10.57,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2005-11-30T00:00:00,5.47,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2005-12-31T00:00:00,2.27,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2006-01-31T00:00:00,4.76,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2006-02-28T00:00:00,2.42,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2006-03-31T00:00:00,1.39,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2006-04-30T00:00:00,-0.17,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2006-05-31T00:00:00,-1.73,Monthly,TOGOFOOINF,2014-06-02T18:38:00
Togo,Food Inflation,2006-06-30T00:00:00,-1.41,Monthly,TOGOFOOINF,2014-06-02T18:38:00
