Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Tunisia,Food Inflation,2007-01-31T00:00:00,1.45,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2007-02-28T00:00:00,1.55,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2007-03-31T00:00:00,1.15,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2007-04-30T00:00:00,0.86,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2007-05-31T00:00:00,1.14,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2007-06-30T00:00:00,2.1,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2007-07-31T00:00:00,2.28,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2007-08-31T00:00:00,3.49,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2007-09-30T00:00:00,3.67,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2007-10-31T00:00:00,4.34,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2007-11-30T00:00:00,6.27,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2007-12-31T00:00:00,7.43,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2008-01-31T00:00:00,8.8,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2008-02-29T00:00:00,8.56,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2008-03-31T00:00:00,8.44,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2008-04-30T00:00:00,8.12,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2008-05-31T00:00:00,6.96,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2008-06-30T00:00:00,6.16,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2008-07-31T00:00:00,5.94,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2008-08-31T00:00:00,4.74,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2008-09-30T00:00:00,4.71,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2008-10-31T00:00:00,4.52,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2008-11-30T00:00:00,3.67,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2008-12-31T00:00:00,3.1,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2009-01-31T00:00:00,1.93,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2009-02-28T00:00:00,2.02,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2009-03-31T00:00:00,2.01,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2009-04-30T00:00:00,2.18,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2009-05-31T00:00:00,3.08,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2009-06-30T00:00:00,3.87,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2009-07-31T00:00:00,4.82,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2009-08-31T00:00:00,5.75,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2009-09-30T00:00:00,6.06,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
Tunisia,Food Inflation,2009-10-31T00:00:00,6.49,Monthly,TUNISIAFOOINF,2016-01-14T13:26:00
