Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Uganda,Food Inflation,1998-07-31T00:00:00,7.05,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,1998-08-31T00:00:00,4.8,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,1998-09-30T00:00:00,4.65,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,1998-10-31T00:00:00,6.48,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,1998-11-30T00:00:00,11.69,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,1998-12-31T00:00:00,8.7,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,1999-01-31T00:00:00,7.83,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,1999-02-28T00:00:00,3.08,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,1999-03-31T00:00:00,-2.37,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,1999-04-30T00:00:00,-6.08,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,1999-05-31T00:00:00,-5.21,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,1999-06-30T00:00:00,-5.69,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,1999-07-31T00:00:00,-7.61,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,1999-08-31T00:00:00,-8.67,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,1999-09-30T00:00:00,-9.83,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,1999-10-31T00:00:00,-10.11,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,1999-11-30T00:00:00,-10.51,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,1999-12-31T00:00:00,-8.92,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2000-01-31T00:00:00,-4.6,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2000-02-29T00:00:00,0.7,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2000-03-31T00:00:00,0.88,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2000-04-30T00:00:00,2.36,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2000-05-31T00:00:00,2.03,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2000-06-30T00:00:00,2.35,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2000-07-31T00:00:00,1.49,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2000-08-31T00:00:00,2.83,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2000-09-30T00:00:00,5.67,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2000-10-31T00:00:00,7.55,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2000-11-30T00:00:00,8.02,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2000-12-31T00:00:00,9.78,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2001-01-31T00:00:00,4.19,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2001-02-28T00:00:00,-1.56,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2001-03-31T00:00:00,0.63,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2001-04-30T00:00:00,2.4,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2001-05-31T00:00:00,0.76,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2001-06-30T00:00:00,-1.66,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2001-07-31T00:00:00,-2.51,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2001-08-31T00:00:00,-2.72,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2001-09-30T00:00:00,-3.42,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2001-10-31T00:00:00,-2.87,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2001-11-30T00:00:00,0.52,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2001-12-31T00:00:00,-1.72,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2002-01-31T00:00:00,-0.2,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2002-02-28T00:00:00,0.22,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2002-03-31T00:00:00,2.62,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2002-04-30T00:00:00,2.8,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2002-05-31T00:00:00,3.55,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2002-06-30T00:00:00,2.46,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2002-07-31T00:00:00,5.32,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2002-08-31T00:00:00,6.74,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2002-09-30T00:00:00,6.17,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2002-10-31T00:00:00,5.42,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2002-11-30T00:00:00,-0.37,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2002-12-31T00:00:00,4.19,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2003-01-31T00:00:00,3.85,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2003-02-28T00:00:00,3.72,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2003-03-31T00:00:00,0.9,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2003-04-30T00:00:00,1.37,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2003-05-31T00:00:00,-1.26,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2003-06-30T00:00:00,0.15,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2003-07-31T00:00:00,-1.7,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2003-08-31T00:00:00,-3.24,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2003-09-30T00:00:00,-1.78,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2003-10-31T00:00:00,-1.84,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2003-11-30T00:00:00,-0.52,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2003-12-31T00:00:00,-2.16,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2004-01-31T00:00:00,-2.43,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2004-02-29T00:00:00,-3.3,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2004-03-31T00:00:00,-2.16,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2004-04-30T00:00:00,-3.39,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2004-05-31T00:00:00,-1.34,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2004-06-30T00:00:00,-1.07,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2004-07-31T00:00:00,-2.83,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2004-08-31T00:00:00,-4,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2004-09-30T00:00:00,-4.91,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2004-10-31T00:00:00,-4.23,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2004-11-30T00:00:00,-3.48,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2004-12-31T00:00:00,-3.68,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2005-01-31T00:00:00,-3.5,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2005-02-28T00:00:00,-2.93,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2005-03-31T00:00:00,-3.99,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2005-04-30T00:00:00,-3.53,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2005-05-31T00:00:00,-5.27,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2005-06-30T00:00:00,-6.85,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2005-07-31T00:00:00,-11.22,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2005-08-31T00:00:00,-10.84,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2005-09-30T00:00:00,-7.96,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2005-10-31T00:00:00,-8.5,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2005-11-30T00:00:00,-8.12,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2005-12-31T00:00:00,-9.75,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2006-01-31T00:00:00,-6.84,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2006-02-28T00:00:00,-5.39,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2006-03-31T00:00:00,1.07,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2006-04-30T00:00:00,2.94,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2006-05-31T00:00:00,7.96,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2006-06-30T00:00:00,2.26,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2006-07-31T00:00:00,6.94,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2006-08-31T00:00:00,8.67,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2006-09-30T00:00:00,7.41,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2006-10-31T00:00:00,11.52,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
Uganda,Food Inflation,2006-11-30T00:00:00,14.93,Monthly,UGANDAFOOINF,2016-08-17T12:54:00
