Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Ukraine,Food Inflation,2007-01-31T00:00:00,1.9,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2007-02-28T00:00:00,-0.7,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2007-03-31T00:00:00,0,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2007-04-30T00:00:00,1.2,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2007-05-31T00:00:00,2.6,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2007-06-30T00:00:00,6.8,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2007-07-31T00:00:00,11.3,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2007-08-31T00:00:00,13.6,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2007-09-30T00:00:00,15.9,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2007-10-31T00:00:00,19.1,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2007-11-30T00:00:00,21.1,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2007-12-31T00:00:00,23.7,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2008-01-31T00:00:00,28.5,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2008-02-29T00:00:00,33.5,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2008-03-31T00:00:00,40.7,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2008-04-30T00:00:00,47.2,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2008-05-31T00:00:00,48.5,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2008-06-30T00:00:00,43.9,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2008-07-31T00:00:00,39,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2008-08-31T00:00:00,37.2,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2008-09-30T00:00:00,33.5,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2008-10-31T00:00:00,29.4,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2008-11-30T00:00:00,26.7,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2008-12-31T00:00:00,24.5,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2009-01-31T00:00:00,23.1,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2009-02-28T00:00:00,20.1,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2009-03-31T00:00:00,15.4,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2009-04-30T00:00:00,11.1,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2009-05-31T00:00:00,9.3,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2009-06-30T00:00:00,8.8,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2009-07-31T00:00:00,10,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2009-08-31T00:00:00,9.2,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2009-09-30T00:00:00,9.2,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2009-10-31T00:00:00,8.8,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2009-11-30T00:00:00,10.3,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2009-12-31T00:00:00,10.9,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
Ukraine,Food Inflation,2010-01-31T00:00:00,11.1,Monthly,UKRAINEFOOINF,2014-06-26T18:14:00
