Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Zambia,Food Inflation,2011-01-31T00:00:00,4.2,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2011-02-28T00:00:00,4.3,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2011-03-31T00:00:00,4.1,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2011-04-30T00:00:00,3.7,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2011-05-31T00:00:00,3.5,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2011-06-30T00:00:00,3.8,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2011-07-31T00:00:00,5,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2011-08-31T00:00:00,5.8,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2011-09-30T00:00:00,6.1,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2011-10-31T00:00:00,6.3,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2011-11-30T00:00:00,6,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2011-12-31T00:00:00,5.3,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2012-01-31T00:00:00,6.1,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2012-02-29T00:00:00,5.5,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2012-03-31T00:00:00,6.4,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2012-04-30T00:00:00,6.4,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2012-05-31T00:00:00,6.8,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2012-06-30T00:00:00,7.1,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2012-07-31T00:00:00,6.3,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2012-08-31T00:00:00,7.3,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2012-09-30T00:00:00,7.5,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2012-10-31T00:00:00,8.2,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2012-11-30T00:00:00,8,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2012-12-31T00:00:00,8.4,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2013-01-31T00:00:00,7.6,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2013-02-28T00:00:00,6.7,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2013-03-31T00:00:00,6,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2013-04-30T00:00:00,6.1,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2013-05-31T00:00:00,6.3,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2013-06-30T00:00:00,7.1,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2013-07-31T00:00:00,7.1,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2013-08-31T00:00:00,6.8,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2013-09-30T00:00:00,6.5,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2013-10-31T00:00:00,5.9,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2013-11-30T00:00:00,6,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2013-12-31T00:00:00,6.2,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2014-01-31T00:00:00,5.9,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2014-02-28T00:00:00,7.5,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2014-03-31T00:00:00,7.6,Monthly,ZAMBIAFOOINF,2014-05-21T16:29:00
Zambia,Food Inflation,2014-04-30T00:00:00,7.6,Monthly,ZAMBIAFOOINF,2014-06-12T17:44:00
Zambia,Food Inflation,2014-05-31T00:00:00,8,Monthly,ZAMBIAFOOINF,2014-06-26T11:35:00
Zambia,Food Inflation,2014-06-30T00:00:00,7.8,Monthly,ZAMBIAFOOINF,2014-08-28T11:17:00
Zambia,Food Inflation,2014-07-31T00:00:00,6.9,Monthly,ZAMBIAFOOINF,2014-08-28T11:19:00
Zambia,Food Inflation,2014-08-31T00:00:00,6.9,Monthly,ZAMBIAFOOINF,2022-08-25T11:31:00
Zambia,Food Inflation,2014-09-30T00:00:00,6.9,Monthly,ZAMBIAFOOINF,2014-10-22T12:59:00
Zambia,Food Inflation,2014-10-31T00:00:00,7.1,Monthly,ZAMBIAFOOINF,2014-11-16T23:39:00
Zambia,Food Inflation,2014-11-30T00:00:00,7.3,Monthly,ZAMBIAFOOINF,2014-12-05T19:42:00
Zambia,Food Inflation,2014-12-31T00:00:00,7.5,Monthly,ZAMBIAFOOINF,2015-01-04T20:07:00
Zambia,Food Inflation,2015-01-31T00:00:00,7.4,Monthly,ZAMBIAFOOINF,2015-01-30T19:35:00
Zambia,Food Inflation,2015-02-28T00:00:00,7.6,Monthly,ZAMBIAFOOINF,2015-04-08T15:12:00
Zambia,Food Inflation,2015-03-31T00:00:00,7.2,Monthly,ZAMBIAFOOINF,2015-06-11T14:39:00
Zambia,Food Inflation,2015-04-30T00:00:00,7.1,Monthly,ZAMBIAFOOINF,2015-06-11T14:39:00
Zambia,Food Inflation,2015-05-31T00:00:00,7.2,Monthly,ZAMBIAFOOINF,2015-06-11T14:40:00
Zambia,Food Inflation,2015-06-30T00:00:00,7.1,Monthly,ZAMBIAFOOINF,2015-06-29T18:32:00
Zambia,Food Inflation,2015-07-31T00:00:00,7.9,Monthly,ZAMBIAFOOINF,2022-08-25T11:31:00
Zambia,Food Inflation,2015-08-31T00:00:00,7.8,Monthly,ZAMBIAFOOINF,2015-08-28T19:40:00
Zambia,Food Inflation,2015-09-30T00:00:00,8.1,Monthly,ZAMBIAFOOINF,2015-10-13T16:50:00
Zambia,Food Inflation,2015-10-31T00:00:00,16.2,Monthly,ZAMBIAFOOINF,2015-10-30T17:20:00
Zambia,Food Inflation,2015-11-30T00:00:00,23.4,Monthly,ZAMBIAFOOINF,2015-11-27T17:04:00
Zambia,Food Inflation,2015-12-31T00:00:00,24.8,Monthly,ZAMBIAFOOINF,2016-01-08T17:58:00
Zambia,Food Inflation,2016-01-31T00:00:00,25.9,Monthly,ZAMBIAFOOINF,2016-01-29T16:30:00
Zambia,Food Inflation,2016-02-29T00:00:00,26.4,Monthly,ZAMBIAFOOINF,2016-03-07T15:15:00
Zambia,Food Inflation,2016-03-31T00:00:00,26.2,Monthly,ZAMBIAFOOINF,2016-04-15T17:33:00
Zambia,Food Inflation,2016-04-30T00:00:00,26.6,Monthly,ZAMBIAFOOINF,2022-08-25T11:31:00
Zambia,Food Inflation,2016-05-31T00:00:00,25.8,Monthly,ZAMBIAFOOINF,2016-06-11T10:32:00
Zambia,Food Inflation,2016-06-30T00:00:00,25.3,Monthly,ZAMBIAFOOINF,2016-07-28T17:23:00
Zambia,Food Inflation,2016-07-31T00:00:00,24.8,Monthly,ZAMBIAFOOINF,2016-07-28T17:23:00
Zambia,Food Inflation,2016-08-31T00:00:00,24.1,Monthly,ZAMBIAFOOINF,2016-08-25T13:37:00
Zambia,Food Inflation,2016-09-30T00:00:00,23.4,Monthly,ZAMBIAFOOINF,2016-10-01T10:23:00
Zambia,Food Inflation,2016-10-31T00:00:00,15.6,Monthly,ZAMBIAFOOINF,2016-11-03T14:20:00
Zambia,Food Inflation,2016-11-30T00:00:00,9.2,Monthly,ZAMBIAFOOINF,2017-02-02T16:21:00
Zambia,Food Inflation,2016-12-31T00:00:00,7.8,Monthly,ZAMBIAFOOINF,2017-02-02T16:21:00
Zambia,Food Inflation,2017-01-31T00:00:00,7.4,Monthly,ZAMBIAFOOINF,2017-05-17T15:01:00
Zambia,Food Inflation,2017-02-28T00:00:00,7.4,Monthly,ZAMBIAFOOINF,2017-05-17T15:01:00
Zambia,Food Inflation,2017-03-31T00:00:00,6.7,Monthly,ZAMBIAFOOINF,2017-05-17T15:01:00
Zambia,Food Inflation,2017-04-30T00:00:00,6.1,Monthly,ZAMBIAFOOINF,2017-05-17T15:00:00
Zambia,Food Inflation,2017-05-31T00:00:00,5.9,Monthly,ZAMBIAFOOINF,2017-06-30T12:18:00
Zambia,Food Inflation,2017-06-30T00:00:00,5.8,Monthly,ZAMBIAFOOINF,2017-06-30T12:18:00
Zambia,Food Inflation,2017-07-31T00:00:00,5.3,Monthly,ZAMBIAFOOINF,2017-07-27T09:53:00
