Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Zimbabwe,Food Inflation,2003-01-31T00:00:00,227,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2003-02-28T00:00:00,234.1,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2003-03-31T00:00:00,247.9,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2003-04-30T00:00:00,294.4,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2003-05-31T00:00:00,334.6,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2003-06-30T00:00:00,434,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2003-07-31T00:00:00,480.8,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2003-08-31T00:00:00,487.3,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2003-09-30T00:00:00,419,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2003-10-31T00:00:00,491.2,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2003-11-30T00:00:00,555.3,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2003-12-31T00:00:00,635.6,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2004-01-31T00:00:00,665.7,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2004-02-29T00:00:00,689.4,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2004-03-31T00:00:00,655.9,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2004-04-30T00:00:00,563.5,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2004-05-31T00:00:00,481.8,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2004-06-30T00:00:00,430.6,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2004-07-31T00:00:00,378.4,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2004-08-31T00:00:00,320.4,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2004-09-30T00:00:00,264.8,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2004-10-31T00:00:00,210.8,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2004-11-30T00:00:00,143.1,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2004-12-31T00:00:00,121.1,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2005-01-31T00:00:00,110.7,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2005-02-28T00:00:00,101.7,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2005-03-31T00:00:00,104.9,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2005-04-30T00:00:00,112.5,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2005-05-31T00:00:00,118.7,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2005-06-30T00:00:00,152.4,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2005-07-31T00:00:00,226,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2005-08-31T00:00:00,252.5,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2005-09-30T00:00:00,308.2,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2005-10-31T00:00:00,407.5,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2005-11-30T00:00:00,572.2,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2005-12-31T00:00:00,717.1,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2006-01-31T00:00:00,785.4,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2006-02-28T00:00:00,824.7,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2006-03-31T00:00:00,911.1,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2006-04-30T00:00:00,1101.8,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2006-05-31T00:00:00,1220.5,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2006-06-30T00:00:00,1069.9,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2006-07-31T00:00:00,986.6,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2006-08-31T00:00:00,1116.3,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2006-09-30T00:00:00,1114.2,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2006-10-31T00:00:00,1126.1,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2006-11-30T00:00:00,1056.6,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
Zimbabwe,Food Inflation,2006-12-31T00:00:00,1195.2,Monthly,ZIMBABWEFOOINF,2014-06-03T12:22:00
