Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Zimbabwe,Inflation Rate,2009-12-31T00:00:00,-7.5,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2010-01-31T00:00:00,-4.5,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2010-02-28T00:00:00,-0.7,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2010-03-31T00:00:00,3.2,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2010-04-30T00:00:00,4.3,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2010-05-31T00:00:00,5.3,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2010-06-30T00:00:00,4.7,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2010-07-31T00:00:00,3.7,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2010-08-31T00:00:00,3.2,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2010-09-30T00:00:00,3.8,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2010-10-31T00:00:00,3.2,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2010-11-30T00:00:00,3.7,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2010-12-31T00:00:00,2.9,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2011-01-31T00:00:00,3.2,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2011-02-28T00:00:00,2.8,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2011-03-31T00:00:00,2.4,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2011-04-30T00:00:00,2.4,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2011-05-31T00:00:00,2.3,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2011-06-30T00:00:00,2.6,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2011-07-31T00:00:00,3,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2011-08-31T00:00:00,3.2,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2011-09-30T00:00:00,4,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2011-10-31T00:00:00,3.9,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2011-11-30T00:00:00,4,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2011-12-31T00:00:00,4.6,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2012-01-31T00:00:00,4,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2012-02-29T00:00:00,4,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2012-03-31T00:00:00,3.8,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2012-04-30T00:00:00,3.9,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2012-05-31T00:00:00,3.8,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2012-06-30T00:00:00,3.8,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2012-07-31T00:00:00,3.8,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2012-08-31T00:00:00,3.5,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2012-09-30T00:00:00,3.1,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2012-10-31T00:00:00,3.2,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2012-11-30T00:00:00,2.9,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2012-12-31T00:00:00,2.8,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
Zimbabwe,Inflation Rate,2013-01-31T00:00:00,2.5,Monthly,ZIMABWEINFNRATE,2015-08-20T14:38:00
